doc_idx,c5_id,sent_idx,original_sentence,input,mentions,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
1947,19960512044299I,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative: on 05-12-96, while enroute at 33,000 feet from chicago, il (mdw) to st. petersburg, fl (pie), american t",fl,Florida,Q812," Florida () is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (), the 3rd-most populous (21,312,211 inhabitants), and the 8th-most densely populated () of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital.  Florida's $1.0 trillion economy is the fourth largest in the United States. If it were a country, Florida would be the 16th largest economy in the world, and the 58th most populous . In 2017, Florida's per capita personal income was $47,684, ranking 26th in the nation. The unemployment rate in September 2018 was 3.5% and ranked as the 18th in the United States. Florida exports nearly $55 billion in goods made in the state, the 8th highest among all states. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $345 billion . This is more than twice the number of the next metro area, the Tampa Bay Area, which has a GDP of $145 billion. Florida is home to 51 of the world's billionaires with most of them residing in South Florida.  The first European",Florida,Q812," Florida () is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (), the 3rd-most populous (21,312,211 inhabitants), and the 8th-most densely populated () of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital.  Florida's $1.0 trillion economy is the fourth largest in the United States. If it were a country, Florida would be the 16th largest economy in the world, and the 58th most populous . In 2017, Florida's per capita personal income was $47,684, ranking 26th in the nation. The unemployment rate in September 2018 was 3.5% and ranked as the 18th in the United States. Florida exports nearly $55 billion in goods made in the state, the 8th highest among all states. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $345 billion . This is more than twice the number of the next metro area, the Tampa Bay Area, which has a GDP of $145 billion. Florida is home to 51 of the world's billionaires with most of them residing in South Florida.  The first European"
1947,19960512044299I,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative: on 05-12-96, while enroute at 33,000 feet from chicago, il (mdw) to st. petersburg, fl (pie), american t",american,United States,Q30," The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country comprising 50 states, a federal district, five major self-governing territories, and various possessions. At , the United States is the world's third or fourth largest country by total area and is slightly smaller than the entire continent of Europe's . With a population of more than 327 million people, the U.S. is the third most populous country. Most of the country is located contiguously in North America between Canada and Mexico.  Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago. European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Following the French and Indian War, numerous disputes between Great Britain and the colonies led to the American Revolution, which began in 1775, and the subsequent Declaration of Independence in 1776. The war ended in 1783 with the United States becoming the first country to gain independence from a European power. The current constitution was adopted in 1788, with the first ten amendments, collectively named the Bill of Rights, being ratified in 1791 to guarantee many fundamental civil liberties. The United States expanded across North America throughout the 19th century until it spanned the continent by 1848. During the second half of the 19th century, the Civil War led to the abolition of slavery. The United States emerged from as a global superpower and a permanent member of the",United States,Q30," The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country comprising 50 states, a federal district, five major self-governing territories, and various possessions. At , the United States is the world's third or fourth largest country by total area and is slightly smaller than the entire continent of Europe's . With a population of more than 327 million people, the U.S. is the third most populous country. Most of the country is located contiguously in North America between Canada and Mexico.  Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago. European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Following the French and Indian War, numerous disputes between Great Britain and the colonies led to the American Revolution, which began in 1775, and the subsequent Declaration of Independence in 1776. The war ended in 1783 with the United States becoming the first country to gain independence from a European power. The current constitution was adopted in 1788, with the first ten amendments, collectively named the Bill of Rights, being ratified in 1791 to guarantee many fundamental civil liberties. The United States expanded across North America throughout the 19th century until it spanned the continent by 1848. During the second half of the 19th century, the Civil War led to the abolition of slavery. The United States emerged from as a global superpower and a permanent member of the"
1948,19960201004559I,0,"NARRATIVE: HISTORY OF FLIGHT; ON 02-01-96 AT APPROXIMATELY 1625 LOCAL, MOONEY N231CS, FLOWN BY FRANK E. JOHNSON, RA","narrative: history of flight; on 02-01-96 at approximately 1625 local, mooney n231cs, flown by frank e. johnson, ra",frank e,Frank E. Johnson,Q5486378," Frank E. Johnson A.S.C. is an American cinematographer, producer and film director. He is best known for cinematography on ""The A-Team"", but has also worked the camera for such feature films such as ""Predator"" (1987), ""The Taking of Beverly Hills"" (1991), and ""The Man in the Black Suit"" (2004). He was twice nominated for an ASC Award for ""Outstanding Achievement in Cinematography"", in 2000 and 2001. He has a film set for release in 2009 as producer and director for ""Shannon's Rainbow"". ",Frank E. Johnson,Q5486378," Frank E. Johnson A.S.C. is an American cinematographer, producer and film director. He is best known for cinematography on ""The A-Team"", but has also worked the camera for such feature films such as ""Predator"" (1987), ""The Taking of Beverly Hills"" (1991), and ""The Man in the Black Suit"" (2004). He was twice nominated for an ASC Award for ""Outstanding Achievement in Cinematography"", in 2000 and 2001. He has a film set for release in 2009 as producer and director for ""Shannon's Rainbow"". "
1948,19960201004559I,0,"NARRATIVE: HISTORY OF FLIGHT; ON 02-01-96 AT APPROXIMATELY 1625 LOCAL, MOONEY N231CS, FLOWN BY FRANK E. JOHNSON, RA","narrative: history of flight; on 02-01-96 at approximately 1625 local, mooney n231cs, flown by frank e. johnson, ra",johnson,Gerald R. Johnson,Q20984638," Gerald R. ""Jerry"" Johnson (June 23, 1920 – October 7, 1945) was a World War II flying ace who flew for the United States Army Air Forces. He ended his war career with 22 kills and was awarded with the Distinguished Service Cross, Silver Star, Legion of Merit, Distinguished Flying Cross, and Air Medal. ",Kelly Johnson (engineer),Q596353," Clarence Leonard ""Kelly"" Johnson (February 27, 1910 – December 21, 1990) was an American aeronautical and systems engineer. He is recognized for his contributions to a series of important aircraft designs, most notably the Lockheed U-2 and SR-71 Blackbird. Besides the first production aircraft to exceed Mach 3, he also produced the first fighter capable of Mach 2, the United States' first operational jet fighter, as well as the first U.S. fighter to exceed 400 mph, and many other contributions to a large number of aircraft. As a member and first team leader of the Lockheed Skunk Works, Johnson worked for more than four decades and is said to have been an ""organizing genius"". He played a leading role in the design of over forty aircraft, including several honored with the prestigious Collier Trophy, acquiring a reputation as one of the most talented and prolific aircraft design engineers in the history of aviation. In 2003, as part of its commemoration of the 100th anniversary of the Wright Brothers' flight, ""Aviation Week & Space Technology"" ranked Johnson 8th on its list of the top 100 ""most important, most interesting, and most influential people"" in the first century of aerospace. Hall Hibbard, Johnson's Lockheed boss, referring to Johnson's Swedish ancestry once remarked to Ben Rich: ""That damned Swede can actually see air."" "
1948,19960201004559I,0,"NARRATIVE: HISTORY OF FLIGHT; ON 02-01-96 AT APPROXIMATELY 1625 LOCAL, MOONEY N231CS, FLOWN BY FRANK E. JOHNSON, RA","narrative: history of flight; on 02-01-96 at approximately 1625 local, mooney n231cs, flown by frank e. johnson, ra",ra,United States Aeronautical Reserve,Q16982574," The United States Aeronautical Reserve (U.S.A.R.) was an early aviation organization created by Harvard University’s Aero Club on September 8, 1910. The founder was John H. Ryan, and the General Secretary Richard R. Sinclair. The earliest aviators and others to enroll near the founding date were: “Glen H. Curtiss, Wilbur Wright, Harry S. Harkness, Augustus Post, Clifford B. Harmon, Allan R. Ryan, Herbert L. Saterlee, ex-governor Curtis Guild, Jr., Edwin Gould, Charles K. Hamilton, Horace F. Karnay, John G. Stratton, George M. Cox, Gen. Nelson A. Miles, Commodore John H. Hubbard, Charles F. Willard, Charles J. Glidden, Walter Brookins, Ralph J. Stone, William Hilliard, Cromwell Dixon, Samuel F. Perkins, Capt. Thomas F. Baldwin, Greeley S. Curtiss, General W. A. Bancroft, and Adams D. Clafton.”, Recruiting stations were at Harvard University, in Boston, Massachusetts; Mineola, Long Island; and Belmont Park, Long Island (Belmont Park is most known for its racetrack but it also has quite an early aviation history that became U.S.A.R.'s earliest members such as Glenn Curtiss and Wilber Wright of the Wright Bros).  Some of the United States Aeronautical Reserve's General Board were Clifford Harmon, Chief of Staff; John Barry Ryan, Commodore; Herbert I. Satterlee, NY; John Barry Ryan, NY; Wilbur Wright, Dayton, Ohio; Glenn Curtiss, Hammondsport, NY; Cortland Field Bishop, NY; Hon. John F. Fitzgerald, Boston, MA; Charles H. Allen (Treasurer), NY and Richard R. Sinclair (Assistant Treasurer) NY. The United States Aeronautical Reserve military contacts were the Army’s Brigadier General James Allen, Aeronautical Division, U.S. Signal Corps, Chief Signal Officer; and,",Radium,Q1128," Radium is a chemical element with the symbol Ra and atomic number 88. It is the sixth element in group 2 of the periodic table, also known as the alkaline earth metals. Pure radium is silvery-white, but it readily reacts with nitrogen (rather than oxygen) on exposure to air, forming a black surface layer of radium nitride (RaN). All isotopes of radium are highly radioactive, with the most stable isotope being radium-226, which has a half-life of 1600 years and decays into radon gas (specifically the isotope radon-222). When radium decays, ionizing radiation is a product, which can excite fluorescent chemicals and cause radioluminescence.  Radium, in the form of radium chloride, was discovered by Marie and Pierre Curie in 1898. They extracted the radium compound from uraninite and published the discovery at the French Academy of Sciences five days later. Radium was isolated in its metallic state by Marie Curie and Andre-Louis Debierne through the electrolysis of radium chloride in 1911.  In nature, radium is found in uranium and (to a lesser extent) thorium ores in trace amounts as small as a seventh of a gram per ton of uraninite. Radium is not necessary for living organisms, and adverse health effects are likely when it is incorporated into biochemical processes because of its radioactivity and chemical reactivity. Currently, other than its use in nuclear medicine, radium has no commercial applications; formerly, it was used as a radioactive source for radioluminescent devices and also in radioactive quackery for its supposed curative powers. Today, these former applications"
1953,19960603016879I,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative: pilot departed olive branch, ms and during climb out the left door popped open.",olive branch,"Olive Branch, Mississippi",Q867475," Olive Branch is a city in DeSoto County, Mississippi, United States. The population was 33,484 at the 2010 census, up from 21,054 in 2000. Olive Branch is part of the Memphis Metropolitan Statistical Area, a region that consists of three counties in southwest Tennessee, five counties in northwest Mississippi, and two counties in eastern Arkansas. From 1990 to 2010 Olive Branch was the fastest growing city in the United States, with a growth rate of 838%. Along with other rapidly growing suburbs in DeSoto County, Olive Branch attributes most of its growth and development to the exodus of large numbers of middle-class families from central Memphis. ","Olive Branch, Mississippi",Q867475," Olive Branch is a city in DeSoto County, Mississippi, United States. The population was 33,484 at the 2010 census, up from 21,054 in 2000. Olive Branch is part of the Memphis Metropolitan Statistical Area, a region that consists of three counties in southwest Tennessee, five counties in northwest Mississippi, and two counties in eastern Arkansas. From 1990 to 2010 Olive Branch was the fastest growing city in the United States, with a growth rate of 838%. Along with other rapidly growing suburbs in DeSoto County, Olive Branch attributes most of its growth and development to the exodus of large numbers of middle-class families from central Memphis. "
1953,19960603016879I,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative: pilot departed olive branch, ms and during climb out the left door popped open.",open,Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. ",Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. "
1954,19960607029719I,0,"NARRATIVE: AT APPROXIMATELY 5:40 PM, FRIDAY, JUNE 7, 1996, MR. STUART W. ASHMUN, THE PILOT IN COMMAND HAD A NOSE GE","narrative: at approximately 5:40 pm, friday, june 7, 1996, mr. stuart w. ashmun, the pilot in command had a nose ge",ashmun,Eli P. Ashmun,Q1328837," Eli Porter Ashmun (June 24, 1770May 10, 1819) was a Federalist United States Senator from Massachusetts from 1816 to 1818. ",Jehudi Ashmun,Q4386898," Jehudi Ashmun (April 21, 1794 – August 25, 1828) was an American religious leader and social reformer from New England who became involved in the American Colonization Society. It founded the colony of Liberia in West Africa as a place to resettle free people of color from the United States.  Ashmun emigrated to Monrovia, Liberia in 1822, where he served as the United States government's agent (de facto governor) for two different terms: one from August 1822 until April 1824, and another from August 1824 until March 1828. Suffering ill health, he returned to the United States and died later that year. "
1955,19960608013129A,3,FAILED REMOVE TAPED STATIC PORTS. USED FULL POWER FROM TAKEOFF TO VERY HARD NOSE FIRST IMPACT. DAMAGED GEAR. WINGS.,wings.,wings,Wings (1968 band),Q8025253," Wings was a folk rock band from the late sixties (not to be confused with the band later formed by Paul McCartney). The band members were veterans from an assortment of other sixties bands. Initially, the band was made up of Oz Bach of Spanky and Our Gang on bass, Pam Robins of Serendipity Singers sang, and on guitar Eddie Simon, younger brother of Paul Simon of Simon & Garfunkel. Before their first and only album was recorded, Eddie Simon was replaced with Jim Mason who co-wrote the Peter, Paul and Mary song ""I Dig Rock and Roll Music"". Also playing in the band were keyboardist Steve Knight, who later joined Mountain, Jefferson Airplane drummer Jerry Peloquin, and guitarist Jack McNichol. ",Wing,Q161358," A wing is a type of fin that produces lift, while moving through air or some other fluid. As such, wings have streamlined cross-sections that are subject to aerodynamic forces and act as airfoils. A wing's aerodynamic efficiency is expressed as its lift-to-drag ratio. The lift a wing generates at a given speed and angle of attack can be one to two orders of magnitude greater than the total drag on the wing. A high lift-to-drag ratio requires a significantly smaller thrust to propel the wings through the air at sufficient lift.  Lifting structures used in water, include various foils, including hydrofoils. Hydrodynamics is the governing science, rather than aerodynamics. Applications of underwater foils occur in hydroplanes, sailboats and submarines. "
1956,19960608018199I,2,NARRATIVE: RUNWAY 6R CENTER LINE LIGHT WAS OUT OF SOCKET. LEFT NOSE LANDING GEAR WHEEL HIT LIGHT DURING TAKEOFF. CR,cr,cr,Chromium(IV) chloride,Q2189834," Chromium(IV) chloride (CrCl) is an unstable chromium compound. It is generated by combining chromium(III) chloride and chlorine gas at elevated temperatures, but reverts back to those substances at room temperature.  ",Chromium,Q725," Chromium is a chemical element with the symbol Cr and atomic number 24. It is the first element in group 6. It is a steely-grey, lustrous, hard and brittle transition metal. Chromium is also the main additive in stainless steel, to which it adds anti-corrosive properties. Chromium is also highly valued as a metal that is able to be highly polished while resisting tarnishing. Polished chromium reflects almost 70% of the visible spectrum, with almost 90% of infrared light being reflected. The name of the element is derived from the Greek word χρωμα, ""chroma"", meaning color, because many chromium compounds are intensely colored.  Ferrochromium alloy is commercially produced from chromite by silicothermic or aluminothermic reactions and chromium metal by roasting and leaching processes followed by reduction with carbon and then aluminium. Chromium metal is of high value for its high corrosion resistance and hardness. A major development in steel production was the discovery that steel could be made highly resistant to corrosion and discoloration by adding metallic chromium to form stainless steel. Stainless steel and chrome plating (electroplating with chromium) together comprise 85% of the commercial use.  In the United States, trivalent chromium (Cr(III)) ion is considered an essential nutrient in humans for insulin, sugar and lipid metabolism. However, in 2014, the European Food Safety Authority, acting for the European Union, concluded that there was not sufficient evidence for chromium to be recognized as essential.  While chromium metal and Cr(III) ions are not considered toxic, hexavalent chromium (Cr(VI)) is both toxic and"
1958,19960614020959I,0,"NARRATIVE: AN AMPHIBIOUS AMATEUR BUILT SEARAY AIRCRAFT, N2171N SUSTAINED MINOR DAMAGE AFTER LANDING ON LAKE GENEVA,","narrative: an amphibious amateur built searay aircraft, n2171n sustained minor damage after landing on lake geneva,",lake geneva,Lake Geneva,Q6403," Lake Geneva ( or , rarely ; ) is a lake on the north side of the Alps, shared between Switzerland and France. It is one of the largest lakes in Western Europe and the largest on the course of the Rhone. Of it 59.53% () comes under the jurisdiction of Switzerland (cantons of Vaud, Geneva, and Valais), and 40.47% () under France (department of Haute-Savoie). ",Lake Geneva,Q6403," Lake Geneva ( or , rarely ; ) is a lake on the north side of the Alps, shared between Switzerland and France. It is one of the largest lakes in Western Europe and the largest on the course of the Rhone. Of it 59.53% () comes under the jurisdiction of Switzerland (cantons of Vaud, Geneva, and Valais), and 40.47% () under France (department of Haute-Savoie). "
1962,19960629015619A,5,FULL FLAPS ON TAKEOFF. BOUNCED AND PORPOISED. FAILED LIFT. OVERRAN RUNWAY HIT BERM. FLAPS 10 NOT 20. NO AG LICENSE.,no ag license.,no ag,No Objection Certificate,Q7044662," No Objection Certificate, popularly abbreviated as NOC, is a type of legal certificate issued by any agency, organization, institute or, in certain cases, an individual. It does not object to the covenants of the certificate. The certification is a requirement at most government-based departments predominantly from the Indian subcontinent. ",National Oceanic and Atmospheric Administration,Q214700," The National Oceanic and Atmospheric Administration (NOAA, like ""Noah"") is an American scientific agency within the United States Department of Commerce that focuses on the conditions of the oceans, major waterways, and the atmosphere.  NOAA warns of dangerous weather, charts seas, guides the use and protection of ocean and coastal resources, and conducts research to provide understanding and improve stewardship of the environment.  NOAA was officially formed in 1970 and in 2017 had over 11,000 civilian employees. Its research and operations are further supported by 321 uniformed service members who make up the NOAA Commissioned Corps.  Since October 2017, NOAA has been headed by Timothy Gallaudet, as acting Under Secretary of Commerce for Oceans and Atmosphere and NOAA interim administrator. "
1965,19960714025059I,0,NARRATIVE: PILOT WAS SPRAYING A MILLET FIELD. EXPERIENCED POWER LOSS ON LAST PASS. MADE A FORCED LANDING IN A CORN ,narrative: pilot was spraying a millet field.,millet,Millet,Q259438," Millets (/ˈmɪlɪts/) are a group of highly variable small-seeded grasses, widely grown around the world as cereal crops or grains for fodder and human food.  Millets are important crops in the semiarid tropics of Asia and Africa (especially in India, Mali, Nigeria, and Niger), with 97% of millet production in developing countries. The crop is favored due to its productivity and short growing season under dry, high-temperature conditions.  Millets are indigenous to many parts of the world. The most widely grown millet is pearl millet, which is an important crop in India and parts of Africa. Finger millet, proso millet, and foxtail millet are also important crop species.  Millets may have been consumed by humans for about 7,000 years and potentially had ""a pivotal role in the rise of multi-crop agriculture and settled farming societies"". ",Millet,Q259438," Millets (/ˈmɪlɪts/) are a group of highly variable small-seeded grasses, widely grown around the world as cereal crops or grains for fodder and human food.  Millets are important crops in the semiarid tropics of Asia and Africa (especially in India, Mali, Nigeria, and Niger), with 97% of millet production in developing countries. The crop is favored due to its productivity and short growing season under dry, high-temperature conditions.  Millets are indigenous to many parts of the world. The most widely grown millet is pearl millet, which is an important crop in India and parts of Africa. Finger millet, proso millet, and foxtail millet are also important crop species.  Millets may have been consumed by humans for about 7,000 years and potentially had ""a pivotal role in the rise of multi-crop agriculture and settled farming societies"". "
1966,19960428008739A,2,LOST POWER ON INITIAL CLIMB RIGHT ENGINE. FAILED POWER OFF LEFT ENGINE. BELOW VMC. CRASHED. TURBO WASTE GATE JAMMED,below vmc.,vmc,VMC,Q403268, VMC may refer to:     ,VMCA,Q7907200, VMCA is an abbreviation for  
1970,19960524045629A,2,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,got belwo umc.,belwo umc,Umbelebele Jomo Cosmos F.C.,Q16937092, Umbelebele Jomo Cosmos FC is a Swazi soccer club based in Mbabane. They play in the Swazi Premier League. ,UMC (computer),Q7865092, UMC (Uniwersalna Maszyna Cyfrowa - Polish for Universal Digital Machine) is a family of computers produced by Elwro from 1962. It consisted of vacuum-tube based UMC-1 and transistor-based UMC-10 (1964). UMC computers operated using negabinary (-2 base) numeral system invented by prof. Zdzisław Pawlak.  
1970,19960524045629A,4,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,will fly door open.,door open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Q60523248," The women's individual accuracy competition at the 2018 Asian Games in Puncak, Bogor Regency, Indonesia was held from 20 August to 23 August at the Gunung Mas.   ",The Doors Open,Q30686561," The Doors Open, published by Hodder and Stoughton in England in 1949 and by Walker and Company in the United States in 1962, is the third novel by the British mystery and thriller writer Michael Gilbert. Gilbert, who was appointed CBE in 1980, was a founder-member of the British Crime Writers' Association. The Mystery Writers of America named him a Grand Master in 1988 and in 1990 he was presented Bouchercon's Lifetime Achievement Award. Like his first two books, it features Inspector Hazlerigg, although not in a major role. It is, in fact, a very diffuse book in terms of its characters. Angus McMann, who was the chief protagonist of Gilbert's previous book, They Never Looked Inside, is briefly mentioned on the first page and makes a later appearance as a minor character. Hazlerigg does not appear until page 24 and thereafter only at intervals throughout the book. There are, in actuality, three other protagonists who, along with Hazlerigg, share the role of driving the narrative. One is Noel Anthony Pontarlier Rumbold (""Nap""), a junior solicitor in his father's London firm. Nap had spent four months on dangerous missions with the French maquis in occupied France during the war and is, apparently, still a Lieutenant-Colonel, D.S.O. A few years later he will be a main character in Gilbert's well-received novel ""Death Has Deep Roots"". Patrick (Paddy) Yeatman-Carter, an acquaintance of Nap's, is another lead character, as is his uncle, Alfred Lord Cedarbrook, a man with an astonishing background, much sought after by both the Foreign"
1973,19960817031829I,0,NARRATIVE: NOSEGEAR MECHANISM FAILED AND ALLOWED NOSEGEAR TO COLLAPSE ON TOUCHDOWN. INVESTIGATION INDICATES AIRCRAF,narrative: nosegear mechanism failed and allowed nosegear to collapse on touchdown.,nosegear,Association football headgear,Q4809337," Association football headgear is worn by association football players to protect the head from injury. The headgear is designed to absorb the impact of blows to the head by external physical forces in order to reduce the chance of a concussion, a noteworthy example in international football being Czech goalkeeper Petr Cech from Arsenal. These collisions can occur from head to head, head to ground, head to goal post, or head to body extremity contact. It is flexible, not a rigid helmet. ",Nosebleed section,Q7061764," In the United States and Canada, the nosebleed section are the seats of a public area, usually an athletic stadium or gymnasium, that are highest and, usually, farthest from the desired activity. A common tongue-in-cheek reference to having seats at the upper tiers of a stadium is ""sitting in the nosebleed section,"" or ""nosebleed seats."" The reference alludes to the tendency for mountain climbers to suffer nosebleed at high altitudes.  The term appeared in print as early as 1953 when it was used to describe the last row in the end zone at Philadelphia's Municipal Stadium (later John F. Kennedy Stadium) during that year's Army-Navy football game. "
1973,19960817031829I,1,NARRATIVE: NOSEGEAR MECHANISM FAILED AND ALLOWED NOSEGEAR TO COLLAPSE ON TOUCHDOWN. INVESTIGATION INDICATES AIRCRAF,investigation indicates aircraf,aircraf,AirRoad,Q4697678," AirRoad is a major national logistics company headquartered in Sydney, Australia, with operations in major capital and regional cities and towns around Australia. AirRoad was the first Australian transport carrier to introduce barcode scanning at an item level to track client's freight in 1990. ",Aircruising Australia,Q4698581," Aircruising Australia Limited () is an airline based in Sydney, Australia. It operates air cruises/sightseeing trips as well as charter flights around Australia and New Zealand. Its main base is Sydney Airport. "
1975,19960817029279I,0,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI","narrative: mooney n253tm, a mooney 020m, departed bozeman, montana, gallatin field, and returned for landing immedi",mooney,Walter E. Mooney,Q7964726," Walter E. Mooney (June 6, 1925 – March 1, 1990) was a MIT educated engineer, aircraft designer, pilot and model aircraft designer who lived in San Diego, California. He was well known professionally for his full scale aircraft efforts for Convair division of General Dynamics but more popularly known for the many plans and articles published in the magazines ""Model Airplane News"", ""Boys' Life"", and ""Aero Modeller"" in the 1960s. He was once featured as a daredevil glider pilot on the 1973 TV series ""Thrill Seekers"". He designed the ROHR Two-175 Experimental Aircraft almost put in production to compete against the Cessna 172 in 1971.  The Flying Aces model club of Washington has held a Walt Mooney Memorial model airplane meet named in his honor.    ",Walter E. Mooney,Q7964726," Walter E. Mooney (June 6, 1925 – March 1, 1990) was a MIT educated engineer, aircraft designer, pilot and model aircraft designer who lived in San Diego, California. He was well known professionally for his full scale aircraft efforts for Convair division of General Dynamics but more popularly known for the many plans and articles published in the magazines ""Model Airplane News"", ""Boys' Life"", and ""Aero Modeller"" in the 1960s. He was once featured as a daredevil glider pilot on the 1973 TV series ""Thrill Seekers"". He designed the ROHR Two-175 Experimental Aircraft almost put in production to compete against the Cessna 172 in 1971.  The Flying Aces model club of Washington has held a Walt Mooney Memorial model airplane meet named in his honor.    "
1975,19960817029279I,0,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI","narrative: mooney n253tm, a mooney 020m, departed bozeman, montana, gallatin field, and returned for landing immedi",mooney,Walter E. Mooney,Q7964726," Walter E. Mooney (June 6, 1925 – March 1, 1990) was a MIT educated engineer, aircraft designer, pilot and model aircraft designer who lived in San Diego, California. He was well known professionally for his full scale aircraft efforts for Convair division of General Dynamics but more popularly known for the many plans and articles published in the magazines ""Model Airplane News"", ""Boys' Life"", and ""Aero Modeller"" in the 1960s. He was once featured as a daredevil glider pilot on the 1973 TV series ""Thrill Seekers"". He designed the ROHR Two-175 Experimental Aircraft almost put in production to compete against the Cessna 172 in 1971.  The Flying Aces model club of Washington has held a Walt Mooney Memorial model airplane meet named in his honor.    ",Mooney International Corporation,Q1946745," The Mooney International Corporation (formerly Mooney Aviation Company, Inc. and the Mooney Aircraft Company) is a Chinese-owned aircraft manufacturer that was founded in 1929 by Albert Mooney and his brother Arthur. The company is based in Kerrville, Texas, United States, and manufactures single-engined piston-powered general aviation aircraft. Mooney International is owned by the Meijing Group and currently markets the M20V Acclaim Ultra and M20U Ovation Ultra. Deliveries of the M20V Acclaim Ultra began in July 2017.  Among Mooney's achievements are the first pressurized single-engined, piston-powered aircraft, the M22 Mustang; production of the fastest civilian single-engine piston-powered aircraft in the world, the M20TN Acclaim Type S; the first production aircraft to achieve on , the M20J 201; and the fastest transcontinental flight in a single-engine piston-powered production aircraft, the M20K 231.  Many Mooney aircraft have the signature vertical stabilizer with its vertical leading edge and swept trailing edge that gives the illusion of being forward-swept. "
