doc_idx,sent_idx,original_sentence,input,mention,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
2122,0,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.","on departure from ava, mo.",mo,Missouri,Q1581," Missouri is a state in the Midwestern United States. With over six million residents, it is the 18th-most populous state of the Union. The largest urban areas are St. Louis, Kansas City, Springfield, and Columbia; the capital is Jefferson City. The state is the 21st-most extensive in area. Missouri is bordered by eight states (tied for the most with Tennessee): Iowa to the north, Illinois, Kentucky, and Tennessee (via the Mississippi River) to the east, Arkansas to the south, and Oklahoma, Kansas, and Nebraska to the west. In the South are the Ozarks, a forested highland, providing timber, minerals, and recreation. The Missouri River, after which the state is named, flows through the center of the state into the Mississippi River, which makes up Missouri's eastern border.  Humans have inhabited the land now known as Missouri for at least 12,000 years. The Mississippian culture built cities and mounds, before declining in the 14th century. When European explorers arrived in the 17th century they encountered the Osage and Missouria nations. The French established Louisiana, a part of New France, and founded Ste. Genevieve in 1735 and St. Louis in 1764. After a brief period of Spanish rule, the United States acquired the Louisiana Purchase in 1803. Americans from the Upland South, including enslaved African Americans, rushed into the new Missouri Territory. Missouri was admitted as a slave state as part of the Missouri Compromise. Many from Virginia, Kentucky, and Tennessee settled in the Boonslick area of Mid-Missouri. Soon after, heavy German immigration formed the Missouri",United States,Q30," The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country comprising 50 states, a federal district, five major self-governing territories, and various possessions. At , the United States is the world's third or fourth largest country by total area and is slightly smaller than the entire continent of Europe's . With a population of more than 327 million people, the U.S. is the third most populous country. Most of the country is located contiguously in North America between Canada and Mexico.  Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago. European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Following the French and Indian War, numerous disputes between Great Britain and the colonies led to the American Revolution, which began in 1775, and the subsequent Declaration of Independence in 1776. The war ended in 1783 with the United States becoming the first country to gain independence from a European power. The current constitution was adopted in 1788, with the first ten amendments, collectively named the Bill of Rights, being ratified in 1791 to guarantee many fundamental civil liberties. The United States expanded across North America throughout the 19th century until it spanned the continent by 1848. During the second half of the 19th century, the Civil War led to the abolition of slavery. The United States emerged from as a global superpower and a permanent member of the"
2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover, crashed on airport property off rwy.",rwy,R513 (South Africa),Q17084984," The R513 is a Regional Route in South Africa. It is an east-west route. The western origin is just north of Hartbeespoort, North West from the R511. From there it heads east, quickly crossing the border to Gauteng, and entering the city of Pretoria in the north-west. It meets with Pretoria's M17 at a staggered junction continuing through the suburbs of Akasia (as Brits Road) and Pretoria North (as Rachel de Beer Street). It then becomes co-signed with Pretoria's M1 and the R101 before emerging as the east-bound Sefako Makgatho (Zambesi) Drive, which runs through Annlin and Montana before forming an interchange with the N1 and exiting the city. Just east of the city, the R573 is given off, heading north-east. Continuing east it passes through the town of Cullinan where the R515 is given off, heading south. At Ekangala, the road meets the north-south R568 road at a t-junction. It is co-signed to the south for a short time, before the R513 leaves to the south-east to end at the R104 near Bronkhorstspruit.  ",R3 (ring road),Q546090," The R3 is a ring road around the city of Charleroi, Belgium. It is about 33 km long, with 2 lanes in each direction on most of its length and short sections with 2 + 3 lanes. While Charleroi is one of only few Belgian cities with a complete ring road, the R3 road only covers the western, southern and eastern portions of the ring, the northern part being covered by the A15 motorway.  The speed limit is on the entire length, except in some tunnels and on the Couillet viaduct, where the limit is lower. "
2123,0,"ACFT STALLED AND CRASHED UPON TAKEOFF. (.19)ON NOVEMBER 4, 1998, AT 1045 HOURS PACIFIC STANDARD TIME, A PIPER PA-46",acft stalled and crashed upon takeoff.,acft,Acme Airport,Q3912550," Acme Airport, formerly , was located south of Acme, Alberta, Canada.   ",Air Cargo Germany,Q325722," Air Cargo Germany GmbH (abbreviated ACG) was a German cargo airline. Based at Frankfurt-Hahn Airport, it was operational between 2009 and 2013. "
2126,1,"(.19) ON NOVEMBER 14, 1998, AT 1115 CENTRAL STANDARD TIME, A CESSNA 182F, N3240U, PILOTED BY A COMMERCIAL PILOT, RE","19) on november 14, 1998, at 1115 central standard time, a cessna 182f, n3240u, piloted by a commercial pilot, re.",central standard,Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. ",Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. "
2126,1,"(.19) ON NOVEMBER 14, 1998, AT 1115 CENTRAL STANDARD TIME, A CESSNA 182F, N3240U, PILOTED BY A COMMERCIAL PILOT, RE","19) on november 14, 1998, at 1115 central standard time, a cessna 182f, n3240u, piloted by a commercial pilot, re.",cessna,Cessna,Q308889," The Cessna Aircraft Company () was an American general aviation aircraft manufacturing corporation headquartered in Wichita, Kansas. Best known for small, piston-powered aircraft, Cessna also produced business jets. For many years the company was one of the highest-volume producers of general aviation aircraft in the world. Founded in 1927, it was purchased by General Dynamics in 1985, then by Textron, Inc. in 1992. In March 2014, when Textron purchased the Beechcraft and Hawker Aircraft businesses, Cessna ceased operations as a subsidiary company and joined the others as one of the three distinct brands produced by Textron Aviation. ",Cessna,Q308889," The Cessna Aircraft Company () was an American general aviation aircraft manufacturing corporation headquartered in Wichita, Kansas. Best known for small, piston-powered aircraft, Cessna also produced business jets. For many years the company was one of the highest-volume producers of general aviation aircraft in the world. Founded in 1927, it was purchased by General Dynamics in 1985, then by Textron, Inc. in 1992. In March 2014, when Textron purchased the Beechcraft and Hawker Aircraft businesses, Cessna ceased operations as a subsidiary company and joined the others as one of the three distinct brands produced by Textron Aviation. "
2127,1,"(.19)ON NOVEMBER 15, 1998, APPROXIMATELY 0945 CENTRAL STANDARD TIME, A BELL 206B HELICOPTER, N21466, WAS SUBSTANTIA","19)on november 15, 1998, approximately 0945 central standard time, a bell 206b helicopter, n21466, was substantia.",central standard,Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. ",Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. "
2129,0,"ACFT EXPERIENCED A LOSS OF POWER ON TAKEOFF, RETURNED TO THE APRT, AND SUSTAINED SUBSTANTIAL DAMAGE. (-23)THE MIXTU","acft experienced a loss of power on takeoff, returned to the aprt, and sustained substantial damage.",acft,Acme Airport,Q3912550," Acme Airport, formerly , was located south of Acme, Alberta, Canada.   ",Armstrong Flight Research Center,Q305443," The NASA Neil A. Armstrong Flight Research Center (AFRC) is an aeronautical research center operated by NASA. Its primary campus is located inside Edwards Air Force Base in California and is considered NASA's premier site for aeronautical research. AFRC operates some of the most advanced aircraft in the world and is known for many aviation firsts, including critical support for the first crewed airplane to exceed the speed of sound in level flight with the Bell X-1, highest speed ever recorded by a crewed, powered aircraft (North American X-15), the first pure digital fly-by-wire aircraft (F-8 DFBW), and many others. AFRC also operates a second site in Palmdale, Ca. known as Building 703, once the former Rockwell International/North American Aircraft production facility, at Air Force Plant 42. There, AFRC houses and operates several of NASA's Science Mission Directorate aircraft including SOFIA (Stratospheric Observatory For Infrared Astronomy), a DC-8 Flying Laboratory, a Gulfstream C-20A UAVSAR and ER-2 High Altitude Platform. David McBride is currently the center's director.  On March 1, 2014, the facility was renamed in honor of Neil Armstrong, a former test pilot at the center and the first human being to walk on the surface of the moon. The center was previously known as the Dryden Flight Research Center (DFRC) from March 26, 1976, in honor of Hugh L. Dryden, a prominent aeronautical engineer who at the time of his death in 1965 was NASA's deputy administrator. It has also previously been known as the National Advisory Committee for Aeronautics Muroc Flight Test"
2129,1,"ACFT EXPERIENCED A LOSS OF POWER ON TAKEOFF, RETURNED TO THE APRT, AND SUSTAINED SUBSTANTIAL DAMAGE. (-23)THE MIXTU", (-23)the mixtu.,mixtu,Mixe,Q1940883," The Mixe (Spanish ' or rarely ' ) are an indigenous people of Mexico inhabiting the eastern highlands of the state of Oaxaca. They speak the Mixe languages, which are classified in the Mixe–Zoque family, and are more culturally conservative than other indigenous groups of the region, maintaining their language to this day. A population figure of 90,000 speakers of Mixe were estimated by SIL international in 1993. The Mixe name for themselves is ""ayuujkja'ay"" meaning ""people who speak the mountain language"" The word ""Mixe"" itself is probably derived from the Nahuatl word for cloud: ""mixtli"". ",Mixtec,Q623215," The Mixtecs (), or Mixtecos, are indigenous Mesoamerican peoples of Mexico inhabiting the region known as La Mixteca of Oaxaca and Puebla as well as the state of Guerrero's Region Montanas, and Region Costa Chica, which covers parts of the Mexican states of Oaxaca, Guerrero and Puebla.  The Mixtec region and the Mixtec peoples are traditionally divided into three groups, two based on their original economic caste and one based on the region they settled. High Mixtecs or were of the upper class and generally richer; the Low Mixtecs or ""mixteco bajo"" were generally poorer. In recent times, an economic reversal or equalizing has been seen. The third group is Coastal Mixtecs ""mixteco de la costa"" whose language is closely related to that of the Low Mixtecs; they currently inhabit the Pacific slope of Oaxaca and Guerrero. The Mixtec languages form a major branch of the Oto-Manguean language family.  In pre-Columbian times, a number of Mixtecan city states competed with each other and with the Zapotec kingdoms. The major Mixtec polity was Tututepec which rose to prominence in the 11th century under the leadership of Eight Deer Jaguar Claw, the only Mixtec king who ever united the Highland and Lowland polities into a single state. Like the rest of the indigenous peoples of Mexico, the Mixtec were conquered by the Spanish invaders and their indigenous allies in the 16th century. Pre-Columbia Mixtecs numbered around 1.5 million. Today there are approximately 800,000 Mixtec people in Mexico, and there are also large populations in the"
2130,0,"NARRATIVE: ON MONDAY, FEBRUARY 16, 1998, AT 0715 EST, A BA JETSTREAM 3201, N492UE, FLIGHT 6269, OPERATED BY ATLANTI","narrative: on monday, february 16, 1998, at 0715 est, a ba jetstream 3201, n492ue, flight 6269, operated by atlanti",atlanti,Atlantia (company),Q756243," Atlantia Spa (formerly Autostrade Spa) is an Italian holding company operating motorways and airports.  It is a leading company in the world active in the motorway, airport infrastructure and transport services sector, with an extensive presence in 16 countries.  The group manages 14,000 kilometres (8700 miles) of toll motorways, Fiumicino and Ciampino airports in Italy and the three airstrips of Nice, Cannes-Mandelieu and Saint Tropez in France with more than 60 million passengers a year.  It is listed on the Borsa Italiana and is a constituent of the FTSE MIB index.  The main shareholders are: Edizione (a company of the Benetton Family), GIC Pte Ltd, the CRT Foundation, Lazard Asset Management, HSBC Holdings.  Although the main motorways in Italy are owned by Atlantia, some of the maintenance work is operated by the state-owned ANAS corporation. ",Alitalia,Q153975," Alitalia – Societa Aerea Italiana (""Alitalia – Italian Air Company""), operating as Alitalia (), is the flag carrier of Italy. The company has its head office in Fiumicino, Rome, Italy. Its main hub is Leonardo da Vinci–Fiumicino Airport, Rome, and a secondary is Linate Airport, Milan. Other focus airports are Catania–Fontanarossa Airport, Milan Malpensa Airport, Palermo Airport and Naples Airport. In 2018, it was the twelfth-largest airline in Europe. The name ""Alitalia"" is an Italian portmanteau of the words ""ali"" (wings), and ""Italia"" (Italy).  On 2 May 2017, the airline went into administration after the Italian government formally approved the move. "
2131,0,ACFT WAS ON A TEST FLIGHT WHEN IT CRASHED UNDER UNKNOWN CIRCUMSTANCES. (.4) THE AIRPLANE IMPACTED TERRAIN FOLLOWING,acft was on a test flight when it crashed under unknown circumstances.,acft,ACME Anser,Q2819051," The ACME Anser was an amphibious twin-jet utility aircraft that was developed in the United States by Air Craft Marine Engineering in 1958. Its name was a contraction of Analytic Services, a company that contributed to the design. The project was cancelled before the prototype was complete.  ",Air Cargo Germany,Q325722," Air Cargo Germany GmbH (abbreviated ACG) was a German cargo airline. Based at Frankfurt-Hahn Airport, it was operational between 2009 and 2013. "
2137,0,AFTER KLM CFRS PERFORMED MAINTENANCE ON THE ENGINE #2 ANTI-ICE VALVE. THE MAINTENANCE PERSONNEL DID NOT LATCH THE L,after klm cfrs performed maintenance on the engine #2 anti-ice valve.,klm cfrs,Greenland Airport Authority,Q3182305," The Greenland Airports (, ) is the national airport operator of the airports in Greenland, in charge of airport upgrades and associated fees and taxes in all airports in Greenland.  Owned by the Government of Greenland, it operates 13 airports, all of which can accommodate fixed-wing STOL operations year-round, and two can handle airliners. It also operates a large, countrywide network of heliports, of which 8 are primary heliports, while the rest are considered helistops. The company employs over 400 people, mainly staffing the main airports. Most of the helistops are staffed by Air Greenland. Greenland Airports also owns two airport hotels, at Kangerlussuaq and Narsarsuaq. It also operates an AFIS school at Narsarsuaq. Greenland Airports is supervised by the Danish Transport Authority regarding safety rules and other regulations.  For all the airports operated by the authority, see the List of airports in Greenland.  In 2016 the state owned company Kalaallit Airports A/S was formed. It shall build or rebuild (extend) the airports in Nuuk, Ilulissat and Qaqortoq, starting 2018, and thereafter own them.  ",Greenland Airport Authority,Q3182305," The Greenland Airports (, ) is the national airport operator of the airports in Greenland, in charge of airport upgrades and associated fees and taxes in all airports in Greenland.  Owned by the Government of Greenland, it operates 13 airports, all of which can accommodate fixed-wing STOL operations year-round, and two can handle airliners. It also operates a large, countrywide network of heliports, of which 8 are primary heliports, while the rest are considered helistops. The company employs over 400 people, mainly staffing the main airports. Most of the helistops are staffed by Air Greenland. Greenland Airports also owns two airport hotels, at Kangerlussuaq and Narsarsuaq. It also operates an AFIS school at Narsarsuaq. Greenland Airports is supervised by the Danish Transport Authority regarding safety rules and other regulations.  For all the airports operated by the authority, see the List of airports in Greenland.  In 2016 the state owned company Kalaallit Airports A/S was formed. It shall build or rebuild (extend) the airports in Nuuk, Ilulissat and Qaqortoq, starting 2018, and thereafter own them.  "
2138,2,"ACFT CRASHED IN A FIELD AND CAME TO REST INVERTED. (.19)ON DECEMBER 17, 1998, AT 1042 CENTRAL STANDARD TIME, A CESS","19)on december 17, 1998, at 1042 central standard time, a cess.",central standard,Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. ",Central Time Zone,Q2086913," The North American Central Time Zone (CT) is a time zone in parts of Canada, the United States, Mexico, Central America, some Caribbean Islands, and part of the Eastern Pacific Ocean. Central Standard Time (CST) is behind Coordinated Universal Time (UTC). During summer most of the zone uses daylight saving time (DST), and changes to Central Daylight Time (CDT) which is behind UTC.  The largest city in the Central Time Zone is Mexico City; the Mexico City metropolitan area is the largest metropolitan area in the zone and North America. "
2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas, ca.",salinas,"Salinas, California",Q488125," Salinas is the county seat and largest municipality of Monterey County, California. Salinas is an urban area located just outside the southern portion of the Greater Bay Area and east-southeast of the mouth of the Salinas River. The population was 157,218 . The city is located at the mouth of the Salinas Valley roughly eight miles from the Pacific Ocean and has a climate more influenced by the ocean than the hot-summer interior.  Salinas serves as the main business, governmental and industrial center of the region. The marine climate is ideal for the floral industry, grape vineyards, and vegetable growers. Salinas is known as the Salad Bowl of the World"" for its large, vibrant agriculture industry.  It was the hometown of writer and Nobel laureate John Steinbeck (1902-1968), who set many of his stories in the Salinas Valley and Monterey. The eponymous street in Salinas that was the setting for his novel ""Cannery Row"" is a tourist attraction, along with Steinbeck's boyhood home. ","Salinas, California",Q488125," Salinas is the county seat and largest municipality of Monterey County, California. Salinas is an urban area located just outside the southern portion of the Greater Bay Area and east-southeast of the mouth of the Salinas River. The population was 157,218 . The city is located at the mouth of the Salinas Valley roughly eight miles from the Pacific Ocean and has a climate more influenced by the ocean than the hot-summer interior.  Salinas serves as the main business, governmental and industrial center of the region. The marine climate is ideal for the floral industry, grape vineyards, and vegetable growers. Salinas is known as the Salad Bowl of the World"" for its large, vibrant agriculture industry.  It was the hometown of writer and Nobel laureate John Steinbeck (1902-1968), who set many of his stories in the Salinas Valley and Monterey. The eponymous street in Salinas that was the setting for his novel ""Cannery Row"" is a tourist attraction, along with Steinbeck's boyhood home. "
2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas, ca.",ca,California,Q99," California is a state in the Pacific Region of the United States. With 39.6 million residents across a total area of about , California is the most populous U.S. state and the third-largest by area. The state capital is Sacramento. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and fifth-most populous urban regions, with 18.7 million and 9.7 million residents respectively. Los Angeles is California's most populous city, and the country's second-most populous, after New York City. California also has the nation's most populous county, Los Angeles County, and its largest county by area, San Bernardino County. The City and County of San Francisco is both the country's second-most densely populated major city after New York City and the fifth-most densely populated county, behind only four of the five New York City boroughs.  California's $3.0 trillion economy is larger than that of any other state; larger than those of Texas and Florida combined; and is the largest sub-national economy in the world. If it were a country, California would be the fifth-largest economy in the world (larger than the United Kingdom, France, or India), and the 36th-most populous . The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and third-largest urban economies ($1.253 trillion and $907 billion respectively ), after the New York metropolitan area. The San Francisco Bay Area PSA had the nation's highest GDP per capita in 2017 (~$94,000) among large PSAs, and is home to three of the world's ten largest companies by market",California,Q99," California is a state in the Pacific Region of the United States. With 39.6 million residents across a total area of about , California is the most populous U.S. state and the third-largest by area. The state capital is Sacramento. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and fifth-most populous urban regions, with 18.7 million and 9.7 million residents respectively. Los Angeles is California's most populous city, and the country's second-most populous, after New York City. California also has the nation's most populous county, Los Angeles County, and its largest county by area, San Bernardino County. The City and County of San Francisco is both the country's second-most densely populated major city after New York City and the fifth-most densely populated county, behind only four of the five New York City boroughs.  California's $3.0 trillion economy is larger than that of any other state; larger than those of Texas and Florida combined; and is the largest sub-national economy in the world. If it were a country, California would be the fifth-largest economy in the world (larger than the United Kingdom, France, or India), and the 36th-most populous . The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second- and third-largest urban economies ($1.253 trillion and $907 billion respectively ), after the New York metropolitan area. The San Francisco Bay Area PSA had the nation's highest GDP per capita in 2017 (~$94,000) among large PSAs, and is home to three of the world's ten largest companies by market"
2140,1,"(.19)ON OCTOBER 26, 1998, ABOUT 1750 ALASKA STANDARD TIME, A WHEEL EQUIPPED CESSNA 207A AIRPLANE, N73533, SUSTAINED","19)on october 26, 1998, about 1750 alaska standard time, a wheel equipped cessna 207a airplane, n73533, sustained.",alaska,Alaska,Q797," Alaska (; ; ; Alutiiq: ""Alas'kaaq;"" Tlingit: ""Anaaski;"" ) is a U.S. state in the northwest extremity of the United States West Coast, just across the Bering Strait from Asia. The Canadian province of British Columbia and territory of Yukon border the state to the east and southeast. Its most extreme western part is Attu Island, and it has a maritime border with Russia (Chukotka Autonomous Okrug) to the west across the Bering Strait. To the north are the Chukchi and Beaufort seas—southern parts of the Arctic Ocean. The Pacific Ocean lies to the south and southwest. It is the largest U.S. state by area and the seventh largest subnational division in the world. In addition, it is the 3rd least populous and the most sparsely populated of the 50 United States; nevertheless, it is by far the most populous territory located mostly north of the 60th parallel in North America: its population—estimated at 738,432 by the United States Census Bureau in 2015— is more than quadruple the combined populations of Northern Canada and Greenland. Approximately half of Alaska's residents live within the Anchorage metropolitan area. Alaska's economy is dominated by the fishing, natural gas, and oil industries, resources which it has in abundance. United States armed forces bases and tourism are also a significant part of the economy.  In a deal known as Seward's Folly, The United States purchased Alaska from the Russian Empire on March 30, 1867, for 7.2 million U.S. dollars at approximately two cents per acre ($4.74/km). The area went through",Alaska,Q797," Alaska (; ; ; Alutiiq: ""Alas'kaaq;"" Tlingit: ""Anaaski;"" ) is a U.S. state in the northwest extremity of the United States West Coast, just across the Bering Strait from Asia. The Canadian province of British Columbia and territory of Yukon border the state to the east and southeast. Its most extreme western part is Attu Island, and it has a maritime border with Russia (Chukotka Autonomous Okrug) to the west across the Bering Strait. To the north are the Chukchi and Beaufort seas—southern parts of the Arctic Ocean. The Pacific Ocean lies to the south and southwest. It is the largest U.S. state by area and the seventh largest subnational division in the world. In addition, it is the 3rd least populous and the most sparsely populated of the 50 United States; nevertheless, it is by far the most populous territory located mostly north of the 60th parallel in North America: its population—estimated at 738,432 by the United States Census Bureau in 2015— is more than quadruple the combined populations of Northern Canada and Greenland. Approximately half of Alaska's residents live within the Anchorage metropolitan area. Alaska's economy is dominated by the fishing, natural gas, and oil industries, resources which it has in abundance. United States armed forces bases and tourism are also a significant part of the economy.  In a deal known as Seward's Folly, The United States purchased Alaska from the Russian Empire on March 30, 1867, for 7.2 million U.S. dollars at approximately two cents per acre ($4.74/km). The area went through"
2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",hicks,Hicks Field,Q14710494," Hicks Field (Camp Taliaferro Field #1) is a former World War I military airfield, located North-northwest of Saginaw, Texas. It operated as a training field for the Air Service, United States Army between 1917 until 1920. It was one of thirty-two Air Service training camps established after the United States entry into World War I in April 1917.  After the United States' entry into World War I in April 1917, General John J. ""Blackjack"" Pershing invited the British Royal Flying Corps to establish training fields in Texas for the training of American and Canadians volunteers because of its mild weather. After looking at sites in Dallas, Fort Worth, Waco, Austin, Wichita Falls and Midland, three sites were established in 1917 in the Fort Worth vicinity (known as the ""Flying Triangle.""), those being Hicks Field (#1), Barron Field (#2), and Benbrook Field (#3).  Canadians named the training complex Camp Taliaferro after Walter Taliaferro, a US aviator who had been killed in an accident. Camp Taliaferro was headquartered under the direction of the Air Service, United States Army, which had an administration center near what is now the Will Rodgers Memorial Center in Fort Worth, Texas. ",Hicks,Q405906," Hicks, also spelled Hickes, is a surname. See also Hix.     "
2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",sauk center,"Sauk Centre, Minnesota",Q996590," Sauk Centre is a city in Stearns County, Minnesota, United States. The population was 4,317 at the 2010 census. It is the birthplace of Sinclair Lewis, a novelist and winner of the Nobel Prize in Literature, and Sauk Centre served as the inspiration for Gopher Prairie, the fictional setting of Lewis's 1920 novel ""Main Street"".  Sauk Centre is part of the St. Cloud Metropolitan Statistical Area. ","Sauk Centre, Minnesota",Q996590," Sauk Centre is a city in Stearns County, Minnesota, United States. The population was 4,317 at the 2010 census. It is the birthplace of Sinclair Lewis, a novelist and winner of the Nobel Prize in Literature, and Sauk Centre served as the inspiration for Gopher Prairie, the fictional setting of Lewis's 1920 novel ""Main Street"".  Sauk Centre is part of the St. Cloud Metropolitan Statistical Area. "
2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",mn,Minnesota,Q1527," Minnesota () is a state in the Upper Midwest, Great Lakes, and northern regions of the United States. Minnesota was admitted as the 32nd U.S. state on May 11, 1858, created from the eastern half of the Minnesota Territory. The state has a large number of lakes, and is known by the slogan the ""Land of 10,000 Lakes"". Its official motto is ""L'Etoile du Nord"" (French: ""Star of the North"").  Minnesota is the 12th largest in area and the 22nd most populous of the U.S. states; nearly 55% of its residents live in the Minneapolis–Saint Paul metropolitan area (known as the ""Twin Cities""). This area has the largest concentration of transportation, business, industry, education, and government in the state. Other urban centers throughout ""Greater Minnesota"" include Duluth, East Grand Forks, Mankato, Moorhead, Rochester, and St. Cloud.  The geography of the state consists of western prairies now given over to intensive agriculture; deciduous forests in the southeast, now partially cleared, farmed, and settled; and the less populated North Woods, used for mining, forestry, and recreation.  Minnesota was inhabited by various indigenous peoples for thousands of years prior to the arrival of Europeans, some of whom continue to reside in Minnesota today. French explorers, missionaries, and fur traders began exploring the region in the 17th century, encountering the Dakota and Ojibwe/Anishinaabe tribes. Much of what is today Minnesota was part of the vast French holding of Louisiana, which was purchased by the United States in 1803. Following several territorial reorganizations, Minnesota in its current",Minnesota,Q1527," Minnesota () is a state in the Upper Midwest, Great Lakes, and northern regions of the United States. Minnesota was admitted as the 32nd U.S. state on May 11, 1858, created from the eastern half of the Minnesota Territory. The state has a large number of lakes, and is known by the slogan the ""Land of 10,000 Lakes"". Its official motto is ""L'Etoile du Nord"" (French: ""Star of the North"").  Minnesota is the 12th largest in area and the 22nd most populous of the U.S. states; nearly 55% of its residents live in the Minneapolis–Saint Paul metropolitan area (known as the ""Twin Cities""). This area has the largest concentration of transportation, business, industry, education, and government in the state. Other urban centers throughout ""Greater Minnesota"" include Duluth, East Grand Forks, Mankato, Moorhead, Rochester, and St. Cloud.  The geography of the state consists of western prairies now given over to intensive agriculture; deciduous forests in the southeast, now partially cleared, farmed, and settled; and the less populated North Woods, used for mining, forestry, and recreation.  Minnesota was inhabited by various indigenous peoples for thousands of years prior to the arrival of Europeans, some of whom continue to reside in Minnesota today. French explorers, missionaries, and fur traders began exploring the region in the 17th century, encountering the Dakota and Ojibwe/Anishinaabe tribes. Much of what is today Minnesota was part of the vast French holding of Louisiana, which was purchased by the United States in 1803. Following several territorial reorganizations, Minnesota in its current"
2143,2,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," (d39) to carroll, ia (cin).",carroll,"Carroll, Iowa",Q1903180," Carroll is a city in and the county seat of Carroll County, Iowa, United States, along the Middle Raccoon River. The population was 10,103 in the 2010 census, down three people from the 10,106 population in the 2000 census. ","Carroll, Iowa",Q1903180," Carroll is a city in and the county seat of Carroll County, Iowa, United States, along the Middle Raccoon River. The population was 10,103 in the 2010 census, down three people from the 10,106 population in the 2000 census. "
