IDENT,PROBLEM,ACTION
103503,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
103504,#1 CYL FWD BAFFLE SEAL HAS A HOLE WORN IN IT.,REPAIRED W/ HIGH TEMP SILICONE.
103505,#1 ROCKER COVER LEAKING.,"REMOVED, CLEANED & REPLACED W/ NE GASKET."
103506,"#2, 3 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW INTAKE GASKETS.
103507,L/H & R/H BAFFLE PLUGS LOOSE & BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUGS.
103508,CYL #4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103509,"UPON RUN UP, HAD MAG DROP OF 300+ RPM W/ AGGRESSIVE SHAKING.",PERFORMED RUN UP ON ENGINE & NOTED NORMAL INDICATIONS &
103510,#2 INTAKE SLIGHT LEAK.,INSTALLED NEW INTAKE GASKET.
103511,FWD LWR BAFFLE BLACK SEAL WORN FROM INTAKE.,INSTALLED RTV IN WORN AREAS.
103512,BAFFLE PLUGS ARE WORN OUT.,REMOVED & REPLACED PLUGS.
103513,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103514,#4 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW #4 INTAKE GASKET.
103515,"L/H ENG #2, 3 CYL INTAKE GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #2, 3 INTAKE GASKETS."
103516,R/H ENG #3 & 4 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED R/H ENG CYL #3 & 4 INTAKE GASKETS.
103517,#4 ROCKER COVER MISSING SCREW.,INSTALLED MISSING SCREW.
103518,"SCREW LOOSE, 1 FOR BAFFLE BEHIND OIL DIPSTICK TUBE.",TIGHTENED LOOSE CYL #3 AFT BAFFLE SCREW.
103519,R/H BAFFLE PLUG LOOSE.,INSTALLED NEW BAFFLE PLUG.
103520,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103521,#4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103522,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
103523,R/H #1 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
103524,#1 INTAKE GASKET IS LEAKING.,INSTALLED NEW GASKET.
103525,#2 & 4 ROCKER GASKETS ARE LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKETS.
103526,#3 & 4 INTAKES ARE LEAKING.,REPLACED INTAKE GASKETS.
103527,#1 CYL HAS LOW COMPRESSION (30/80).,"RAN A/C, OPS & LEAK CK GOOD."
103528,#1 CYL HAS LOW COMPRESSION (30/80).,SERVICED W/ 8 QTS OF MINERAL OIL.
103529,#1 CYL HAS LOW COMPRESSION (30/80).,REMOVED ROCKER COVER & STAKED VALVE W/ NO EFFECT.
103530,#1 CYL HAS LOW COMPRESSION (30/80).,"REMOVED BAFFLING, EXHAUST, ALTERNATOR, AIR INTAKE ELBOW"
103531,#1 CYL HAS LOW COMPRESSION (30/80).,"REINSTALLED EXHAUST, BAFFLING, AIR INTAKE ELBOW, #1 INT"
103532,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED CYL #2 INTAKE GASKET.
103533,"#1, 2, 3 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
103534,L/H & R/H SIDE BAFFLE PLUGS LOOSE & BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUGS.
103535,#2 & 4 CYL HARNESS ANCHORS ARE BROKEN.,INSTALLED NEW STANDOFFS.
103536,R/H ENG #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.
103537,R/H ENG #2 & 4 INTAKE GASKETS ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.
103538,ALL 4 INTAKE GASKETS ON L/H ENG ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.
103539,LUECO MARKINGS REQUIRED.,MARKED ENGINE & CYLINDERS.
103540,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103541,R/H #1 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103542,#3 & 4 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.
103543,"ENGINE QUIT AT IDLE, LOW RPM DURING TAXI, SMALL ADJUSTMENTS",ATTEMPTED TO START ENGINE SEVERAL TIMES W/ NO SUCCESS.
103544,L/H ENG #2 & 3 INTAKES ARE LEAKING.,REPLACED #3 GASKET.
103545,R/H ENG #1 & 3 ROCKER COVERS ARE LEAKING.,LEAK CK GOOD.
103546,R/H ENG #4 INTAKE IS LEAKING.,"REPLACED GASKET, CLEANED AREA."
103547,R/H ENG #1 & 3 ROCKER COVERS ARE LEAKING.,REPLACED BOTH GASKETS.
103548,L/H ENG #2 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED #2 GASKET.
103549,L/H ENG #4 CYL HAS NO COMPRESSION.,REMOVED ROCKER COVER & STAKED VALVE W/ NO EFFORT.
103550,L/H ENG #4 CYL HAS NO COMPRESSION.,"REMOVED #4 CYL BAFFLES, OIL LINES & OIL COOLER. REMOVED"
103551,L/H ENG #4 CYL HAS NO COMPRESSION.,COMPLETED REINSTALLATION OF CYL #4 BAFFLING. REINSTALLE
103552,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103553,#4 ROCKER GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103554,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
103555,START ASSIST.,STARTED A/C FOR PILOT.
103556,"#1, 2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.
103557,"#4 INTAKE, O/B BOLT LOCK WASHER WRONG POSITION.",INSTALLED NEW LOCK WASHER TO CORRECT POSITION.
103558,"#4 INTAKE GASKET LEAKING, R/H ENGINE.",REPLACED GASKET.
103559,R/H ENG #3 BAFFLE SEAL SECTION LOOSE.,REMOVED & REPLACED BAFFLE SEAL.
103560,"ENGINE BAFFLE CRACKED, BEHIND #3 CYL, R/H ENGINE.",STOP DRILLED CRACK.
103561,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
103562,#3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103563,SCREW MISSING ON #1 OUTER CYLINDER BAFFLING.,REPLACED MISSING SCREW W/ REQUIRED HARDWARE.
103564,AFT CRANKCASE SPIN BOLT MISSING NUT.,INSTALLED NUT & WASHER. TORQUED.
103565,R/H SIDE BAFFLE PLUG LOOSE W/ TABS BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUG.
103566,THROTTLE AT IDLE ENGINE RAN ROUGH.,RAN UP ENGINE TO OPERATING TEMPS. ENGINE IDLE SPEED & M
103567,R/H ENG REAR BAFFLE MOUNTING SCREW LOOSE.,TIGHTENED SCREW.
103568,#1 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET.
103569,"CYL #2, 3 & 4 ROCKER COVER GASKETS ARE LEAKING.",REMOVED & REPLACED GASKETS.
103570,TOP OF ENGINE CRANKCASE IS LEAKING OIL THROUGH 2 MIDDLE THRO,REMOVED BOLTS FROM WHERE OIL WAS LEAKING. CLEANED BOLT
103571,"R/H ENG, R/H REAR BAFFLE CRACKED.",STOP DRILLED CRACK.
103572,"R/H ENG, L/H REAR BAFFLE SUPPORT CRACKED.",STOP DRILLED CRACK.
103573,L/H ENG #2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103574,#4 BAFFLE HAS LOOSE HARDWARE ON R/H ENGINE.,TIGHTENED HARDWARE.
103575,INTAKES #2 & 4 LEAKING ON R/H ENGINE.,INSTALLED NEW INTAKE GASKETS.
103576,#4 RUBBER BAFFLE SEAL TORN ON R/H ENGINE.,REATTACHED RUBBER BAFFLE SEAL.
103577,"INTAKES #2, 3 & 4 ARE LEAKING ON L/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.
103578,CYL #2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103579,CYL #4 ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.
103580,#4 CYL BAFFLE INSP HOLE DOUBLER REQUIRED.,INSTALLED BAFFLE INSP HOLE DOUBLER IAW  SE SRM 51
103581,LEFT ENGINE BLEED AIR LINE CHAFING.,REPOSITIONED LINE.
103582,L/H AFT COWL I/B ACCESS PANEL SCREW STRIPPED.,REMOVED SCREW & REPLACED W/ NEW.
103583,L/H ENGINE REPORTED AS SMOKING AFTER SHUT DOWN.,"INSPECTED PURGE SYSTEM, CK'ED OK."
103584,#1 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103585,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103586,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103587,R/H ENGINE ROUGH DURING TAXI.,RAN A/C & CONFIRMED DISCREP. INSPECTED #3 CYL W/ BORESC
103588,CYL #1 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.
103589,#1 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103590,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
103591,START ASSIST.,STARTED A/C FOR PILOT.
103592,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.
103593,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103594,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
103595,#2 INTAKE LEAKS.,REMOVED & REPLACED W/ NEW INTAKE GASKET.
103596,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103597,#3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103598,L/H ENGINE BAFFLE CRACKED.,FABRICATED PATCH FOR SIDE BAFFLE. DRILLED & RIVETED PAT
103599,R/H #3 ROCKER COVER LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET."
103600,R/H ENGINE #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103601,"L/H ENGINE #2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS W/ NEW.
103602,#2 INTAKE GASKET LEAKING.,INSTALLED NEW #2 INTAKE GASKET.
103603,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.
103604,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103605,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
103606,L/H ENG #4 CYL SIDE BAFFLE IS MISSING A BOLT.,INSTALLED NEW HARDWARE.
103607,R/H ENG #4 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
103608,L/H ENG #2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.
103609,#3 ROCKER COVER GASKET LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET."
103610,"COWL SEAL, ABOVE #3 CYL BAFFLE, FELL OFF RIVET.",REMOVED & REPLACED RIVET.
103611,#3 INTAKE GASKET LEAKS ON L/H ENGINE.,"REMOVED, CLEANED & INSTALLED NEW GASKET."
103612,#2 & 4 INTAKE GASKETS LEAKING ON R/H ENGINE.,REMOVED & REPLACED W/ NEW GASKETS.
103613,"R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL NEEDS TO BE RESECUR","RESECURED R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL."
103614,"L/H #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REPLACED L/H #2, 3, 4 INTAKE GASKETS."
103615,BOTH BAFFLE PLUG TABS BROKEN OFF.,INSTALLED NEW PLUGS.
103616,#2 & 4 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103617,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.
103618,#4 CYLINDER HARNESS CLAMP BROKEN.,INSTALLED NEW CLAMP.
103619,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.
103620,"DEPARTING 17L @ 2450 LBS, DURING CLIMB OUT @ 2000' MSL, WERE","PERFORMD FULL GROUND RUN, NO DEFECTS NOTED. MX FLIGHT R"
103621,#4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103622,SCREW MISSING ON #3 BAFFLE BRACKET.,FOUND SCREW & REINSTALLED.
103623,FOUND BROKEN COVER SCREW ON GROUND.,"REMOVED COWL, ALL SCREWS ACCOUNTED FOR. REPLACED COWL."
103624,L/H FWD #2 ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.
103625,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103626,#4 ROCKER GASKET LEAKING.,TIGHTENED LOOSE BOLTS.
103627,#2 CYL BAFFLE SEAL NEEDS TO BE SECURED.,RESECURED CYL #2 SIDE BAFFLE SEAL.
103628,#1 CYL FWD BAFFLE CRACKED.,STOP DRILLED CRACK.
103629,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
103630,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",OPS & LEAK CK'ED GOOD.
103631,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REMOVED PUSH RODS & VALVE SPRING. FOUND STEP ON INTAKE
103632,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REPLACED CYLINDER W/ NEW CYL ASSY. TORQUED TO CASE. DRY
103633,"L/H ENG, L/H BAFFLE TIE ROD BROKEN.",REMOVED & REPLACED BROKEN BAFFLE TIE.
103634,CYL #3 PUSH ROD TUBE ADEL CLAMP HAS WORN RUBBER.,REMOVED & REPLACED ADEL CLAMP.
103635,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.
103636,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 CYL ROCKER COVER GASKET.
103637,"UPON RUN UP, ROUGH MAG & NOT W/IN TOLERANCE. RAN FOULED PROC",RAN A/C & FOUND R/H MAG TO HAVE ROUGH MAG DROP. REMOVED
103638,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.
103639,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.
103640,#4 INTAKE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET."
103641,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.
103642,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
103643,#2 & 4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103644,"ENGINE BAFFLE CRACKED, ABOVE #1 CYL.",STOP DRILLED CRACK.
103645,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
103646,CYL #2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103647,ROCKER COVER GASKET CYL #3 & 4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103648,R/H BAFFLE SPRING BROKEN.,INSTALLED NEW BAFFLE SPRING.
103649,#2 CYL INTAKE GASKET LEAKING.,REPLACED INTAKE GASKET.
103650,#1 CYL ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.
103651,R/H #3 INTAKE GASKET IS LEAKING.,REPLACED #3 INTAKE GASKET.
103652,R/H #3 AFT BAFFLE SEAL HAS A HOLE.,REMOVED SEAL & INSTALLED NEW SEAL W/ POP RIVETS.
103653,CYL #3 BAFFLE SCREW LOOSE.,TIGHTENED #3 CYL BAFFLE SCREW.
103654,L/H ENG INTAKE 2 & 3 LEAKING.,REMOVED & REPLACED GASKETS.
103655,BAFFLE SEAL LOOSE ABOVE #4 CYL ON L/H ENGINE.,SECURED BAFFLE SEAL.
103656,OIL COOLERS DIRTY.,CLEANED FWD & AFT OIL COOLERS.
103657,SNIFFLER VALVES DIRTY.,"REMOVED, CLEANED & REINSTALLED BOTH SNIFFLER VALVES."
103658,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
103659,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103660,CRACK EXTENDING BEYOND STOP DRILL ON UPPER #2 CYL BAFFLE.,STOP DRILLED CRACK.
103661,#2 INTAKE GASKET LEAKING.,LEAK CK GOOD.
103662,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.
103663,#3 ROCKER COVER GASKET LEAKING.,LEAK CK GOOD.
103664,#3 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.
103665,#3 AFT BAFFLE SCREW APPEARS TO BE LOOSE BEHIND DIPSTICK TUBE,TIGHTENED SCREW.
103666,FWD LWR ENG SEAL WORN ABOVE AIR INTAKE.,FILLED IN WORN SPOTS W/ BLACK RTV.
103667,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103668,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103669,L/H ENG #2 BAFFLE LOOSE.,SECURED BAFFLE SECTION.
103670,"#1, 2, 4 ROCKER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS."
103671,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENG.",REMOVED & REPLACED INTAKE GASKETS.
103672,#1 ROCKER COVER GASKET LEAKING ON R/H ENG.,REMOVED & REPLAED ROCKER COVER GASKET.
103673,#3 ROCKER COVER GASKET LEAKING ON L/H ENG.,REMOVED & REPLACED ROCKER COVER GASKET.
103674,#3 & 4 INTAKE GASKETS LEAKING ON R/H ENG.,REMOVED & REPLACED INTAKE GASKETS ON R/H ENGINE.
103675,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103676,#4 CYL ROCKER COVER IS MISSING SCREW.,INSTALLED NEW SCREW.
103677,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET."
103678,"L/H ENG #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS."
103679,"L/H ENG #1, 2, 3 & 4 ROCKER BOX COVER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS."
103680,#3 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKET.
103681,#2 ROCKER GASKET LEAKING.,TIGHTENED BOLTS.
103682,#1 CYL ROCKER GASKET LEAKING.,REPLACED GASKET.
103683,"#2, 4 CYLINDER INTERCOOLING BAFFLE WIRE NEEDS TO BE REPOSITI",REPOSITIONED WIRE IN NEW BAFFLE SLOT & APPLIED SPIRAL W
103684,R/H ENG #3 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103685,#2 & 4 CYL INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.
103686,BAFFLE PLUG OUT,INSTALLED PLUG
103687,SHORT DIPSTICK INSTALLED,REMOVED SHORT DIPSTICK AND INSTALLED LONG ONE
103688,FWD LWR SEAL ON BAFFLING WORN AT AIR INTAKE.,INSTALLED RTV TO AREAS.
103689,L/H ENG ALL ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.
103690,L/H ENG #1 ROCKER COVER GASKET LEAKING.,REMOVED OLD GASKET & REPLACED W/ NEW.
103691,L/H ENG #4 INTAKE GASKET LEAKING.,"REMOVED OLD GASKET, REPLACED W/ NEW GASKET."
103692,#4 INTAKE GASKET LEAKING.,INSTALLED NEW GASKET.
103693,BAFFLE PLUGS NEED TO BE REPLACED.,INSTALLED NEW BAFFLE PLUGS.
103694,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED PISTON & INJECTOR.
103695,#2/4 BAFFLE CONNECT WIRE INSTALLED BELOW INTERCYLINDER BAFFL,REROUTED BAFFLE CONNECT WIRE.
103696,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",RAN ENGINE. OPS & LEAK CK GOOD.
103697,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED CYL #4 & VERIFIED EXHAUST VALVE TO BE BURNT.
103698,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.","BEGAN CYLINDER REMOVAL, EXH STACK, INTAKE TUBE & BAFFLE"
103699,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",INSTALLED NEW CYL & PISTON KIT IAW LYCOM
103700,CYL #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103701,BAFFLE PLUGS ARE WORN.,INSTALLED NEW BAFFLE PLUGS.
103702,ENGINE BAFFLE SCREW LOOSE BEHIND OIL FILLER TUBE.,TIGHTENED SCREW.
103703,CABLE SHEATH LOOSE ON PILOTS SEAT.,SECURED CABLE SHEATH. OPS CK GOOD.
103704,SNIFFLER VALVES DIRTY.,CLEANED BOTH SNIFFLER VALVES.
103705,#3 BAFFLE SEAL RIVETS LOOSE.,REMOVED & INSTALLED NEW RIVET IAW  SE SRM 51-40-0
103706,TOP BOLT ON ENGINE CASE LEAKING.,CLEANED & SEALED BOLTS.
103707,#4 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
103708,ENGINE BAFFLE CRACKED ABOVE #1 CYL.,STOP DRILLED CRACK.
103709,#2 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.
103710,MISSING SCREW ON CYL #3 BAFFLE.,INSTALLED SCREW.
103711,"R/H AFT ENGINE BAFFLE SCREW MISSING, SECURED TO ENGINE CASE.",INSTALLED SCREW ON ENGINE BAFFLE.
103712,"#1, 2, 3, 4 ROCKER COVER GASKETS NEED TO BE REPLACED.",REMOVED & REPLACED ROCKER COVER GASKETS.
103713,"MISSING BAFFLE SCREW ON R/H UPPER ROCKER COVER, #1 CYL.",INSTALLED NEW BAFFLE SCREW ON R/H #1 CYL BAFFLE.
103714,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
103715,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103716,"ROCKER COVER GASKET, CYL #3, LEAKING.",REMOVED & REPLACED ROCKER COVER GASKET.
103717,L/H #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
103718,R/H #4 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.
103719,"L/H #3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.
103720,L/H ENG BAFFLE TIE ROD IS RUBBING ON #2 OIL RETURN LINE CLAM,REPOSITIONED CLAMP.
103721,#3 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE TUBE GASKET.
103722,#4 INATKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.
103723,#1 ROCKER COVER GASKET LEAKING.,"REMOVED, CLEANED & REPLACED GASKET."
103724,BAFFLE SCREW BEHIND DIPSTICK MISSING.,INSTALLED SCREW IN BAFFLE & RESAFETY WIRED DIPSTICK TUB
103725,OIL COOLER TIMED OUT.,REMOVED & REPLACED OIL COOLER. INSTALLED OI
103726,RIVET PULLED THROUGH ENGINE BAFFLE SEAL ABOVE #2 CYL.,REMOVED RIVET & SECURED BAFFLE W/ LIKE HARDWARE.
103727,"#2, 3 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
103728,FOD ON OIL COOLER,REMOVED FOD OFF OIL COOLER
103729,FOD ON TOP OF ENGINE,REMOVED FOD FROM TOP OF ENGINE
103730,#2 CYL ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.
103731,R/H ENG #2 & 4 INTAKE HAVE SLIGHT LEAK.,REPLACED GASKETS.
103732,ROCKER COVER GASKET CYL #2 LEAKING.,REMOVED & REPLACED GASKET.
103733,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103734,LEFT ENGINE LOWER FIRE SEAL LOOSE.,REPLACED SEAL.
103735,R/H ENG INTAKE SCREEN LOOSE.,REPLACED R/H ENGINE INTAKE SCREEN.
103736,"1 FIRST STAGE COMPRESSOR BLADE HAS DAMAGE, NEAR TIP.",INSPECTED & FOUND NICKED LEADING EDGE FIRST STAGE COMPR
103737,R/H ENG AFT BAFFLE SUPPORT BRACKET RIVETS ARE SHEARED.,REMOVED BAFFLE. INSTALLED NEW RIVETS IAW
103738,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,REPLACED GASKET.
103739,R/H ENG #2 & 3 ROCKER BOX COVER GASKET LEAKING.,REPLACED GASKETS.
103740,L/H ENG #2 & 4 INTAKE TUBE GASKETS LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.
103741,R/H ENG #2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103742,"#1, 2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.
103743,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103744,#1 CYL BAFFLE SEAL LOOSE.,SECURED SEAL.
103745,"#1, 2 CYL ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.
103746,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103747,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
103748,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
103749,#3 & 4 ROCKER GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
103750,LEFT O/B BAFFLE TIE WIRE BROKEN.,INSTALLED BAFFLE TIE LISTED IN  PARTS MANUAL. FOU
103751,INTAKES 3 & 4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
103752,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,"RUN UP, OPS & LEAK CK OK."
103753,R/H ENG CYL #4 SIDE BAFFLE SEAL IS COMING LOOSE.,RESECURED LOOSE SEAL.
103754,R/H CYL #3 AFT BAFFLE IS CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW
103755,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,"INSTALLED CYL ROCKERS, CYL BAFFLE, TORQUED SPARK PLUGS"
103756,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,TRIED TO STAKE VALVE W/ NO AFFECT. ROCKER COVER IS REMO
103757,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,REMOVED & INSTALLED REPAIRED CYL ASSY. TORQUED MOUNTING
103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",RESECURED BAFFLE SEAL.
103759,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
103760,L/H FWD ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.
