c5_id,c119_input,entities,labels
19900629023099A,"DOOR CAME OPEN ON LIFTOFF. TRIED GO AROUND,LOST POWER AT 300 FT,CRASHED AND BURNED OFF END OF AIRPORT.             ",300,CARDINAL
19900629023099A,"DOOR CAME OPEN ON LIFTOFF. TRIED GO AROUND,LOST POWER AT 300 FT,CRASHED AND BURNED OFF END OF AIRPORT.             ",FT,ORG
19900512024669I,TOP DOOR LATCH OPENED ON TAKEOFF ROLL. ABORTED. RAN OFF END OF RUNWAY.                                             ,RAN OFF END,ORG
19900512024669I,TOP DOOR LATCH OPENED ON TAKEOFF ROLL. ABORTED. RAN OFF END OF RUNWAY.                                             ,RUNWAY,ORG
19900520016589A,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,DEPARTED,ORG
19900520016589A,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,IMC,ORG
19900802033759A,"ROUGH ENGINE ON LIFTOFF,ABORTED SAFELY BUT ENGINES DAMAGED BY JET FUEL PUMPED BY MISTAKE. PILOT FAILED TO CHECK.   ",MISTAKE,ORG
19900725059989I,PILOT FAILED TO REMOVE YOKE LOCK ON TAKEOFF. RAN OFF SIDE OF RUNWAY. NOSE GEAR COLLAPSED.                          ,RAN,ORG
19900725059989I,PILOT FAILED TO REMOVE YOKE LOCK ON TAKEOFF. RAN OFF SIDE OF RUNWAY. NOSE GEAR COLLAPSED.                          ,RUNWAY,ORG
19900625043489I,PILOT DID NOT COMPLETE PREFLIGHT. ON START UP LEFT ENGINE FLAMED OUT. INLET COVER ON AND PARTLY INGESTED.          ,ON START,ORG
19900625043489I,PILOT DID NOT COMPLETE PREFLIGHT. ON START UP LEFT ENGINE FLAMED OUT. INLET COVER ON AND PARTLY INGESTED.          ,INLET,ORG
19900625043489I,PILOT DID NOT COMPLETE PREFLIGHT. ON START UP LEFT ENGINE FLAMED OUT. INLET COVER ON AND PARTLY INGESTED.          ,PARTLY,NORP
19900724028329A,OBSERVED SPINNING TO IMPACT. OVER GROSS. FULL FLAPS FULL UP. TRIM FUEL UNPORTED.                                   ,UNPORTED,ORG
19900629022789A,"TRIED TO DEPART WITH FULL FLAPS. UNABLE TO CLIMB,STRUCK TREES AND POWERLINE.                                       ",DEPART,PERSON
19900629022789A,"TRIED TO DEPART WITH FULL FLAPS. UNABLE TO CLIMB,STRUCK TREES AND POWERLINE.                                       ",CLIMB,GPE
19900709024889A,RIGHT BANK AND PITCH-UP ON LANDING FLARE. DAMAGED RIGHT MAIN GEAR. AUTO PILOT SWITCH BUMPED ON.                    ,PITCH-UP,ORG
19900706024509A,GEAR MOTOR RUNNING ON TAXI. NOSE GEAR BEGAN RETRACT ON TAKEOFF. ABORTED LANDED GEAR UP HAD GEAR LEVER UP AT START. ,GEAR MOTOR RUNNING ON TAXI,ORG
19900529017769A,RIGHT WING FOLDED ON TAKEOFF CLIMB. HOMEBUILT CRASHED INTO TREES. RIGHT WING RETAINING PINS WERE ABSENT.           ,HOMEBUILT CRASHED INTO TREES,ORG
19900805058249I,GLIDER DID NOT GAIN ALTITUDE ON TAKEOFF. SPOILERS WERE NOT CLOSED. ABORTED AND LANDED IN PASTURE. HIT STREET LIGHT.,GLIDER DID,ORG
19901013047709A,RAN OUT OF FUEL NEAR DESTINATION. STRUCK AUTO LANDING ON HIGHWAY. LOOSE FUEL CAP SIPHONED FUEL. GAUGES INACCURATE. ,RAN OUT,ORG
19901013047709A,RAN OUT OF FUEL NEAR DESTINATION. STRUCK AUTO LANDING ON HIGHWAY. LOOSE FUEL CAP SIPHONED FUEL. GAUGES INACCURATE. ,CAP SIPHONED,ORG
19901013047709A,RAN OUT OF FUEL NEAR DESTINATION. STRUCK AUTO LANDING ON HIGHWAY. LOOSE FUEL CAP SIPHONED FUEL. GAUGES INACCURATE. ,GAUGES INACCURATE,PERSON
19900816033169A,ENGINE QUIT ON TAKEOFF. PUT ON FUEL PUMP ENGINE STARTED. TURNED PUMP OFF ENGINE QUIT. HIT TREES. NO DEFECTS FOUND. ,PUT ON FUEL,ORG
19900816033169A,ENGINE QUIT ON TAKEOFF. PUT ON FUEL PUMP ENGINE STARTED. TURNED PUMP OFF ENGINE QUIT. HIT TREES. NO DEFECTS FOUND. ,TURNED PUMP,ORG
19901006044409A,ON LANDING ROLL PORTABLE OXYGEN BOTTLE UNDER SEAT ROLLED FORWARD AND JAMMED RUDDER PEDALS. EXITED RUNWAY.          ,ON LANDING ROLL,ORG
19901006044409A,ON LANDING ROLL PORTABLE OXYGEN BOTTLE UNDER SEAT ROLLED FORWARD AND JAMMED RUDDER PEDALS. EXITED RUNWAY.          ,RUNWAY,ORG
19901116061599I,TURBULENCE ON CLIMBOUT. FLICK MAGNETO BROKE LOOSE IN BAGGAGE SPACE AND CRASHED THROUGH REAR WINDOW.                ,CLIMBOUT,ORG
19901111049719A,DEPARTED IFR WITH INOPERATIVE VACUUM PUMP. LOST POWER. CRASHED INTO TREES. FUEL SELECTOR ON EMPTY TANK. FULL OTHER.,CRASHED INTO TREES,ORG
19901108060109I,FUEL EXHAUSTION OCCURED AFTER SWITCHING TANKS. DIVERTED FOR LANDING. TANKS HAD FUEL. SUSPECT ICE IN LINE.          ,FUEL EXHAUSTION,ORG
19901115062689A,YAWED 180 DEGREES AND SETTLED HARD TO RUNWAY WHILE TAXIING TO RUNWAY. HYDRAULIC TEST AND OFF SWITCHES IDENTICAL.   ,YAWED,ORG
19901115062689A,YAWED 180 DEGREES AND SETTLED HARD TO RUNWAY WHILE TAXIING TO RUNWAY. HYDRAULIC TEST AND OFF SWITCHES IDENTICAL.   ,180,CARDINAL
19901115062689A,YAWED 180 DEGREES AND SETTLED HARD TO RUNWAY WHILE TAXIING TO RUNWAY. HYDRAULIC TEST AND OFF SWITCHES IDENTICAL.   ,RUNWAY,ORG
19901115062689A,YAWED 180 DEGREES AND SETTLED HARD TO RUNWAY WHILE TAXIING TO RUNWAY. HYDRAULIC TEST AND OFF SWITCHES IDENTICAL.   ,RUNWAY,ORG
19900922041649A,GLIDER PITCHED UP ON TAKEOFF WAS SAFELY RELEASED AND DIVED INTO GROUND. PILOT HAD NEGLECTED TO HOOK UP ELEVATORS.  ,GLIDER PITCHED,ORG
19900922041649A,GLIDER PITCHED UP ON TAKEOFF WAS SAFELY RELEASED AND DIVED INTO GROUND. PILOT HAD NEGLECTED TO HOOK UP ELEVATORS.  ,DIVED INTO GROUND,ORG
19900922041649A,GLIDER PITCHED UP ON TAKEOFF WAS SAFELY RELEASED AND DIVED INTO GROUND. PILOT HAD NEGLECTED TO HOOK UP ELEVATORS.  ,HOOK,GPE
19900922041649A,GLIDER PITCHED UP ON TAKEOFF WAS SAFELY RELEASED AND DIVED INTO GROUND. PILOT HAD NEGLECTED TO HOOK UP ELEVATORS.  ,UP ELEVATORS,ORG
19900811033119A,ENGINE QUIT ON CLIMBOUT. STALLED. SPUN IN. NEGLECTED INSTALL ENGINE DRIVEN FUEL PUMP PER PLANS. AUX PUMP OFF.      ,CLIMBOUT,ORG
19900811033119A,ENGINE QUIT ON CLIMBOUT. STALLED. SPUN IN. NEGLECTED INSTALL ENGINE DRIVEN FUEL PUMP PER PLANS. AUX PUMP OFF.      ,SPUN,PERSON
19900811033119A,ENGINE QUIT ON CLIMBOUT. STALLED. SPUN IN. NEGLECTED INSTALL ENGINE DRIVEN FUEL PUMP PER PLANS. AUX PUMP OFF.      ,AUX PUMP OFF,ORG
19901103048519A,STALLED AND FELL INTO LAKE ON TEST FLIGHT. ENGINES NOT CAPABLE FULL POWER DUE TO OPEN SURGE VALVES AND CABIN AIR ON,AIR ON,ORG
19901019064929I,NOSE GEAR COLLAPSED WHEN PILOT ENTERED TAXIWAY UNDER CONSTRUCTION. POORLY LIGHTED AND NO WARNING SIGNS.            ,LIGHTED,ORG
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,CAP,ORG
19900924042209A,LEFT ENGINE QUIT ON CLIMBOUT. LANDED GEAR UP OFF AIRPORT. HAD FEATHERED WRONG PROP. MIXTURE TOO RICH ON LEFT ENGINE,CLIMBOUT,ORG
19900924042209A,LEFT ENGINE QUIT ON CLIMBOUT. LANDED GEAR UP OFF AIRPORT. HAD FEATHERED WRONG PROP. MIXTURE TOO RICH ON LEFT ENGINE,GEAR,ORG
19901025055399I,RIGHT ENGINE CAUGHT FIRE ON CLIMB. SHUT DOWN AND RETURNED. OIL DIPSTICK HAD BEEN LEFT OFF.                         ,ON CLIMB,ORG
19901018054419I,"ATC REQUESTED PILOT TO EXPEDITE ROLLOUT. LOST CONTROL, VEERED AND STRUCK LIGHTS. RUNWAY HAD UNGROOVED PATCHES.     ",ATC REQUESTED PILOT,ORG
19901018054419I,"ATC REQUESTED PILOT TO EXPEDITE ROLLOUT. LOST CONTROL, VEERED AND STRUCK LIGHTS. RUNWAY HAD UNGROOVED PATCHES.     ",VEERED,ORG
19901018054419I,"ATC REQUESTED PILOT TO EXPEDITE ROLLOUT. LOST CONTROL, VEERED AND STRUCK LIGHTS. RUNWAY HAD UNGROOVED PATCHES.     ",RUNWAY,ORG
19901017046219A,ENGINE QUIT ON CLIMBOUT. FORCE LANDED IN LAKE OFF END OF RUNWAY. PILOT BELIEVED FUEL SELECTOR OFF ON TAKEOFF.      ,CLIMBOUT,ORG
19901017046219A,ENGINE QUIT ON CLIMBOUT. FORCE LANDED IN LAKE OFF END OF RUNWAY. PILOT BELIEVED FUEL SELECTOR OFF ON TAKEOFF.      ,RUNWAY,ORG
19901031063969I,NOSE GEAR COLLAPSED ON ROLLOUT. NO MECHANICAL FAILURE BUT HYDRAULIC RESERVOIR LOW AND GEAR DID NOT LOCK.           ,GEAR,ORG
19900908047359A,PILOT REPORT SEAT SLID BACK ON TAKEOFF ROLL. UNABLE REACH CONTROLS RAN OFF END RUNWAY. NO DEFECTS IN SEAT LATCH.   ,SLID,PERSON
19900908047359A,PILOT REPORT SEAT SLID BACK ON TAKEOFF ROLL. UNABLE REACH CONTROLS RAN OFF END RUNWAY. NO DEFECTS IN SEAT LATCH.   ,ON TAKEOFF ROLL,ORG
19900908047359A,PILOT REPORT SEAT SLID BACK ON TAKEOFF ROLL. UNABLE REACH CONTROLS RAN OFF END RUNWAY. NO DEFECTS IN SEAT LATCH.   ,SEAT,ORG
19900926042499A,ROUGH ENGINE POWER LOSS AND BLACK SMOKE. HIT TREE IN YARD OF RESIDENCE. PRIMER UNLOCKED AND DEPARTED ON ONE MAGNETO,DEPARTED ON ONE,ORG
19910315005409I,RESTARTED MOVEMENT OF CONTROL WHEEL ON TAKEOFF. ABORTED.VEERED OFF RUNWAY. FOLDED SEAT BACK RESTRICTED WHEEL.      ,RESTARTED MOVEMENT OF CONTROL WHEEL ON,ORG
19910315005409I,RESTARTED MOVEMENT OF CONTROL WHEEL ON TAKEOFF. ABORTED.VEERED OFF RUNWAY. FOLDED SEAT BACK RESTRICTED WHEEL.      ,RUNWAY,ORG
19910315005409I,RESTARTED MOVEMENT OF CONTROL WHEEL ON TAKEOFF. ABORTED.VEERED OFF RUNWAY. FOLDED SEAT BACK RESTRICTED WHEEL.      ,FOLDED SEAT,ORG
19910330007919I,LANDED GEAR UP. ABORTED TAKEOFF AFTER LIFTOFF WITH GEAR UP. DUE TO RIGHT ENGINE COWLING NOT BEING SECURED.         ,LANDED GEAR,ORG
19910330007919I,LANDED GEAR UP. ABORTED TAKEOFF AFTER LIFTOFF WITH GEAR UP. DUE TO RIGHT ENGINE COWLING NOT BEING SECURED.         ,COWLING,PERSON
19910313026919I,ATC SYSTEM ERROR CAUSED CONFLICTION BETWEEN AN EN ROUTE AIRCRAFT AND A LANDING MILITARY AIRCRAFT.                  ,ATC SYSTEM ERROR CAUSED,ORG
19910102001329I,FUEL EXHAUSTION. SWITCHED TANKS BUT UNABLE TO RESTART. LANDED ON HIGHWAY. FUEL DRAIN TRAPPED OPEN AND LEAKING.     ,ON HIGHWAY,ORG
19910210005989I,TAKEOFF WARNING HORN SOUNDED ON TAKEOFF ROLL. ABORTED. SPEEDBRAKE HANDLE WAS FULLY STOWED IN DOWN DETENT.          ,STOWED,ORG
19910211006919I,FUEL EXHAUSTION. EMERGENCY LANDING ON A DIRT ROAD. FOUND FUEL CAP OFF FILLER NECK OF FUEL TANK.                    ,ON A,ORG
19901219063559I,RIGHT WING TOUCHED RUNWAY ON LANDING. CO-PILOT STATED BETA LIGHT ON RIGHT ENGINE CAME ON.                          ,RUNWAY ON LANDING,ORG
19901219063559I,RIGHT WING TOUCHED RUNWAY ON LANDING. CO-PILOT STATED BETA LIGHT ON RIGHT ENGINE CAME ON.                          ,CO-PILOT,ORG
19910210001909A,LOST POWER ON OVERWATER CLIMBOUT AND DITCHED. HAD FAILED TO TURN ON REQUIRED BOOST PUMP SWITCHES.                  ,LOST POWER ON OVERWATER,ORG
19910210001909A,LOST POWER ON OVERWATER CLIMBOUT AND DITCHED. HAD FAILED TO TURN ON REQUIRED BOOST PUMP SWITCHES.                  ,CLIMBOUT,ORG
19910210001909A,LOST POWER ON OVERWATER CLIMBOUT AND DITCHED. HAD FAILED TO TURN ON REQUIRED BOOST PUMP SWITCHES.                  ,DITCHED,PERSON
19901214061619I,HELICOPTER ON CART. OIL LEAK TEST. BEGAN TO SPIN AS PILOT TRIED TO BECOME AIRBORNE TO AVOID MECHANIC. ROLLED OVER. ,LEAK,PERSON
19910126001159A,"TOOK OFF IN GLIDER TOW WITH DIVE BRAKES OPEN. PILOT SAW THEM AS TOW PLANE RELEASED.TOO LOW,HIT WIRES AND POWER POLE",GLIDER TOW,ORG
19910126001159A,"TOOK OFF IN GLIDER TOW WITH DIVE BRAKES OPEN. PILOT SAW THEM AS TOW PLANE RELEASED.TOO LOW,HIT WIRES AND POWER POLE",AS TOW PLANE RELEASED.TOO,PRODUCT
19901218061989I,FORGOT TO REMOVE CONTROL LOCK ON PREFLIGHT. ON TAKEOFF AIRCRAFT PORPOISED DAMAGING GEAR AND PROPELLER.             ,ON TAKEOFF AIRCRAFT PORPOISED DAMAGING GEAR,ORG
19901218061989I,FORGOT TO REMOVE CONTROL LOCK ON PREFLIGHT. ON TAKEOFF AIRCRAFT PORPOISED DAMAGING GEAR AND PROPELLER.             ,PROPELLER,ORG
19910704025959A,FAILED RESET BACK TRIM FOR TAKEOFF WITH BACK SEAT LOAD. NOSE HIGH PREMATURE TAKEOFF. STALLED. NO FULL LOAD TRAINING,NOSE,ORG
19910609020739A,"ENGINE MISSING ON CLIMBOUT. DESCENDED BELOW TREES. FOUND IN POND. ELECTRIC FUEL PUMP OFF, ON TAKEOFF SHOULD BE ON. ",POND,GPE
19910609020739A,"ENGINE MISSING ON CLIMBOUT. DESCENDED BELOW TREES. FOUND IN POND. ELECTRIC FUEL PUMP OFF, ON TAKEOFF SHOULD BE ON. ",FUEL PUMP OFF,ORG
19910609020739A,"ENGINE MISSING ON CLIMBOUT. DESCENDED BELOW TREES. FOUND IN POND. ELECTRIC FUEL PUMP OFF, ON TAKEOFF SHOULD BE ON. ",ON TAKEOFF SHOULD BE ON,ORG
19910613021749A,ENGINE QUIT RETURNING AFTER JUMPERS AWAY. ATTEMPED FORCED LANDING COLLIDED WITH TREES HALFMILE FROM RUNWAY.        ,ATTEMPED,ORG
19910613021749A,ENGINE QUIT RETURNING AFTER JUMPERS AWAY. ATTEMPED FORCED LANDING COLLIDED WITH TREES HALFMILE FROM RUNWAY.        ,HALFMILE,ORG
19910613021749A,ENGINE QUIT RETURNING AFTER JUMPERS AWAY. ATTEMPED FORCED LANDING COLLIDED WITH TREES HALFMILE FROM RUNWAY.        ,RUNWAY,ORG
19910525017269A,LOST BOTH ENGINES. HIT VEHICLE ON FREEWAY ON LANDING. FUEL LINE LEAKING LEFT ENGINE. WATER IN FUEL RIGHT ENGINE.   ,ENGINES,ORG
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,CLIMBOUT,ORG
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,SEAT,ORG
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,TRACK,PRODUCT
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,SEAT,ORG
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,BELT,PERSON
19910601018539A,ON TAKEOFF LOOSE FUEL CAP SPILLED FUEL. ABORTED. WING EXPLODED ON RESTART. JUMPED OUT. AIRCRAFT STRUCK LIGHT POLE. ,ON TAKEOFF LOOSE,ORG
19910601018539A,ON TAKEOFF LOOSE FUEL CAP SPILLED FUEL. ABORTED. WING EXPLODED ON RESTART. JUMPED OUT. AIRCRAFT STRUCK LIGHT POLE. ,JUMPED OUT,ORG
19910425012519A,FIRE IN FLIGHT. CRASH LANDED AND BURNED. TURBOCHARGER EXHAUST PIPE CAME OFF. PILOT AWARE LOSS OF POWER PRIOR FLIGHT,TURBOCHARGER,ORG
19910425012519A,FIRE IN FLIGHT. CRASH LANDED AND BURNED. TURBOCHARGER EXHAUST PIPE CAME OFF. PILOT AWARE LOSS OF POWER PRIOR FLIGHT,PILOT AWARE,ORG
19910705026439A,ENGINE QUIT ON DOWNWIND. STRUCK DIRT BANK SHORT OF RUNWAY. FUEL TANKS HAD LARGE AMOUNTS WATER INCLUDING CARB BOWL. ,DIRT BANK,GPE
19910705026439A,ENGINE QUIT ON DOWNWIND. STRUCK DIRT BANK SHORT OF RUNWAY. FUEL TANKS HAD LARGE AMOUNTS WATER INCLUDING CARB BOWL. ,RUNWAY,ORG
19910406009109A,ENGINE ROUGH TAXIING OUT AND TAKEOFF. CLIMBED SLOWLY. STRUCK TREES OFF END RUNWAY. BURNED. NO ENGINE DEFECTS.      ,ENGINE ROUGH TAXIING OUT,ORG
19910406009109A,ENGINE ROUGH TAXIING OUT AND TAKEOFF. CLIMBED SLOWLY. STRUCK TREES OFF END RUNWAY. BURNED. NO ENGINE DEFECTS.      ,STRUCK TREES OFF END,ORG
19910616023269A,NEGLECTED TO TURN ON OIL SUPPLY VALVE PRIOR TO TAKEOFF. LOST OIL PRESSURE. ELECTED TO LAND ON A ROAD. WING HIT SIGN,LAND ON A ROAD,ORG
19910423012079A,STRONG SURFACE WINDS DAMAGED AILERON BELLCRANK WHILE TIED DOWN. PILOT FAILED NOTE ON PREFLIGHT. CRASHED ON TAKEOFF.,ON PREFLIGHT,ORG
19910620023769A,ENGINE OVERHEATED. LANDED ON A ROAD TO CHECK. WIND STRUCK GAS METER PIPE. A RAG WAS COVERING THE OIL COOLER.       ,WIND STRUCK GAS METER,ORG
19910711027099A,"LIFTED TO A HOVER,DRIFTED SIDEWAYS,STRUCK GROUND AND ROLLED OVER. CYCLIC CONTROL FRICTION SET TOO TIGHT.           ",CYCLIC,ORG
19910711027099A,"LIFTED TO A HOVER,DRIFTED SIDEWAYS,STRUCK GROUND AND ROLLED OVER. CYCLIC CONTROL FRICTION SET TOO TIGHT.           ",FRICTION SET,ORG
19910609032899I,PILOT MADE EMERGENCY GEAR UP LANDING IN FIELD AFTER TAKEOFF. WATER IN FUEL AND INJECTOR NOZZLES FOULED.            ,INJECTOR,ORG
19910531019569A,GUS LOCK STRING WRAPPED AROUND CONTROL STICK IN FLIGHT. WING HIT GROUND AS PILOT TRIED FREE CONTROL. CARTWHEELED.  ,GUS,ORG
19910711027079A,DEBRIS IN COCKPIT BLINDED PILOT ON SWATH RUN. PULLED UP HIT TREES LANDED ON ROAD OVERSHOT INTO FENCE AND TREES.    ,DEBRIS,GPE
19910711027079A,DEBRIS IN COCKPIT BLINDED PILOT ON SWATH RUN. PULLED UP HIT TREES LANDED ON ROAD OVERSHOT INTO FENCE AND TREES.    ,COCKPIT BLINDED,PERSON
19910711027079A,DEBRIS IN COCKPIT BLINDED PILOT ON SWATH RUN. PULLED UP HIT TREES LANDED ON ROAD OVERSHOT INTO FENCE AND TREES.    ,UP HIT TREES LANDED,ORG
19910711027079A,DEBRIS IN COCKPIT BLINDED PILOT ON SWATH RUN. PULLED UP HIT TREES LANDED ON ROAD OVERSHOT INTO FENCE AND TREES.    ,ON ROAD OVERSHOT,ORG
19910623033909I,CAPTAIN SET TRANSPONDER TO INCORRECT BEACON CODE. WAS NOT RADAR IDENTIFIED UNTIL 32 MINUTES INTO THE FLIGHT.       ,32,CARDINAL
19910714027129A,BOTH ENGINES QUIT. DITCHED IN OCEAN NEAR SHORE. POSSIBLY NOT REFUELED PROPERLY LAST REFUELING.                     ,DITCHED,GPE
19910714027129A,BOTH ENGINES QUIT. DITCHED IN OCEAN NEAR SHORE. POSSIBLY NOT REFUELED PROPERLY LAST REFUELING.                     ,OCEAN,GPE
19910501013919A,LOST POWER RIGHT ENGINE.FEATHERED BUT UNABLE MAINTAIN FLIGHT.LANDING ON HIGHWAY HIT A TRUCK.AIR FILTER WAS BLOCKED.,LOST POWER,ORG
19910501013919A,LOST POWER RIGHT ENGINE.FEATHERED BUT UNABLE MAINTAIN FLIGHT.LANDING ON HIGHWAY HIT A TRUCK.AIR FILTER WAS BLOCKED.,ON HIGHWAY,ORG
19910529040899I,PILOT SWITCHED TANKS AND SAW FUEL SIPHONING FROM TANK FILLER CAP. PRECAUTIONARY OFF AIRPORT LANDING.               ,CAP,ORG
19910527020289A,USED BOLT FOR CONTROL LOCK. OVERLOOKED PRIOR TAKEOFF. ABORTED AFTER LIFTOFF HIT RUNWAY NOSE FIRST. CRUSHED FIREWALL,LIFTOFF HIT,PRODUCT
19910516016279A,ENGINE LOST POWER ON CLIMBOUT WITH FOUR JUMPERS ON BOARD. OVERSHOT OPEN FIELD. SERVERE CARBURETOR ICING CONDITIONS.,FOUR,CARDINAL
19910516016279A,ENGINE LOST POWER ON CLIMBOUT WITH FOUR JUMPERS ON BOARD. OVERSHOT OPEN FIELD. SERVERE CARBURETOR ICING CONDITIONS.,JUMPERS ON BOARD,ORG
19911012056829I,ENGINE LOST POWER ON APPROACH. LANDED SHORT OF RUNWAY. FUEL WAS CONTAMINATED.                                      ,RUNWAY,ORG
19910724029799A,"EARLY LIFT OFF WITH 30 DEGREES FLAPS. STAYED BEHIND POWER CURVE,STALLED AVOIDING RISING TERRAIN. AT GROSS WEIGHT.  ",30,CARDINAL
19910827036839A,LOST POWER ON TAKEOFF.ABORTED. STRUCK AIRPORT FENCE. BLOCKED EXHAUST MANIFOLD. ADVISED NOT TO FLY. NO FERRY PERMIT.,LOST POWER ON TAKEOFF.ABORTED,ORG
19910827036839A,LOST POWER ON TAKEOFF.ABORTED. STRUCK AIRPORT FENCE. BLOCKED EXHAUST MANIFOLD. ADVISED NOT TO FLY. NO FERRY PERMIT.,STRUCK AIRPORT FENCE,ORG
19910916040499I,COCKPIT DOOR OPENED ON CLIMBOUT. RETURNED. MADE A HARD LANDING. BLEW LEFT MAIN TIRE AND BENT LEFT PROPELLER.       ,CLIMBOUT,ORG
19910916040499I,COCKPIT DOOR OPENED ON CLIMBOUT. RETURNED. MADE A HARD LANDING. BLEW LEFT MAIN TIRE AND BENT LEFT PROPELLER.       ,RETURNED,PERSON
19910916040499I,COCKPIT DOOR OPENED ON CLIMBOUT. RETURNED. MADE A HARD LANDING. BLEW LEFT MAIN TIRE AND BENT LEFT PROPELLER.       ,PROPELLER,ORG
19910903037789A,LOST OIL PRESSURE. OVERSHOT RUNWAY. OVERTURNED INTUNDRA. OIL FILLER CAP NOT SECURED. BALL TYPE CHECK VALVE NOT USED,OVERTURNED INTUNDRA,PERSON
19910816034689A,OIL ON WINDSHIELD ON CLIMBOUT. MADE A 180 TO COME BACK TO RUNWAY. COLLIDED WITH A FENCE. OIL FILLER CAP NOT SECURED,180,CARDINAL
19910816034689A,OIL ON WINDSHIELD ON CLIMBOUT. MADE A 180 TO COME BACK TO RUNWAY. COLLIDED WITH A FENCE. OIL FILLER CAP NOT SECURED,RUNWAY,ORG
19910816034689A,OIL ON WINDSHIELD ON CLIMBOUT. MADE A 180 TO COME BACK TO RUNWAY. COLLIDED WITH A FENCE. OIL FILLER CAP NOT SECURED,COLLIDED,ORG
19910724029719A,REPAIRED RIGHT STRUT WITH BAD SEAL WITH O RING. STRUT FAILED EXTEND ON TAKEOFF. LOST CONTROL GROUND LOOPED LANDING.,LOST CONTROL GROUND LOOPED,ORG
19910907044549A,SET AMPHIBIAN PARKING BRAKE AT MOORING. OVERLOOKED BRAKE ON FOR LANDING AT AIRPORT. VEERED OFF RUNWAY. NOSED OVER. ,BRAKE,PERSON
19910907044549A,SET AMPHIBIAN PARKING BRAKE AT MOORING. OVERLOOKED BRAKE ON FOR LANDING AT AIRPORT. VEERED OFF RUNWAY. NOSED OVER. ,VEERED,ORG
19910907044549A,SET AMPHIBIAN PARKING BRAKE AT MOORING. OVERLOOKED BRAKE ON FOR LANDING AT AIRPORT. VEERED OFF RUNWAY. NOSED OVER. ,RUNWAY,ORG
19910724029759A,ENGINE QUIT ON AERIAL FIRE BURN SURVEY. LANDED ON SLOPE. ROLLED OVER. DEPARTED MINIMUM FUEL. DEPLETED BY LEAKY SUMP,ON SLOPE,ORG
19910724029759A,ENGINE QUIT ON AERIAL FIRE BURN SURVEY. LANDED ON SLOPE. ROLLED OVER. DEPARTED MINIMUM FUEL. DEPLETED BY LEAKY SUMP,SUMP,ORG
19910810038269I,NOTICED FUEL VENTING OVERBOARD. EMERGENCY LANDING AT CLOSED AIRPORT. FUEL CAPS PUT ON WRONG.                       ,FUEL CAPS PUT ON WRONG,ORG
19910721030579A,ENGINE QUIT ON CLIMBOUT. TRIED TO LAND ON ADJACENT RUNWAY BUT SETTLED IN STEEP TURN. HIT FENCE. WATER IN FUEL.     ,CLIMBOUT,ORG
19910721030579A,ENGINE QUIT ON CLIMBOUT. TRIED TO LAND ON ADJACENT RUNWAY BUT SETTLED IN STEEP TURN. HIT FENCE. WATER IN FUEL.     ,TRIED,GPE
19911012045979A,"UNCONTROLLED RIGHT TURN ON LIFTOFF,UNABLE TO CORRECT. DUAL CONTROL BLOCKED BY PASSENGERS LEG. DEBRIS INJURIES.     ",DEBRIS,PERSON
19911011046049A,FAILED TO UNFASTEN A STRAP HOLDING A SKID ON TRAILER. HELICOPTER FELL OVER ON ITS SIDE DURING ATTEMPTED LIFTOFF.   ,UNFASTEN,ORG
19910716027599A,"LOST POWER,STRUCK WIRES LANDING IN SCHOOL YARD. FUEL SELECTOR EMPTY TANK. BOOST ON. SPARK PLUGS SOOTED.            ",SPARK,ORG
19911101048839A,ON LIFT OFF AIRCRAFT MADE TIGHT LEFT TURN. IMPACTED BETWEEN RUNWAYS. AUTOPILOT ON. CFI UNFAMILIAR WITH DISCONNECT. ,ON LIFT OFF AIRCRAFT,ORG
19911101048839A,ON LIFT OFF AIRCRAFT MADE TIGHT LEFT TURN. IMPACTED BETWEEN RUNWAYS. AUTOPILOT ON. CFI UNFAMILIAR WITH DISCONNECT. ,AUTOPILOT ON,ORG
