c5,c119,c119_output
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,[[]]
19870618043669I,SMOKE FROM ENGINES AFTER TAKEOFF. RETURNED. OIL FILLER CAPS WERE NOT SECURED.                                      ,[[]]
19870418010159A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT NOSED OVER ON LANDING. SOME WATER WAS FOUND IN THE AUTO GAS.     ,[[]]
19870425026649I,THE AIRCRAFT RAN OFF THE END OF THE RUNWAY DURING ABORT.  THE PILOT FAILED TO USE FLAPS FOR TAKEOFF.               ,[[]]
19870616020729A,UPPER COWLING BECAME LOOSE ON CLIMBOUT. RETURNING TO AIRPORT AIRCRAFT STALLED. IMPACTED TERRAIN NEXT TO THE RUNWAY.,[[]]
19870430022259I,THE AIRCRAFT WOULD NOT PRESSURIZE AND THE AIRCRAFT RETURNED TO AIRPORT.  CARGO DOOR UNLATCHED.  WARNING LIGHT INOP.,[[]]
19870625027029A,THE AIRCRAFT DESCENDED INTO TREES DURING AN ATTEMPTED GO AROUND. THE PILOT RETRACTED THE FLAPS TOO EARLY.          ,[[]]
19870421060899A,HELICOPTER IMPACTED GROUND AND ROLLED OVER AFTER LOSS OF TAIL ROTOR CONTROL. PRIOR DAMAGE IGNORED. NO AIRWORTHINESS,[[]]
19870713037399A,INITIAL CLIMB. RIGHT TURN. UNABLE TO GET WING UP. HIT WATER. ROLLED OVER. SANK. SUSPECT WATER IN WING. LEAKY FLOATS,[[]]
19870606050749I,"THE AIRCRAFT LANDED WITH THE PARKING BRAKE ENGAGED, BLOWING MAIN TIRES. PILOT USED UNAUTHOURIZED PROCEDURE.        ",[[]]
19870623069389I,APU CAUGHT FIRE DURING START. APU PLACARDED EXCEPT FOR START SWITCH. APU WAS INOPERATIVE DEFERRED IN LOGS.         ,[[]]
19870607036699I,SHUT DOWN LEFT ENGINE DUE TO FUEL FLOW PROBLEM AFTER TAKEOFF.  RIGHT ENGINE QUIT SHORTLY AFTER.                    ,[[]]
19870619020899A,THE ENGINE FAILED.  THE AIRCRAFT FLIPPED OVER ON LANDING.  WATER WAS FOUND IN ONE CYLINDER.                        ,[[]]
19870706038459I,PILOT LEFT BOOST PUMP ON HIGH DURING TAXI.  FIRE ERUPTED.  FUEL DRAIN LINE WAS PUSHED UP INSIDE COWLING.           ,[[]]
19870622055261A,MECHANIC TAXIING 747 WITHOUT BRAKE HYDRAULIC POWER STRUCK A HOLDING 737 N184AW. HAD FAILED TO USE BACKUP SYSTEM.   ,[[]]
19870511028879I,LEFT ENGINE DEVELOPED AN OIL LEAK AFTER LIFTOFF.  RETURNED.  OIL CAP WAS NOT PROPERLY SECURED.                     ,[[]]
19870508079639A,UNABLE TO ROTATE ON TAKEOFF AND OVERRAN THE DEPARTURE END OF THE RUNWAY. INCORRECT CONTROL LOCK IN YOKE.           ,[[]]
19870612037629I,THE NOSE WHEEL FAILED TO EXTEND.  THE AIRCRAFT LANDED ON THE MAIN GEAR.  WHEEL JAMMED IN DISCONNECTED GEAR DOORS.  ,[[]]
19870501023399I,CANOPY OPENED DURING TAKEOFF.  AIRCRAFT CONTROL AFFECTED.  LANDED GEAR UP.  SAFETY LATCH DID NOT HOLD.             ,[[]]
19870701064169I,THE GEAR RETRACTED ON TAKEOFF ROLL. SELECTOR WAS IN THE UP POSITION. BRF OUT OF DATE.                              ,[[]]
19870507025679I,"OVERSHOT NIGHT LANDING, VEERED OFF RUNWAY TO AVOID A FENCE. OVER ONE HALF OF RUNWAY LIGHTS INOPERATIVE.            ",[[]]
19871031061469A,"ON LANDING, RAN OFF SIDE OF RUNWAY INTO MUD AND FLIPPED OVER.PILOT HAD FAILED TO SECURE AILERON REFLEXER CONTROL.  ",[[]]
19870922059019A,LEFT ON OVER WATER FLIGHT WITH FUEL PUMP INOPERATIVE AND USING THE ELECTRIC AUX PUMP WHICH FAILED. DITCHED IN OCEAN,[[]]
19870927068249I,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.                               ,[[]]
19870831063679I,THE RIGHT MAIN GEAR COLLAPSED ON ROLLOUT OLEO STRUT WAS NOT CONNECTED AT THE THREADED JOINTS.                      ,[[]]
19870816045699A,ACTIVATED FLAPS INSTEAD OF SPOILERS ON APPROACH. TOO HIGH BEGAN A TURN TO LOSE ALTITUDE AND STALLED THE GLIDER.    ,[[]]
19870924064559I,SMOKE ACCOMPANIED PRESSURIZATION PROBLEMS. PILOT IMPROPERLY SET EMERGENCY VALVE. OIL FROM ENGINE WORK CAUSED SMOKE.,[[]]
19870919066179I,"THE AIRCRAFT OVERRAN THE RUNWAY AFTER A FAST, NO FLAP LANDING. LANDING LIGHT FAILED. PILOT SHUT OFF BATTERY.       ",[[]]
19870726046199I,ENGINE QUIT WITHOUT WARNING ON TAKEOFF. LANDED ON A ROAD. WATER FOUND IN THE CARBURETOR BOWL.                      ,[[]]
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",[[]]
19871027078949I,LANDING GEAR COLLAPSED BECAUSE IT WAS NEVER FULLY EXTENDED AND LOCKED. CAUSE GENERATORS WERE NEVER TURNED ON.      ,[[]]
19871101065959I,"WHILE TAXING, THIS AIRCRAFT STRUCK A PARKED AIRPLANE. THE PILOT REPORTED THAT THE SEAT UNLOCKED AND SLIPPED BACK.  ",[[]]
19871014062899I,"DURING MISSED APPROACH, CFI TURNED BOOST PUMP ON WHICH FLOODED THE SIMULATED FAILED ENGINE. AIRCRAFT FORCE LANDED. ",[[]]
19871016063669I,OIL COVERED THE WINDSHIELD AFTER TAKEOFF. RETURNED. AIRCRAFT IMPROPERLY ALIGNED WITH RUNWAY. OIL FILLER CAP LOOSE. ,[[]]
19870816056669A,"TOOK OFF WITHOUT SLATS AND FLAPS EXTENDED. STRUCK LIGHT POLE,CRASHED AND BURNED. TAKEOFF WARNING SYSTEM INOPERATIVE",[[]]
19870812051139I,AIRCRAFT STRUCK POWERLINES WHILE CIRCLING A RESIDENCE AT NIGHT. INSTRUMENT PANEL LIGHTS WERE TURNED OFF.           ,[[]]
19870813057749I,BOTH ENGINES FLAMED OUT WHILE DESCENDING THROUGH CLOUDS. INLET HEAT NO ON. BOTH ENGINES WERE RESTARTED.            ,[[]]
19871022072959I,SAW ENGINE OIL LEAK. RETURNED TO FIELD. DISCOVERED OIL CAP LOOSE. REPLACED CAP AND RESUMED FLIGHT. PILOT COUNSELLED,[[]]
19870925056369A,THE AIRCRAFT NOSED OVER ON TAKEOFF. THE PLIOT FAILED TO PULL THE ELEVATOR CONTROL OUT OF THE DETENT BEFORE TAKEOFF ,[[]]
19870926079129A,OVERHEATED ENGINE. PRECAUTIONARY LANDING ON DIRT ROAD. BOUNCED. HIT A CATTLE GUARD AND GATE. OIL DIPSTICK MISSING. ,[[]]
19870911051849A,CREW DOOR CAME OPEN IN FLIGHT AS PILOT TRIED TO SECURE IT. THE FORCE OF AIR BROKE PILOTS ARM AND DAMAGED FUSELAGE. ,[[]]
19870826056929I,PILOT TAXIED OVER A PLASTIC MARKER CONE THAT WAS IN FRONT  OF HIS AIRCRAFT. FAILED TO MAKE WALK AROUND PREFLIGHT.  ,[[]]
19871003063159I,ENGINE QUIT DUE TO SIGNIFICANT WATER IN THE FUEL. SAFE AIRPORT LANDING. FUEL FACILITY INSPECTION INCONCLUSIVE.     ,[[]]
19871005060199A,HAD TO USE BOTH HANDS ON BALLOON VENT TO HOLD IT OPEN ON LANDING THEREFORE UNABLE TO CONTROL BURNER.BURNED ENVELOPE,[[]]
19871003063299I,THE AIRCRAFT RETURNED TO THE AIRPORT DUE TO AN UNLATCHED COWLING. OPERATOR IS TAKING ACTION TO PREVENT RECURRENCE. ,[[]]
19870727068289I,PILOT FAILED TO ENSURE THE OIL DIPSTICK WAS PROPERLY INSTALLED. RETURNED WITH OIL LEAKING FROM RIGHT ENGINE.       ,[[]]
19871024060409A,REPORTED A DOOR CAME OPEN AFTER TAKEOFF. MADE TIGHT CIRCLE TO LAND ON ANOTHER RUNWAY. HIT A TREE AND CRASHED.      ,[[]]
19871015063099I,PILOT TOOK OFF WITH THE TOWBAR ATTACHED TO NOSE GEAR. RETURNED WHEN GEAR WOULD NOT RETRACT FULLY.                  ,[[]]
19871004058539A,COLLIDED WITH THE TERRAIN AFTER TAKOFF. FOUND CONTROL LOCK WAS IN PLACE AT THE TIME OF THE ACCIDENT. BOLT USED.    ,[[]]
19871102072099I,SOLO STUDENT LOST DIRECTIONAL CONTROL DURING ATTEMPTED TAKEOFF WITH FULL FLAPS.NOSE GEAR COLLAPSED OFF RUNWAY SIDE.,[[]]
19870913051689A,"ENGINE QUIT ON CLIMBOUT.HIT A DITCH WHILE LANDING IN FIELD. WATER, DIRT IN FUEL NOZZLES. HAD SET 11 MONTHS INACTIVE",[[]]
19870910061919I,TAILWHEEL WAS NOT LOCKED FOR LANDING. AIRCRAFT GROUND LOOPED. PILOT WAS UNFAMILIAR WITH LOCKING PROCEDURE.         ,[[]]
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ",[[]]
19871011071849I,ABORTED TAKEOFF WHEN THE DOOR CAME OPEN. PILOT MISJUDGED THE DISTANCE TO THE RUNWAY END. RAN OFF THE END.          ,[[]]
19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.  ,[[]]
19871119066679A,LIFTED TO HOVER UNAWARE HIDDEN TIE DOWN CHAINS STILL ATTACHED. ROLLED OVER AND CRASHED. TIE DOWNS WERE IMPROPER.   ,[[]]
19871118082759I,THE TAKEOFF WAS ABORTED WHEN THE PILOT HEARD A BANG. CREW ENTRANCE LADDER HAD COME LOOSE AND HIT THE DECK.         ,[[]]
19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,[[]]
19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,[[]]
19880221033719A,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,[[]]
19880313034389I,UNABLE RETRACT NOSE GEAR ON CLIMBOUT. RETURNED. GROUND CREW HAD INSTALLED EXTRA NON STANDARD GEAR PIN. OVERLOOKED. ,[[]]
19880120019019I,TAXIING AT HIGH STEEP PILOT VEERED OFF TAXIWAY INTO THE GRASS. BECAME STUCK IN THE MUD. BLAMED SEAT SLIPPED BACK.  ,[[]]
19880216002609A,TAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT WHEN IT WAS STRUCK BY A HELMET FLIGHT BAG BLOWN OUT OF COCKPIT.            ,[[]]
19871224078969I,ELECTRICAL POWER LOSS. MAGS NOT ON.TOWER CHECKED GEAR WAS UP. LANDED GEAR UP. EMERGENCY EXTENSION OPERATED NORMAL. ,[[]]
19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,[[]]
19880303054509I,INDICATES PILOT DID NOT TURN ON ENGINE ANTI ICE PRIOR TO ICING. LOST BOTH ENGINES. WAS ABLE TO RESTART AND RETURN. ,[[]]
19871229075529I,LOSS OF OIL QUANTITY NR3 ENGINE EN ROUTE DUE TO OIL CAP LOOSE. SHUT DOWN ENGINE. LANDED OK. NO ENGINE DAMAGE.      ,[[]]
19871112077979I,NUMBER 2 ENGINE LEFT CORE COWL SEPARATED ON TAKEOFF DUE TO IMPROPER INSTALLATION. CREATED RUNWAY HAZARD.           ,[[]]
19880203043929I,RIGHT ENGINE COWLING LOOSE. DIVERTED TO PORTLAND.SECURED COWLING LOCKS AND DEPARTED.                               ,[[]]
19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,[[]]
19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,[[]]
19871204077839I,LOST OVERHEAD EMERGENCY DOOR ON TAKEOFF ROLL. DID NOT CHECK IT FOR SECURITY.                                       ,[[]]
19871124073879I,PILOT ISSUED RADAR SURVEILLANCE APPROACH AFTER TWO ATTEMPTS. ILS SYSTEM HAD FLUCTUATING NEEDLES AND INOPERATIVE.   ,[[]]
19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,[[]]
19880314026319A,HIT POWERLINES ON A PRECAUTIONARY LANDING. FUEL BOOST WARNING LIGHT ON. IMPACTED GROUND. GENERATOR SWITCH WAS OFF. ,[[]]
19880120000999A,PICKED UP TO A HOVER WHEN HELICOPTER PITCHED UP. LOST CONTROL AND CRASHED. ICED CONTROL SERVOS. AD NOT COMPLIED.   ,[[]]
19880129071209I,BOTH ENGINES FLAMED OUT ON TOUCHDOWN. HAD ENTERED ICING CONDITIONS ON APPROACH WITHOUT ENGINE INTAKE HEAT ON.      ,"[[('ICING', '/location/location/contains', 'INTAKE')]]"
19880311014089I,LEFT ENGINE FLAME OUT. RETURNED TO AIRPORT. FOUND OIL FILL DIPSTICK PROTRUDING FROM FILLER NECK. ENGINE OUT OF OIL.,[[]]
19871117077809I,LOUD BANG AT ENGINE START AFTER MAINTENANCE. FOUND NR3 TAIL ROTOR DRIVE SHAFT COUPLING BOLTS WERE LOOSE.           ,[[]]
19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,[[]]
19880102003579I,RETURNED TO AIRPORT WITH ROUGH ENGINE. USED CHECK LIST. FOUND PRIMER UNLOCKED. SECURED PRIMER. ENGINE NORMAL.      ,[[]]
19871212080219I,CRASH LANDED ON AIRPORT. ACCIDENT CAUSED FROM A HOLE IN RUNWAY.                                                    ,[[]]
19880213002489A,LOST DIRECTIONAL CONTROL ON TAKEOFF. VEERED OFF THE RUNWAY. STUDENT USED NOSEWHEEL STEERING. CFI FAILED TO ADVISE. ,[[]]
19871205069159A,"LOST OIL PRESSURE ON TAKEOFF. TRIED LANDING DOWNWIND NO FLAPS. TOO HIGH,STALLED CLIMBOUT. OIL DIPSTICK NOT SECURED.",[[]]
19880104000179A,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,[[]]
19880221003319A,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.                                           ,[[]]
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,[[]]
19880131057869I,"DURING PREFLIGHT,LEFT AILERON LOCK DANGLING BY BUNGEE CORD FROM WING. FLEW TO KENT COUNTY RUNWAY WITH LOCK DANGLING",[[]]
19880304005859A,BOTH ENGINES QUIT ON CLIMBOUT. CRASH LANDED IN TREES. FUEL SELECTORS ON INBOARD EMPTY TANKS. OUTBOARD TANKS FULL.  ,[[]]
19880624064609A,ABORTED TAKEOFF WHEN UNABLE TO ROTATE. RAN OFF END OF RUNWAY. NOSED OVER IN DITCH. FAILED TO RESET NOSE DOWN TRIM. ,[[]]
19880607045909I,BOTTOM HALF OF AIRSTAIR DOOR OPENED IN FLIGHT. DIVERTED TO NEAREST AIRPORT. NO DETAILS GIVEN IN REPORT.            ,[[]]
19880324019949I,ICING PROBLEM. ENGINE QUIT AT CRUISE. RESTARTED. ONLY RAN AT IDLE. LANDED ON DIRT ROAD. WAS USING RAM AIR.         ,[[]]
19880623040369I,"ENGINE OVERHEATED ON CLIMBOUT. LANDED ON A HIGHWAY. HAD FORGOT TO REMOVE COWL COVERS.TOOK OFF, RETURNED TO AIRPORT.",[[]]
19880426011719A,ENGINE QUIT. NOSED OVER LANDING IN A SOFT FIELD. FOUND WATER IN THE FUEL.                                          ,[[]]
19880413016839I,HAD A RATTLE NOISE OUTSIDE OF THE AIRCRAFT. RETURNED. FOUND EXCESS SEAT BELT WAS HANGING OUTSIDE OF COCKPIT.       ,[[]]
19880530054189I,UNABLE TO ACCELERATE NORMALLY. ABORTED TAKEOFF. STOPPED IN OVERRUN AREA. PARKING BRAKE NOT FULLY OFF.              ,[[]]
19880623040529I,ENGINE QUIT IN THE PATTERN. LANDED IN A FLOOD CHANNEL. LACK OF SUFFICIENT OIL IN ENGINE CAUSED CYLINDER SEIZURE.   ,[[]]
19880412038769I,FLIGHT DEPARTED PITTSBURGH WITHOUT BEING FUELED. RETURNED. AIRCRAFT WAS FUELED AND THEN DEPARTED AGAIN.            ,[[]]
19880410036529A,FIRE ERUPTED IN EXHAUST SYSTEM IN AN INVERTED SPIN DUE TO POOLING OF SMOKE OIL AND IGNITED. SMOKE OBSCURED LANDING.,[[]]
19880406036069I,RIGHT MAIN WHEEL LEFT THE TAXIWAY DURING TAXIING. FOUND LEFT BRAKE HAD A LEAK AT THE PISTON. PILOT FAILED TO NOTE. ,[[]]
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,[[]]
19880520015489A,"AIRCRAFT MADE LEFT VERTICAL BANK ON INITIAL CLIMB IMPACTED AND BURNED. AILERON CONTROL JUST REWORKED, WERE BACKWARD",[[]]
19880402015869I,SMOKE IN COCKPIT. DECLARED AN EMERGENCY. LANDED SAFELY. FOUND PILOT HAD MISHANDLED THE CABIN HEATER CONTROL.       ,[[]]
19880422066369I,ATC EQUIPMENT SHOWED PLANE BELOW ASSIGNED ALTITUDE. PILOT VERIFIED CORRECT ALTITUDE. RADAR READOUT SOMETIMES FAUTLY,[[]]
19880520040769I,TOOK OFF WITH KEYS IN FRONT BAGGAGE DOOR LOCK. DOOR OPENED. RETURNED TO CORRECT PROBLEM.                           ,[[]]
19880506034719I,TOOK OFF WITH AILERON GUST LOCK ENGAGED. ABORTED AND MADE A HARD LANDING.                                          ,[[]]
19880509021299I,LEFT ENGINE OIL PRESSURE FLUCTUATING ON CLIMB. ENGINE WAS IDLED. RETURNED. FOUND OIL RESERVOIR CAP LOOSE.          ,[[]]
19880420048059I,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.                           ,[[]]
19880603044859A,"ENGINE QUIT ON LIFTOFF, LANDED. ENGINE RESTARTED AND PILOT TOOK OFF AGAIN. ENGINE QUITE AGAIN. CRASHED INTO A MALL.",[[]]
19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,[[]]
19880623034849I,UNABLE TO RAISE NOSE GEAR AFER TAKEOFF. RETURNED. GROUND LOCK PIN WAS NOT REMOVED BEFORE FLIGHT. CREW OVERSIGHT.   ,[[]]
19880825050199I,REAR DOOR OPENED ON FINAL APPROACH STRIKING FUSELAGE. NO REASON FOUND FOR DOOR OPENING.                            ,[[]]
19880921056649I,LOST DIRECTIONAL CONTROL AFTER TAKEOFF AND ROLLED. RECOVERED AND LANDED. FORGOT TO REMOVE EXTERNAL AILERON LOCK.   ,[[]]
19880711027479A,ENGINE LOST POWER ON HOMEBUILT ON CLIMBOUT. CRASH LANDED.  HAD PLACED LUGGAGE ON PLASTIC GAS LINE AND KINKED IT.   ,[[]]
19880913062619I,"SHORTLY AFTER ROTATION, FORWARD BAGGAGE DOOR BLEW OPEN AND FELL OFF. CONTINUED FLIGHT IN NON-AIRWORTHY AIRCRAFT.   ",[[]]
19880909038109A,"BEGAN TAKEOFF ROLL WITH CONTROL LOCK IN PLACE. UNABLE TO REMOVE, ABORTED LATE, RAN OFF END OF RUNWAY AND OVERTURNED",[[]]
19880714054459I,FUEL TRUCK EXHAUST FIRE WHILE REFUELING AIRCRAFT. EVACUATED AIRCRAFT VIA STAIRS. FAULTY TRUCK EXHAUST. NOT REPORTED,[[]]
19880914038569A,RIGHT COWL PANEL OPENED ON TAKEOFF CAUSED DRAG AND LOSS OF LIFT. LANDED OFF AIRPORT. IMPACT BENT THE WING SPAR.    ,[[]]
19880812032459A,"PARTIAL POWER LOSS ON CLIMBOUT. RETURNING,HIT FENCE AND AUTO SHORT OF RUNWAY. FAILED TO REMOVE COWLING BIRD COVERS.",[[]]
19880911037979I,ABORTED TAKEOFF WHEN AIRCRAFT DID NOT ROTATE. RAN OFF END OF RUNWAY. STABILIZER TRIM SETTING WRONG.                ,[[]]
19880831036229A,"CREW FAILED TO ASCERTAIN FLAPS SET FOR TAKEOFF AND FLAP WARNING HORN FAILED, LACK OF LIFT CAUSED SETTLING AND CRASH",[[]]
19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.   ,[[]]
19880711026239A,MISSED APPROACH. FORCED LANDING IN FIELD. PILOT USED TO VERNIOR THROTTLE. UNSCREWED SAME BY TWISTING. NO MECHANICAL,[[]]
19880807039859I,ABORTED 2 TAKEOFFS DUE TO AIRCRAFT NOSE HEAVY. NO DEFECTS. PILOT COUNSELED ON USE OF TRIM TAB.                     ,[[]]
19880918044789A,PEDAL AND TURN PROBLEM ON LIFTOFF. UNAPPROVED PEDAL ADJUSTMENT. UNABLE TO STOP TURN ON NEXT LIFTOFF. CRASH LANDED. ,[[]]
19880921056039I,HEARD LOUD BANG. NOSE BAGGAGE DOOR LIGHT CAME ON. PRECAUTIONARY LANDING. DOOR WAS AJAR. MINOR DAMAGE TO NOSE.      ,[[]]
19880725057329A,WATER TAXI TO REFUEL PRIOR TO TAKEOFF. WATER ROUGH. LEFT FLOAT CAP OPEN SHIPPED WATER AND ACFT ROLLED OVER AND SANK,[[]]
19880910038059A,FAILED TO DISCONNECT THE CHEMICAL FILLER HOSE PRIOR TO LIFTOFF FROM TRUCK PLATFORM. HELICOPTER ROLLED OVER.        ,[[]]
19880920039549A,"UNABLE TO ROTATE, RAN OFF END OF RUNWAY FULL POWER NO BRAKING INTO DITCH. POSSIBLE CONTROL LOCK IN YOKE. NO DEFECTS",[[]]
19880920059059I,"DISCARDED CARGO DOOR WAS PICKED UP BY ROTOR WASH OF UNKNOWN HELICOPTER.IT HIT PARKED S550 N#92QS, DAMAGING AILERON.",[[]]
19880730028329A,"HAD UNEVEN FUEL FLOW AND IMBALANCE. DIVERTED TO NEAREST AIRPORT, CRASHED AND BURNED. YAW DAMPER INOP.              ",[[]]
19880712026389A,STUDENT PILOT PICKED UP PASSENGER. CRASHED ON TAKEOFF. FOUND CARBURETOR HEAT ON AND FLAPS FULL DOWN.               ,[[]]
19880901036579A,"CREWMAN HAD SECURED AFT SKID TIE DOWNS UNKNOWN BY PILOT. HE DID NOT CHECK, AIRCRAFT LIFTOFF NOSE HIGH.FELL IN WATER",[[]]
19880926053609I,RIGHT SIDE OF ENGINE COWLING OPENED EN ROUTE. DIVERTED TO ROSTRAVER. LEFT SIDE OPENED. LANDED. NO REASON FOUND.    ,[[]]
19880716026869A,"TOOK OFF WITH FULL UP TRIM AND LEANED MIXTURE. NOSED UP,STALLED AND SPUN IN. CARRIED PASSENGERS. LACKED ENDORSEMENT",[[]]
19880630042289I,PIC REPORTED LOSING OIL PRESSURE AND ALTERNATOR. LANDED.FOUND ALTERNATOR CIRCUIT BREAKER OPEN AND BATTERY DEPLETED.,[[]]
19890119007029I,TOP HALF OF DOOR OPENED DURING TAKEOFF. PROCEEDED TO KEENE. LANDED SAFELY. CHECKED DOOR AND RETURNED.              ,[[]]
19881204069149I,STUDENT PULLED AND SET PARKING BRAKE INSTEAD OF FLAPS. HIGHER SPEED RESULTED IN FLOAT. BRAKE SET MADE TIRE BLOW.   ,[[]]
19881222071639I,LIGHT TO HEAVY FREEZING RAIN IN AREA. AIRCRAFT STALLED BUT RECOVERED ON INITIAL APPROACH. AIRFRAME DEICE NOT ON.   ,[[]]
19881006062739I,UNABLE TO PRESSURIZE CABIN AFTER TAKEOFF. RETURNED. R-1 DOOR WAS OPEN. RECYCLED DOOR AND RESUMED FLIGHT.           ,[[]]
19881115058249A,NO AILERON CONTROL ON TAKEOFF TOW. RELEASED TOW AND CRASHED INTO TREES. PINS HOLDING AILERON CONTROLS WERE MISSING.,[[]]
19890118023839I,COCKPIT FILLED WITH SMOKE WHILE TAXIING FOR DEPARTURE. ENGINE SHUT DOWN. ENGINE BLOWER INTAKE COVER STILL INSTALLED,[[]]
19881228056929A,ROUGH ENGINE AND PARTIAL POWER ON CLIMBOUT. HIT TREES ON RETURN. CARB HEAT LEVER TRAVEL WAS RESTRICTED.            ,[[]]
19880930042679A,FAILED TO SECURE OIL CAP. ENGINE RAN OUT OF OIL. FORCED LANDING IN TREES. MEDICAL HAD EXPIRED.                     ,[[]]
19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",[[]]
19881020064459I,PRECAUTIONARY RETURN TO AIRPORT TO CLOSE FUEL CAP. DEPARTED AGAIN. DID NOT CONTACT ATS ON EITHER TAKEOFF.          ,[[]]
19881022047829A,"TRIED TO GO AROUND WITH FULL FLAPS, UNABLE.THEN STALLED A WING AND IMPACTED.FAILED TO HOLD SWITCH ON FOR RETRACTION",[[]]
19881130064879I,BOTH ENGINES FLUCTUATING. LANDED AT FT LEONARD WOOD. NO FUEL WOULD DRAIN FROM SUMP. LATER WATER CAME FROM SUMP.    ,[[]]
19881214055199I,DOOR OPENED AND DEPARTED AIRCRAFT AT CRUISE ALTITUDE. DIVERTED. CAUSE NOT STATED.                                  ,[[]]
19881006044709A,CANOPY CAME OPEN ON TAKEOFF. PILOTS GLASSES BLEW OFF AND HE LOST CONTROL TRYING TO CLOSE CANOPY AND CRASHED.       ,[[]]
19881006044739A,PUT GEAR DOWN BY MISTAKE FOR WATER LANDING. AMPHIBIAN FLIPPED OVER. REPORTED ELEVATOR TRIM BROKE. NO DEFECTS NOTED.,[[]]
19881230068779I,TAKEOFF WARNING HORN WHEN THROTTLES WERE ADVANCED. ABORTED. RESET STABILIZER TRIM AND RETURNED TO TAKEOFF AGAIN.   ,[[]]
19890331021799I,AFTER SWITCHING TANKS FUEL FLOW DIMINISHED TILL ENGINE SPUTTERING CAUSED FORCED LANDING. FUEL WAS CONTAMINATED.    ,[[]]
19890413020489I,LOST POWER ON TAKEOFF. LANDED WITH GEAR UP ON SAME RUNWAY. WATER IN FUEL TANK. FILLER CAP FIT LOOSELY.             ,[[]]
19890509021309I,REPORTED NO GEAR LIGHTS. LANDED SAFELY AFTER GEAR DOWN FLYBY. GEAR LIGHTS DIM DUE TO NAV LIGHTS ON. HARD TO SEE.   ,[[]]
