,doc_idx,sent_idx,original_sentence,input,mention,biencoder_predicted_entity,crossencoder_predicted_entity
591,2111,0,"ACFT REPORTED A PROBLEM WITH CABIN PRESSURE AT FL260 AND WAS CLEARED DOWN TO FL150, RADIO AND RADAR CONTACT WAS LOS","acft reported a problem with cabin pressure at fl260 and was cleared down to fl150, radio and radar contact was los",acft,ACM Air Charter,Air Cargo Germany
592,2112,2,"PILOT RAN LEFT FUEL TANK DRY, FAILING TO SWITCH TO OTHER TANKS. (.4)THE AIRCRAFT'S ENGINE LOST POWER ON FINAL APPRO",4)the aircraft's engine lost power on final appro.,aircraft's,Aircraft,Aircraft
593,2113,0,"GLIDER EXPERIENCED AILERON PROBLEMS ON TAKEOFF TOW, AFTER THE ACFT WAS RELEASED FROM THE TOW IT STRUCK A BUSH AND S","glider experienced aileron problems on takeoff tow, after the acft was released from the tow it struck a bush and s",aileron,Aileron,Aileron
594,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","(-5)ifr flight, rexburg, idaho to gunnison, co.",rexburg,"Rexburg, Idaho","Rexburg, Idaho"
595,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","(-5)ifr flight, rexburg, idaho to gunnison, co.",idaho,Idaho,Idaho
596,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","(-5)ifr flight, rexburg, idaho to gunnison, co.",gunnison,"Gunnison, Colorado","Gunnison, Utah"
597,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","(-5)ifr flight, rexburg, idaho to gunnison, co.",co,Colorado,Colorado
598,2114,1,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ",", pilot requested diversion to idaho falls (ida) after having smoke .",idaho,Idaho,Idaho
599,2115,1,"(.19)ON SEPTEMBER 16, 1998, ABOUT 2040 EASTERN DAYLIGHT TIME, A CESSNA 152, N307DW, WAS SUBSTANTIALLY DAMAGED DURIN","19)on september 16, 1998, about 2040 eastern daylight time, a cessna 152, n307dw, was substantially damaged durin.",cessna 152,Cessna 152,Cessna 152
600,2115,1,"(.19)ON SEPTEMBER 16, 1998, ABOUT 2040 EASTERN DAYLIGHT TIME, A CESSNA 152, N307DW, WAS SUBSTANTIALLY DAMAGED DURIN","19)on september 16, 1998, about 2040 eastern daylight time, a cessna 152, n307dw, was substantially damaged durin.",durin,Durinn,Durin
601,2116,0,"ON AUGUST 26, 1998, ABOUT 1805 EDT, A ROGINSON R-22 N9067G, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING IN DU","on august 26, 1998, about 1805 edt, a roginson r-22 n9067g, was substantially damaged during a forced landing in du",roginson r-22,Rogen moraine,Maneuverable reentry vehicle
602,2116,0,"ON AUGUST 26, 1998, ABOUT 1805 EDT, A ROGINSON R-22 N9067G, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING IN DU","on august 26, 1998, about 1805 edt, a roginson r-22 n9067g, was substantially damaged during a forced landing in du",du,Duisburg,Duisburg
603,2120,0,"(-5)ON OCTOBER 21 ,1998, AT 1205 CDT, N3256V, A BEECH A-36, OWNED AND OPERATED BY FRANK ROBINS III, RECEIVED MINOR ","(-5)on october 21 ,1998, at 1205 cdt, n3256v, a beech a-36, owned and operated by frank robins iii, received minor ",frank robins iii,Thomas Robins (inventor),Robin Aircraft
604,2122,0,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.","on departure from ava, mo.",ava,"Ava, Missouri",American Viticultural Area
605,2122,0,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.","on departure from ava, mo.",mo,Missouri,United States
606,2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover, crashed on airport property off rwy.",rwy,R513 (South Africa),R3 (ring road)
607,2123,0,"ACFT STALLED AND CRASHED UPON TAKEOFF. (.19)ON NOVEMBER 4, 1998, AT 1045 HOURS PACIFIC STANDARD TIME, A PIPER PA-46",acft stalled and crashed upon takeoff.,acft,Acme Airport,Air Cargo Germany
608,2126,1,"(.19) ON NOVEMBER 14, 1998, AT 1115 CENTRAL STANDARD TIME, A CESSNA 182F, N3240U, PILOTED BY A COMMERCIAL PILOT, RE","19) on november 14, 1998, at 1115 central standard time, a cessna 182f, n3240u, piloted by a commercial pilot, re.",central standard,Central Time Zone,Central Time Zone
609,2126,1,"(.19) ON NOVEMBER 14, 1998, AT 1115 CENTRAL STANDARD TIME, A CESSNA 182F, N3240U, PILOTED BY A COMMERCIAL PILOT, RE","19) on november 14, 1998, at 1115 central standard time, a cessna 182f, n3240u, piloted by a commercial pilot, re.",cessna,Cessna,Cessna
610,2127,1,"(.19)ON NOVEMBER 15, 1998, APPROXIMATELY 0945 CENTRAL STANDARD TIME, A BELL 206B HELICOPTER, N21466, WAS SUBSTANTIA","19)on november 15, 1998, approximately 0945 central standard time, a bell 206b helicopter, n21466, was substantia.",central standard,Central Time Zone,Central Time Zone
611,2129,0,"ACFT EXPERIENCED A LOSS OF POWER ON TAKEOFF, RETURNED TO THE APRT, AND SUSTAINED SUBSTANTIAL DAMAGE. (-23)THE MIXTU","acft experienced a loss of power on takeoff, returned to the aprt, and sustained substantial damage.",acft,Acme Airport,Armstrong Flight Research Center
612,2129,1,"ACFT EXPERIENCED A LOSS OF POWER ON TAKEOFF, RETURNED TO THE APRT, AND SUSTAINED SUBSTANTIAL DAMAGE. (-23)THE MIXTU", (-23)the mixtu.,mixtu,Mixe,Mixtec
613,2130,0,"NARRATIVE: ON MONDAY, FEBRUARY 16, 1998, AT 0715 EST, A BA JETSTREAM 3201, N492UE, FLIGHT 6269, OPERATED BY ATLANTI","narrative: on monday, february 16, 1998, at 0715 est, a ba jetstream 3201, n492ue, flight 6269, operated by atlanti",atlanti,Atlantia (company),Alitalia
614,2131,0,ACFT WAS ON A TEST FLIGHT WHEN IT CRASHED UNDER UNKNOWN CIRCUMSTANCES. (.4) THE AIRPLANE IMPACTED TERRAIN FOLLOWING,acft was on a test flight when it crashed under unknown circumstances.,acft,ACME Anser,Air Cargo Germany
615,2137,0,AFTER KLM CFRS PERFORMED MAINTENANCE ON THE ENGINE #2 ANTI-ICE VALVE. THE MAINTENANCE PERSONNEL DID NOT LATCH THE L,after klm cfrs performed maintenance on the engine #2 anti-ice valve.,klm cfrs,Greenland Airport Authority,Greenland Airport Authority
616,2138,2,"ACFT CRASHED IN A FIELD AND CAME TO REST INVERTED. (.19)ON DECEMBER 17, 1998, AT 1042 CENTRAL STANDARD TIME, A CESS","19)on december 17, 1998, at 1042 central standard time, a cess.",central standard,Central Time Zone,Central Time Zone
617,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas, ca.",salinas,"Salinas, California","Salinas, California"
618,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas, ca.",ca,California,California
619,2140,1,"(.19)ON OCTOBER 26, 1998, ABOUT 1750 ALASKA STANDARD TIME, A WHEEL EQUIPPED CESSNA 207A AIRPLANE, N73533, SUSTAINED","19)on october 26, 1998, about 1750 alaska standard time, a wheel equipped cessna 207a airplane, n73533, sustained.",alaska,Alaska,Alaska
620,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",hicks,Hicks,Hicks
621,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",sauk center,"Sauk Centre, Minnesota","Sauk Centre, Minnesota"
622,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," hicks was flying from sauk center, mn.",mn,Minnesota,Minnesota
623,2143,2,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," (d39) to carroll, ia (cin).",carroll,"Carroll, Iowa","Carroll, Iowa"
624,2143,2,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," (d39) to carroll, ia (cin).",ia,Iowa,Minnesota
625,2143,2,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T"," (d39) to carroll, ia (cin).",cin,Iowa Communications Network,Craft Identification Number
626,2144,1,"(-5)PILOT TOOK-OFF AND FLEW WITH ALTERNATOR SWITCH OFF, LOST BATTERY POWER. ON APPROACH, GEAR WOULD NOT EXTEND USIN"," on approach, gear would not extend usin.",usin,Approach lighting system,Jaan Usin
627,2148,1,(-5) AIRCRAFT VEERED OFF END OF RUNWAY AFTER ABORTING TAKEOFF. REPORTED THAT PITOT TUBE HAD BEEN COVERED WITH MASKI, reported that pitot tube had been covered with maski.,maski,Masking tape,Maski
628,2150,1,"(.4) ON MARCH 26, 1999, ABOUT 1530 CENTRAL STANDARD TIME, A CESSNA 172, N8968B, COLLIDED WITH TREES WHILE MANEUVERI","4) on march 26, 1999, about 1530 central standard time, a cessna 172, n8968b, collided with trees while maneuveri.",central standard,Central Time Zone,Central Time Zone
629,2150,1,"(.4) ON MARCH 26, 1999, ABOUT 1530 CENTRAL STANDARD TIME, A CESSNA 172, N8968B, COLLIDED WITH TREES WHILE MANEUVERI","4) on march 26, 1999, about 1530 central standard time, a cessna 172, n8968b, collided with trees while maneuveri.",cessna 172,Cessna 172,Cessna 172
630,2152,0,(-5)AIRCRAFT TAXIED INTO A SNOW BANK WITH RIGHT MAIN LANDING GEAR WHILE TAXIING TO THE NORTH DE-ICE PAD AT PITTSBUR,(-5)aircraft taxied into a snow bank with right main landing gear while taxiing to the north de-ice pad at pittsbur,pittsbur,"Pitts Ferry, Ontario",Pittsburgh
631,2153,0,"AFTER LANDING, N305EC EXITED RUNWAY 28 AT TAXIWAY CHARLIE. THE AIRCRAFT WAS NEAR CENTERLINE WHEN THE NOSE WHEEL TRA","after landing, n305ec exited runway 28 at taxiway charlie.",n305ec,List of Alaskan aviators,List of airports by IATA code: N
632,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa, flight 580 departed runway 32 at lincoln, ne.",twa,Trans World Airlines,Trans World Airlines
633,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa, flight 580 departed runway 32 at lincoln, ne.",runway,Runway,Runway
634,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa, flight 580 departed runway 32 at lincoln, ne.",lincoln,"Lincoln, Nebraska","Lincoln, Nebraska"
635,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa, flight 580 departed runway 32 at lincoln, ne.",ne,Nebraska,Nebraska
636,2155,0,"ACFT TOOK OFF AND CLIMBED TO APPROX 150 FEET AGL AT WHICH POINT BEGAN TO LOSE POWER, ACFT TO LAND IN A GRASSY AREA.","acft took off and climbed to approx 150 feet agl at which point began to lose power, acft to land in a grassy area.",acft,Acme Airport,Air Cargo Germany
637,2157,0,"ON JUNE 8, 1998M AT 1055 HOURS PACIFIC DAYLIGHT TIME, A SAAB 91B, N6370L, WENT OFF THE END OF THE RUNWAY DURING AN ","on june 8, 1998m at 1055 hours pacific daylight time, a saab 91b, n6370l, went off the end of the runway during an ",saab,Saab AB,Saab AB
638,2158,2,UPON TAKEOFF AIRCRAFT WOULD NOT ACCELERATE. LANDING GEAR WOULD NOT RETRACT.  AIRCRAFT CIRCLED SIMI VALLEY TO BURN F,  aircraft circled simi valley to burn f.,simi valley,"Simi Valley, California",Simi Valley (valley)
639,2160,0,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,loud bang and shudder enroute.,shudder,Shudder,Shudder (streaming service)
640,2160,1,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         , saw sparks at rotor.,rotor,ROTOR,ROTOR
641,2160,3,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         , engine cowling seperated.,cowling,Cowling,Cowling
642,2160,4,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         , cowl not fastened.,cowl,Cowl,Cowl
643,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17, 1998, an as-350-ba helicopter departed lihue airport on the island of kauai, hawaii, the pilot had negl",as-350-ba,Grumman American AA-5,Eurocopter AS365 Dauphin
644,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17, 1998, an as-350-ba helicopter departed lihue airport on the island of kauai, hawaii, the pilot had negl",lihue,"Lihue, Hawaii","Lihue, Hawaii"
645,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17, 1998, an as-350-ba helicopter departed lihue airport on the island of kauai, hawaii, the pilot had negl",kauai,Kauai,Kauai
646,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17, 1998, an as-350-ba helicopter departed lihue airport on the island of kauai, hawaii, the pilot had negl",hawaii,Hawaii,Hawaii
647,2162,0,"ON MAY 15, 1999, AT 1754 ALASKA DAYLIGHT TIME, A TAILWHEEL EQUIPPED PIPER PA-20 AIRPLANE, N8883C, SUSTAINED SUBSTAN","on may 15, 1999, at 1754 alaska daylight time, a tailwheel equipped piper pa-20 airplane, n8883c, sustained substan",alaska,Alaska,Alaska
648,2163,3,"STUDENT PRFLIGHTED, FOUND WATER. DRAINED UNTIL HE THOUGHT HE HAD ALL THE WATER OUT. TOLD INSTRUCTOR. INSTRUCTOR TOL", instructor tol.,tol,Tol language,Tol language
649,2166,0,AIRCRAFT LANDED GEAR UP ON RUNWAY #1 AT ALBANY INTERNATIONAL AIRPORT. PILOT WAS IN THE PROCESS OF PERFORMING AN EME,aircraft landed gear up on runway #1 at albany international airport.,albany,"Albany, New York","Albany, New York"
650,2166,1,AIRCRAFT LANDED GEAR UP ON RUNWAY #1 AT ALBANY INTERNATIONAL AIRPORT. PILOT WAS IN THE PROCESS OF PERFORMING AN EME, pilot was in the process of performing an eme.,eme,Landing,Electromembrane extraction
651,2170,0,"ON JULY 21, 1999, A DEHAVILLAND DHC-8-102, S/N 308, N810EX, OPERATED BY ALLEGHENY AIRLINES INC., ACCOMPLISHED A PRE","on july 21, 1999, a dehavilland dhc-8-102, s/n 308, n810ex, operated by allegheny airlines inc.",allegheny airlines inc,Allegheny Airlines,Allegheny Airlines
652,2171,0,"(-5) ON MAY 26, 1999, AT APPROXIMATELY 7:05 AM MDT MESA AIRLINES FLIGHT 105, A BE-1900D, TAXIED FROM THE MESA RAMP ","(-5) on may 26, 1999, at approximately 7:05 am mdt mesa airlines flight 105, a be-1900d, taxied from the mesa ramp ",mesa ramp,Mesa Airlines,"Mesa, Arizona"
653,2173,0,"ACFT HAD A FUEL EMERGENCY, PILOT REQUESTED APPROACH AND BOTH ENGINES QUIT, ACFT LANDED A 1/2 MILE SHORT OF RWY IN A","acft had a fuel emergency, pilot requested approach and both engines quit, acft landed a 1/2 mile short of rwy in a",acft,Acme Airport,Air Cargo Germany
654,2174,1,"(-23) 9/9/99 - A MR. DAVE HILDEBRAND (717)886-2184 CALLED TO REPORT AN INCIDENT THAT OCCURRED ON 7/22/99, INVOLVING"," dave hildebrand (717)886-2184 called to report an incident that occurred on 7/22/99, involving.",dave hildebrand,Dave Hildenbrand,Dave Hildenbrand
655,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach (k15) on runway 14 enroute to kansas city, missouri.",osage beach,"Osage Beach, Missouri","Osage Beach, Missouri"
656,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach (k15) on runway 14 enroute to kansas city, missouri.",kansas city,"Kansas City, Missouri","Kansas City, Missouri"
657,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach (k15) on runway 14 enroute to kansas city, missouri.",missouri,Missouri,Missouri
658,2178,1,"(-23) APPROX. 8 MILES NORTH EAST OF BUNTING FIELD (DEPARTURE POINT) AT 800 FEET, THE PILOT EXPERIENCED LIGHT-MODERA"," 8 miles north east of bunting field (departure point) at 800 feet, the pilot experienced light-modera.",north east,East,North Pole
659,2179,0,"AFTER THE GILLESPIE FIELD (SEE) DEPARTURE, CRUISE POWER SETTING FL035, THE PILOT NOTICED THE ENGINE RPM EXCEEDED RE","after the gillespie field (see) departure, cruise power setting fl035, the pilot noticed the engine rpm exceeded re",gillespie,Gillespie Field,Gillespie Field
660,2181,0,"TUNDRA COPTERS AIR TAXI (1973 BELL 206B HELICOPTER) CRASHED ON TAKE-OFF AND SUSTAINED SUBSTANTIAL DAMAGE, NO INJURI","tundra copters air taxi (1973 bell 206b helicopter) crashed on take-off and sustained substantial damage, no injuri",tundra,Toyota Tundra,Tundra
661,2182,1,"(.19) ON SEPTEMBER 10, 1999, AT 1932 EASTERN DAYLIGHT TIME, A REICHERT MJ-77, N51MJ, OPERATED BY A COMMERCIALLY RAT","19) on september 10, 1999, at 1932 eastern daylight time, a reichert mj-77, n51mj, operated by a commercially rat.",1932 eastern daylight,Eastern Time Zone,Eastern Time Zone
662,2185,0,"ACFT LOST CONTROL ON TAKE-OFF AND SUSTAINED SUBSTANTIAL DAMAGE. (.19) ON JULY 28, 1999, AT 1042 CENTRAL DAYLIGHT TI",acft lost control on take-off and sustained substantial damage.,acft,ACM Air Charter,Air Cargo Germany
663,2185,2,"ACFT LOST CONTROL ON TAKE-OFF AND SUSTAINED SUBSTANTIAL DAMAGE. (.19) ON JULY 28, 1999, AT 1042 CENTRAL DAYLIGHT TI","19) on july 28, 1999, at 1042 central daylight ti.",central daylight ti,Central Time Zone,Central European Summer Time
664,2188,0,"(-5) PILOT TOOK OFF ON RUNWAY 34 AT GPZ. SHORTLY AFTER TAKEOFF, AT APPROXIMATELY 200-300 FEET AGL, THE ENGINE QUIT.",(-5) pilot took off on runway 34 at gpz.,runway,Runway,Runway
665,2188,0,"(-5) PILOT TOOK OFF ON RUNWAY 34 AT GPZ. SHORTLY AFTER TAKEOFF, AT APPROXIMATELY 200-300 FEET AGL, THE ENGINE QUIT.",(-5) pilot took off on runway 34 at gpz.,gpz,GPZ,General Packet Radio Service
666,2189,1,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),"," karup was providing supervision to a student pilot on a cross country flight from jacksonville, nc (oaj),.",karup,Karup,Air Base Karup
667,2189,1,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),"," karup was providing supervision to a student pilot on a cross country flight from jacksonville, nc (oaj),.",jacksonville,"Jacksonville, North Carolina","Jacksonville, North Carolina"
668,2189,1,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),"," karup was providing supervision to a student pilot on a cross country flight from jacksonville, nc (oaj),.",nc,North Carolina,North Carolina
669,2189,1,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),"," karup was providing supervision to a student pilot on a cross country flight from jacksonville, nc (oaj),.",oaj,O visa,Organization of American States
670,2190,0,(-5) WHILE TAXIING FROM THE HANGER 6 WEST AT THE PURDUE AIRPORT (LAF) THE STUDENT PILOT LOST CONTROL OF THE AIRCRAF,(-5) while taxiing from the hanger 6 west at the purdue airport (laf) the student pilot lost control of the aircraf,purdue,Purdue University,Purdue University
671,2193,1,"(.4) ON DECEMBER 17, 1999, AT 1024 HOURS PACIFIC STANDARD TIME, A CESSNA 172N, N738UA, OPERATED BY THE PILOT WAS SU","4) on december 17, 1999, at 1024 hours pacific standard time, a cessna 172n, n738ua, operated by the pilot was su.",cessna,Cessna,Cessna
672,2194,1,"(.19) ON SEPTEMBER 30, 1999, AT 2240 CENTRAL DAYLIGHT TIME, A CESSNA 150F AIRPLANE, N8092S, WAS SUBSTANTIALLY DAMAG","19) on september 30, 1999, at 2240 central daylight time, a cessna 150f airplane, n8092s, was substantially damag.",central daylight,Central Time Zone,Central Time Zone
673,2195,2,"(.23) AFTER VIEWING THE VIDEO TAPE FROM A CAMERA ATTACHED TO MR. JACK LARRISON'S HELMET, I AGREE WITH THE ATTACHED "," jack larrison's helmet, i agree with the attached .",jack larrison's,Mike Larrison,Mike Larrison
674,2196,0,(-5)ON 1-20-99 KITTY HAWK FLT 503 MHR-TOL DIVERTED TO MCI DUE TO LOSS OF ENGINE OIL FROM THE #1 ENGINE. INSPECTORS ,(-5)on 1-20-99 kitty hawk flt 503 mhr-tol diverted to mci due to loss of engine oil from the #1 engine.,mci,McEntire Joint National Guard Base,MCI Inc.
675,2197,0,(-23) THE PILOT IN COMMAND OF A PART 135 AIR AMBULANCE FLIGHT TOOK OFF FROM RUNWAY 06 AT THE LADY'S ISLAND AIRPORT ,(-23) the pilot in command of a part 135 air ambulance flight took off from runway 06 at the lady's island airport ,lady's island airport,Lady's Island (South Carolina),Lord Howe Island Airport
676,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","(-23) the pilot in command of n789sl had filed an ifr flight plan from palm springs (psp), ca, to oceanside (crq), ",palm springs,"Palm Springs, California","Palm Springs, California"
677,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","(-23) the pilot in command of n789sl had filed an ifr flight plan from palm springs (psp), ca, to oceanside (crq), ",ca,California,California
678,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","(-23) the pilot in command of n789sl had filed an ifr flight plan from palm springs (psp), ca, to oceanside (crq), ",oceanside,"Oceanside, California","Oceanside, California"
679,2200,0,"PAPILLION HELICOPTERS ACFT (1969 BELL 206B HELICOPTER) WAS ON A TRAINING FLIGHT WHEN THE ENGINE FAILED ON TAKE-OFF,","papillion helicopters acft (1969 bell 206b helicopter) was on a training flight when the engine failed on take-off,",papillion,Pirelli,Short Brothers
680,2202,3,ON DOWNWIND LOW ROTOR RPM. AUTOROTATED. LANDED OFF FIELD. SKIDS DUG IN. ROLLED. NO DEFECTS. KNOWN FALSE ROTOR HORN., skids dug in.,skids,Skidder,Skidder
681,2203,2,TOOK OFF WITHOUT NOTING REAR ENGINE NOT RUNNING. STALLED ON DOWNWIND CLIMBING TURN. POH ADVISE LEADING REAR ENGINE., poh advise leading rear engine.,poh,Philip Poh,Philip Poh
682,2205,2,(.4) THE PILOT REPORTED THAT HE HAD FORGOTTEN TO REMOVE THE FUEL VENT COVER DURING HIS PREFLIGHT INSPECTION. SHORTL, shortl.,shortl,Short code,Short film
683,2206,0,ALASKA DEPT FISH. BRAKE DRAGGED ON TAKEOFF IGNORED. NOSED OVER. PARKING BRAKE WAS ON.                              ,alaska dept fish.,alaska,Alaska,Alaska
684,2207,0,"N7991Y DEPARTED MLC, LEFT ENGINE FAILED, ACFT CRASHED 2 MILES SOUTH OF AIRPORT.(.19) ON MAY 28, 1999, AT 1630 CENTR","n7991y departed mlc, left engine failed, acft crashed 2 miles south of airport.",mlc,Beaufort County Airport,Cerro Largo International Airport
685,2207,2,"N7991Y DEPARTED MLC, LEFT ENGINE FAILED, ACFT CRASHED 2 MILES SOUTH OF AIRPORT.(.19) ON MAY 28, 1999, AT 1630 CENTR","19) on may 28, 1999, at 1630 centr.",centr,Cent (currency),Euro
686,2209,4,GEAR SLOW RETRACTING ON CLIMBOUT. UNABLE LOCK DOWN. USED BOTTLE. NOSE GEAR STILL UP. HYDRAULIC FLUID DEPLETED.     , hydraulic fluid depleted.,hydraulic,Hydraulics,Hydraulics
687,2211,1,"(-23) UPON TAKEOFF, THE DOOR IMMEDIATELY AFTER THE AIRCRAFT LEFT THE GROUND. THE PILOT ELECTED TO LAND ON THE REMAI", the pilot elected to land on the remai.,remai,Rema Island,Rema Island
688,2214,1,"(-23) ON AUG. 2, 1999, N711BN, A BE-90, DEPARTED FROM WEST PALM BEACH INT'L WITH PILOT DUANE CRITHFIELD, CERTIFICAT"," 2, 1999, n711bn, a be-90, departed from west palm beach int'l with pilot duane crithfield, certificat.",west palm beach int'l,"West Palm Beach, Florida","West Palm Beach, Florida"
689,2214,1,"(-23) ON AUG. 2, 1999, N711BN, A BE-90, DEPARTED FROM WEST PALM BEACH INT'L WITH PILOT DUANE CRITHFIELD, CERTIFICAT"," 2, 1999, n711bn, a be-90, departed from west palm beach int'l with pilot duane crithfield, certificat.",duane crithfield,Duane Crandall,CRST
