,index,c5_id,input,head,relation,tail
2196,1258,19871015063099I,PILOT TOOK OFF WITH THE TOWBAR ATTACHED TO NOSE GEAR. RETURNED WHEN GEAR WOULD NOT RETRACT FULLY.                  ,TOWBAR,has part,NOSE GEAR
2197,1258,19871015063099I,PILOT TOOK OFF WITH THE TOWBAR ATTACHED TO NOSE GEAR. RETURNED WHEN GEAR WOULD NOT RETRACT FULLY.                  ,NOSE GEAR,part of,TOWBAR
2198,1259,19871004058539A,COLLIDED WITH THE TERRAIN AFTER TAKOFF. FOUND CONTROL LOCK WAS IN PLACE AT THE TIME OF THE ACCIDENT. BOLT USED.    ,FOUND CONTROL LOCK,part of,TERRAIN
2199,1260,19871102072099I,SOLO STUDENT LOST DIRECTIONAL CONTROL DURING ATTEMPTED TAKEOFF WITH FULL FLAPS.NOSE GEAR COLLAPSED OFF RUNWAY SIDE.,TAKEOFF,manufacturer,SOLO
2200,1261,19870913051689A,"ENGINE QUIT ON CLIMBOUT.HIT A DITCH WHILE LANDING IN FIELD. WATER, DIRT IN FUEL NOZZLES. HAD SET 11 MONTHS INACTIVE",CLIMBOUT,different from,FIELD
2201,1261,19870913051689A,"ENGINE QUIT ON CLIMBOUT.HIT A DITCH WHILE LANDING IN FIELD. WATER, DIRT IN FUEL NOZZLES. HAD SET 11 MONTHS INACTIVE",FIELD,different from,CLIMBOUT
2202,1262,19870910061919I,TAILWHEEL WAS NOT LOCKED FOR LANDING. AIRCRAFT GROUND LOOPED. PILOT WAS UNFAMILIAR WITH LOCKING PROCEDURE.         ,AIRCRAFT GROUND LOOPED,subclass of,LOCKED
2203,1263,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ",COPPER TUBE,has part,BANNERS
2204,1263,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ",BANNERS,part of,COPPER TUBE
2205,1264,19871011071849I,ABORTED TAKEOFF WHEN THE DOOR CAME OPEN. PILOT MISJUDGED THE DISTANCE TO THE RUNWAY END. RAN OFF THE END.          ,TAKEOFF,different from,RUNWAY
2206,1264,19871011071849I,ABORTED TAKEOFF WHEN THE DOOR CAME OPEN. PILOT MISJUDGED THE DISTANCE TO THE RUNWAY END. RAN OFF THE END.          ,Runway,different from,TAKEOFF
2207,1265,19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.  ,SHIPS,has part,HELIPAD
2208,1265,19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.  ,HELIPAD,part of,SHIPS
2209,1266,19871119066679A,LIFTED TO HOVER UNAWARE HIDDEN TIE DOWN CHAINS STILL ATTACHED. ROLLED OVER AND CRASHED. TIE DOWNS WERE IMPROPER.   ,HOVER UNAWARE,has part,TIE DOWNS
2210,1266,19871119066679A,LIFTED TO HOVER UNAWARE HIDDEN TIE DOWN CHAINS STILL ATTACHED. ROLLED OVER AND CRASHED. TIE DOWNS WERE IMPROPER.   ,TIE DOWNS,part of,HOVER UNAWARE
2211,1267,19871118082759I,THE TAKEOFF WAS ABORTED WHEN THE PILOT HEARD A BANG. CREW ENTRANCE LADDER HAD COME LOOSE AND HIT THE DECK.         ,TAKEOFF,has part,ENTRANCE LADDER
2212,1267,19871118082759I,THE TAKEOFF WAS ABORTED WHEN THE PILOT HEARD A BANG. CREW ENTRANCE LADDER HAD COME LOOSE AND HIT THE DECK.         ,ENTRANCE LADDER,part of,TAKEOFF
2213,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,PILOT,has part,ENGINES
2214,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,PILOT,has part,CTOT
2215,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,ENGINES,part of,PILOT
2216,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,ENGINES,part of,CTOT
2217,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,CTOT,part of,PILOT
2218,1268,19871107078069I,BOTH ENGINES SURGING ON CLIMBOUT. PILOT STATED CTOT SWITCH IN THE OFF POSITION BUT SOMEHOW ACTIVATED.              ,CTOT,part of,ENGINES
2219,1269,19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,ROLLOUT,has part,LEFT BRAKE
2220,1269,19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,LEFT BRAKE,part of,ROLLOUT
2221,1270,19880221033719A,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,TAKEOFF,part of,YOKE
2222,1270,19880221033719A,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,YOKE,has part,TAKEOFF
2223,1271,19880313034389I,UNABLE RETRACT NOSE GEAR ON CLIMBOUT. RETURNED. GROUND CREW HAD INSTALLED EXTRA NON STANDARD GEAR PIN. OVERLOOKED. ,CLIMBOUT,subclass of,RETRACT
2224,1272,19880120019019I,TAXIING AT HIGH STEEP PILOT VEERED OFF TAXIWAY INTO THE GRASS. BECAME STUCK IN THE MUD. BLAMED SEAT SLIPPED BACK.  ,PILOT,different from,TAXIWAY
2225,1272,19880120019019I,TAXIING AT HIGH STEEP PILOT VEERED OFF TAXIWAY INTO THE GRASS. BECAME STUCK IN THE MUD. BLAMED SEAT SLIPPED BACK.  ,TAXIWAY,different from,PILOT
2226,1273,19880216002609A,TAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT WHEN IT WAS STRUCK BY A HELMET FLIGHT BAG BLOWN OUT OF COCKPIT.            ,TRAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT,has cause,FLIGHT BAG BLOWN OUT OF COCKPIT
2227,1273,19880216002609A,TAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT WHEN IT WAS STRUCK BY A HELMET FLIGHT BAG BLOWN OUT OF COCKPIT.            ,FLIGHT BAG BLOWN OUT OF COCKPIT,has effect,TRAIL ROTOR ASSEMBLY BROKE OFF IN FLIGHT
2228,1274,19871224078969I,ELECTRICAL POWER LOSS. MAGS NOT ON.TOWER CHECKED GEAR WAS UP. LANDED GEAR UP. EMERGENCY EXTENSION OPERATED NORMAL. ,POWER LOSS,has effect,EMERGENCY
2229,1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,2008 Summer Olympics,point in time,2008
2230,1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,2008 Summer Olympics,location,Beijing
2231,1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,2008 Summer Olympics,country,China
2232,1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,Beijing,country,China
2233,1275,19871108072409I,THE GEAR RETRACTED AFTER LANDING. GEAR LIGHT OUT OF ADJUSTMENT. PILOT FAILED TO ENSURE HANDLE WAS POSITIVELY LOCKED,China,capital,Beijing
2234,1276,19880303054509I,INDICATES PILOT DID NOT TURN ON ENGINE ANTI ICE PRIOR TO ICING. LOST BOTH ENGINES. WAS ABLE TO RESTART AND RETURN. ,PILOT,has part,ENGINE ANTI ICE
2235,1276,19880303054509I,INDICATES PILOT DID NOT TURN ON ENGINE ANTI ICE PRIOR TO ICING. LOST BOTH ENGINES. WAS ABLE TO RESTART AND RETURN. ,ENGINE ANTI ICE,part of,PILOT
2236,1277,19871229075529I,LOSS OF OIL QUANTITY NR3 ENGINE EN ROUTE DUE TO OIL CAP LOOSE. SHUT DOWN ENGINE. LANDED OK. NO ENGINE DAMAGE.      ,EN ROUTE,subclass of,ENGINE
2237,1278,19871112077979I,NUMBER 2 ENGINE LEFT CORE COWL SEPARATED ON TAKEOFF DUE TO IMPROPER INSTALLATION. CREATED RUNWAY HAZARD.           ,TAKEOFF,instance of,ENGINE
2238,1279,19880203043929I,RIGHT ENGINE COWLING LOOSE. DIVERTED TO PORTLAND.SECURED COWLING LOCKS AND DEPARTED.                               ,SECURED COWLING LOCKS,located in the administrative territorial entity,PORTLAND
2239,1280,19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,TANK,has part,VALVE
2240,1280,19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,VALVE,part of,TANK
2241,1280,19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,VALVE,part of,TANK
2242,1280,19880209002149A,APPEARS LEFT TANK RAN DRY. UNFASTENED BELT TO TURN VALVE TO FULL TANK.  SELECTOR JAMMED. LOST CONTROL OF AIRCRAFT. ,TANK,has part,VALVE
2243,1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,COWL,has part,UPPER COWL
2244,1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,UPPER COWL,part of,COWL
2245,1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,UPPER COWL,part of,COWL
2246,1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,COWL,has part,UPPER COWL
2247,1281,19871226077959I,FALSE ENGINE FIRE WARNING DUE TO WATER ON MONITOR CONNECTORS. WATER ENTERED UNDER LOOSE UPPER COWL.CRACKED COWL RIB,COWL,has part,UPPER COWL
2248,1282,19871204077839I,LOST OVERHEAD EMERGENCY DOOR ON TAKEOFF ROLL. DID NOT CHECK IT FOR SECURITY.                                       ,LOST OVERHEAD EMERGENCY DOOR,part of,TAKEOFF ROLL
2249,1282,19871204077839I,LOST OVERHEAD EMERGENCY DOOR ON TAKEOFF ROLL. DID NOT CHECK IT FOR SECURITY.                                       ,TAKEOFF ROLL,has part,LOST OVERHEAD EMERGENCY DOOR
2250,1283,19871124073879I,PILOT ISSUED RADAR SURVEILLANCE APPROACH AFTER TWO ATTEMPTS. ILS SYSTEM HAD FLUCTUATING NEEDLES AND INOPERATIVE.   ,ILS,subclass of,RADAR
2251,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,TAKEOFF CLIMB,has part,NOSE GEAR
2252,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,TAKEOFF CLIMB,has part,NOSE GEAR
2253,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,TAKEOFF CLIMB,has part,PIN
2254,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,NOSE GEAR,part of,TAKEOFF CLIMB
2255,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,NOSE GEAR,part of,TAKEOFF CLIMB
2256,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,PIN,part of,TAKEOFF CLIMB
2257,1284,19871216081379I,UNABLE TO RETRACT NOSE GEAR ON TAKEOFF CLIMB. RETURNED. FOUND NOSE GEAR SAFETY PIN HAD NOT BEEN REMOVED.           ,NOSE GEAR,part of,TAKEOFF CLIMB
2258,1285,19880314026319A,HIT POWERLINES ON A PRECAUTIONARY LANDING. FUEL BOOST WARNING LIGHT ON. IMPACTED GROUND. GENERATOR SWITCH WAS OFF. ,FUEL BOOST WARNING,has part,GENERATOR SWITCH
2259,1285,19880314026319A,HIT POWERLINES ON A PRECAUTIONARY LANDING. FUEL BOOST WARNING LIGHT ON. IMPACTED GROUND. GENERATOR SWITCH WAS OFF. ,GENERATOR SWITCH,part of,FUEL BOOST WARNING
2260,1286,19880120000999A,PICKED UP TO A HOVER WHEN HELICOPTER PITCHED UP. LOST CONTROL AND CRASHED. ICED CONTROL SERVOS. AD NOT COMPLIED.   ,LOST CONTROL,has effect,CRASHED
2261,1286,19880120000999A,PICKED UP TO A HOVER WHEN HELICOPTER PITCHED UP. LOST CONTROL AND CRASHED. ICED CONTROL SERVOS. AD NOT COMPLIED.   ,CRASHED,has cause,LOST CONTROL
2262,1287,19880129071209I,BOTH ENGINES FLAMED OUT ON TOUCHDOWN. HAD ENTERED ICING CONDITIONS ON APPROACH WITHOUT ENGINE INTAKE HEAT ON.      ,TOUCHDOWN,has cause,ENGINES
2263,1288,19880311014089I,LEFT ENGINE FLAME OUT. RETURNED TO AIRPORT. FOUND OIL FILL DIPSTICK PROTRUDING FROM FILLER NECK. ENGINE OUT OF OIL.,FILLER NECK,product or material produced,OIL
2264,1289,19871117077809I,LOUD BANG AT ENGINE START AFTER MAINTENANCE. FOUND NR3 TAIL ROTOR DRIVE SHAFT COUPLING BOLTS WERE LOOSE.           ,NR3,subclass of,TAIL ROTOR
2265,1290,19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,DUAL ALTERNATOR,has part,CIRCUIT
2266,1290,19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,DUAL ALTERNATOR,has part,DEICE
2267,1290,19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,CIRCUIT,part of,DUAL ALTERNator
2268,1290,19880108041599I,DUAL ALTERNATOR FAILURE. FAILED TO RESET CIRCUIT BREAKERS OR CHECK GEAR DOWN. PUT ON DEICE. SURGE POPPED BREAKERS. ,DEICE,part of,DUAL ALTERNator
2269,1291,19880102003579I,RETURNED TO AIRPORT WITH ROUGH ENGINE. USED CHECK LIST. FOUND PRIMER UNLOCKED. SECURED PRIMER. ENGINE NORMAL.      ,PRIMER,facet of,ENGINE
2270,1291,19880102003579I,RETURNED TO AIRPORT WITH ROUGH ENGINE. USED CHECK LIST. FOUND PRIMER UNLOCKED. SECURED PRIMER. ENGINE NORMAL.      ,PRIMER,facet of,ENGINE
2271,1292,19871212080219I,CRASH LANDED ON AIRPORT. ACCIDENT CAUSED FROM A HOLE IN RUNWAY.                                                    ,CRASH LANDED ON AIRPORT,instance of,TRAIL
2272,1293,19880213002489A,LOST DIRECTIONAL CONTROL ON TAKEOFF. VEERED OFF THE RUNWAY. STUDENT USED NOSEWHEEL STEERING. CFI FAILED TO ADVISE. ,CFI,owner of,TAKEOFF
2273,1293,19880213002489A,LOST DIRECTIONAL CONTROL ON TAKEOFF. VEERED OFF THE RUNWAY. STUDENT USED NOSEWHEEL STEERING. CFI FAILED TO ADVISE. ,TAKEOFF,owned by,CFI
2274,1294,19871205069159A,"LOST OIL PRESSURE ON TAKEOFF. TRIED LANDING DOWNWIND NO FLAPS. TOO HIGH,STALLED CLIMBOUT. OIL DIPSTICK NOT SECURED.",OIL DIPSTICK,part of,TAKEOFF
2275,1295,19880104000179A,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,CLIMB-OUT,followed by,VERTICAL
2276,1295,19880104000179A,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,VERTICAL,follows,CLIMB-OUT
2277,1296,19880221003319A,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.                                           ,DITCHED IN A CREEK,product or material produced,FUEL
2278,1297,19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,CITY STREET,located in the administrative territorial entity,TOLERENCE
2279,1298,19880131057869I,"DURING PREFLIGHT,LEFT AILERON LOCK DANGLING BY BUNGEE CORD FROM WING. FLEW TO KENT COUNTY RUNWAY WITH LOCK DANGLING",WING,located in the administrative territorial entity,KENT County
2280,1299,19880304005859A,BOTH ENGINES QUIT ON CLIMBOUT. CRASH LANDED IN TREES. FUEL SELECTORS ON INBOARD EMPTY TANKS. OUTBOARD TANKS FULL.  ,INBOARD EMPTY Tank,opposite of,OUTBOARD TANK
2281,1299,19880304005859A,BOTH ENGINES QUIT ON CLIMBOUT. CRASH LANDED IN TREES. FUEL SELECTORS ON INBOARD EMPTY TANKS. OUTBOARD TANKS FULL.  ,OUTBOARD TANK,opposite of,INBOARD EMPTY Tank
2282,1300,19880624064609A,ABORTED TAKEOFF WHEN UNABLE TO ROTATE. RAN OFF END OF RUNWAY. NOSED OVER IN DITCH. FAILED TO RESET NOSE DOWN TRIM. ,TAKEOFF,instance of,ROTATE
2283,1301,19880607045909I,BOTTOM HALF OF AIRSTAIR DOOR OPENED IN FLIGHT. DIVERTED TO NEAREST AIRPORT. NO DETAILS GIVEN IN REPORT.            ,BOTTOM HALF OF AIRSTAIR DOOR,part of,NEAREST AIRPORT
2284,1301,19880607045909I,BOTTOM HALF OF AIRSTAIR DOOR OPENED IN FLIGHT. DIVERTED TO NEAREST AIRPORT. NO DETAILS GIVEN IN REPORT.            ,NEAREST AIRPORT,has part,BOTTOM HALF OF AIRSTAIR DOOR
2285,1302,19880324019949I,ICING PROBLEM. ENGINE QUIT AT CRUISE. RESTARTED. ONLY RAN AT IDLE. LANDED ON DIRT ROAD. WAS USING RAM AIR.         ,IDLE,has part,RAM AIR
2286,1302,19880324019949I,ICING PROBLEM. ENGINE QUIT AT CRUISE. RESTARTED. ONLY RAN AT IDLE. LANDED ON DIRT ROAD. WAS USING RAM AIR.         ,RAM AIR,part of,IDLE
2287,1303,19880623040369I,"ENGINE OVERHEATED ON CLIMBOUT. LANDED ON A HIGHWAY. HAD FORGOT TO REMOVE COWL COVERS.TOOK OFF, RETURNED TO AIRPORT.",LANDED ON A HIGHWAY,different from,AIRPORT
2288,1303,19880623040369I,"ENGINE OVERHEATED ON CLIMBOUT. LANDED ON A HIGHWAY. HAD FORGOT TO REMOVE COWL COVERS.TOOK OFF, RETURNED TO AIRPORT.",AIRPORT,different from,LANDED ON A HIGHWAY
2289,1304,19880426011719A,ENGINE QUIT. NOSED OVER LANDING IN A SOFT FIELD. FOUND WATER IN THE FUEL.                                          ,FOUND WATER IN THE FUEL,facet of,ENGINE
2290,1305,19880413016839I,HAD A RATTLE NOISE OUTSIDE OF THE AIRCRAFT. RETURNED. FOUND EXCESS SEAT BELT WAS HANGING OUTSIDE OF COCKPIT.       ,COCKPIT,subclass of,AIRCRAFT
2291,1306,19880530054189I,UNABLE TO ACCELERATE NORMALLY. ABORTED TAKEOFF. STOPPED IN OVERRUN AREA. PARKING BRAKE NOT FULLY OFF.              ,UNABLE TO ACCELERATE NORMALLY,opposite of,OVERRUN
2292,1306,19880530054189I,UNABLE TO ACCELERATE NORMALLY. ABORTED TAKEOFF. STOPPED IN OVERRUN AREA. PARKING BRAKE NOT FULLY OFF.              ,OVERRUN,opposite of,UNABLE TO ACCELERATE NORMALLY
2293,1307,19880623040529I,ENGINE QUIT IN THE PATTERN. LANDED IN A FLOOD CHANNEL. LACK OF SUFFICIENT OIL IN ENGINE CAUSED CYLINDER SEIZURE.   ,LACK OF SUFFICIENT OIL IN ENGINE,has effect,CYLINDER SEIZURE
2294,1307,19880623040529I,ENGINE QUIT IN THE PATTERN. LANDED IN A FLOOD CHANNEL. LACK OF SUFFICIENT OIL IN ENGINE CAUSED CYLINDER SEIZURE.   ,CYLINDER SEIZURE,has cause,LACK OF SUFFICIENT OIL IN ENGINE
2295,1308,19880412038769I,FLIGHT DEPARTED PITTSBURGH WITHOUT BEING FUELED. RETURNED. AIRCRAFT WAS FUELED AND THEN DEPARTED AGAIN.            ,DEPARTED,followed by,DEPARTED AGAIN
2296,1308,19880412038769I,FLIGHT DEPARTED PITTSBURGH WITHOUT BEING FUELED. RETURNED. AIRCRAFT WAS FUELED AND THEN DEPARTED AGAIN.            ,DEPARTED AGAIN,follows,DEPARTED
2297,1309,19880410036529A,FIRE ERUPTED IN EXHAUST SYSTEM IN AN INVERTED SPIN DUE TO POOLING OF SMOKE OIL AND IGNITED. SMOKE OBSCURED LANDING.,SMOKE,has part,OIL
2298,1310,19880406036069I,RIGHT MAIN WHEEL LEFT THE TAXIWAY DURING TAXIING. FOUND LEFT BRAKE HAD A LEAK AT THE PISTON. PILOT FAILED TO NOTE. ,PISTON,part of,TAXIWAY
2299,1311,19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,FUEL TANK EMPTY,product or material produced,FUEL
2300,1312,19880520015489A,"AIRCRAFT MADE LEFT VERTICAL BANK ON INITIAL CLIMB IMPACTED AND BURNED. AILERON CONTROL JUST REWORKED, WERE BACKWARD",VERTICAL BANK,instance of,CLIMB
2301,1313,19880402015869I,SMOKE IN COCKPIT. DECLARED AN EMERGENCY. LANDED SAFELY. FOUND PILOT HAD MISHANDLED THE CABIN HEATER CONTROL.       ,COVID-19 pandemic,has effect,COVID-19 pandemic
2302,1313,19880402015869I,SMOKE IN COCKPIT. DECLARED AN EMERGENCY. LANDED SAFELY. FOUND PILOT HAD MISHANDLED THE CABIN HEATER CONTROL.       ,COVID-19 pandemic,has cause,COVID-19 pandemic
2303,1314,19880422066369I,ATC EQUIPMENT SHOWED PLANE BELOW ASSIGNED ALTITUDE. PILOT VERIFIED CORRECT ALTITUDE. RADAR READOUT SOMETIMES FAUTLY,ATC EQUIPMENT,has part,RADAR READOUT
2304,1314,19880422066369I,ATC EQUIPMENT SHOWED PLANE BELOW ASSIGNED ALTITUDE. PILOT VERIFIED CORRECT ALTITUDE. RADAR READOUT SOMETIMES FAUTLY,RADAR READOUT,part of,ATC EQUIPMENT
2305,1315,19880520040769I,TOOK OFF WITH KEYS IN FRONT BAGGAGE DOOR LOCK. DOOR OPENED. RETURNED TO CORRECT PROBLEM.                           ,KEYS,part of,DOOR
2306,1315,19880520040769I,TOOK OFF WITH KEYS IN FRONT BAGGAGE DOOR LOCK. DOOR OPENED. RETURNED TO CORRECT PROBLEM.                           ,DOOR,has part,KEYS
2307,1316,19880506034719I,TOOK OFF WITH AILERON GUST LOCK ENGAGED. ABORTED AND MADE A HARD LANDING.                                          ,AILERON,has part,GUST
2308,1316,19880506034719I,TOOK OFF WITH AILERON GUST LOCK ENGAGED. ABORTED AND MADE A HARD LANDING.                                          ,GUST,part of,AILERON
2309,1317,19880509021299I,LEFT ENGINE OIL PRESSURE FLUCTUATING ON CLIMB. ENGINE WAS IDLED. RETURNED. FOUND OIL RESERVOIR CAP LOOSE.          ,OIL PRESSURE FLUCTUATING,subclass of,ENGINE
2310,1318,19880420048059I,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.                           ,PILOT,different from,AIRPORT
2311,1318,19880420048059I,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.                           ,AIRPORT,different from,PILOT
2312,1319,19880603044859A,"ENGINE QUIT ON LIFTOFF, LANDED. ENGINE RESTARTED AND PILOT TOOK OFF AGAIN. ENGINE QUITE AGAIN. CRASHED INTO A MALL.",ENGINE QUIT ON LIFTOFF,followed by,ENGINE RESTARTED AND PILOT TOOK OFF AGAIN
2313,1319,19880603044859A,"ENGINE QUIT ON LIFTOFF, LANDED. ENGINE RESTARTED AND PILOT TOOK OFF AGAIN. ENGINE QUITE AGAIN. CRASHED INTO A MALL.",ENGINE RESTARTED AND PILOT TOOK OFF AGAIN,follows,ENGINE QUIT ON LIFTOFF
2314,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,STALLED,has effect,CRASHED
2315,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,STALLED,has cause,CRASHED
2316,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,CRASHED,has cause,STALLED
2317,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,CRASHED,has cause,CRASHED
2318,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,CRASHED,has cause,STALLED
2319,1320,19880512015169A,STUDENT PILOT CRASHED ON CLIMBOUT WHEN ENGINE QUIT. STALLED AND CRASHED IN A FIELD. HEAT WAS ON AND FLAPS WERE DOWN,CRASHED,has effect,CRASHED
