c5,c119,c119_output,c119_score
19870405024579I,OFF AIRPORT LANDING AFTER FUEL WAS EXHAUSTED EN ROUTE. FUEL TANK FILLER CAP WAS NOT LOCKED IN PLACE.               ,OFF AIRPORT LANDING AFTER { FUEL } [ El Salvador ] WAS EXHAUSTED EN ROUTE. { FUEL } [ El Salvador ] TANK FILLER CAP WAS NOT LOCKED IN PLACE.               ,-0.1842106431722641
19870126000969A,THE ENGINES FAILED WHEN FUEL TANKS WERE SWITCHED. THE PILOT WAS AWARE OF THE PROBLEM. AIRCRAFT WAS DITCHED IN OCEAN,THE ENGINES FAILED WHEN { FUEL } [ Fiji ] TANKS WERE SWITCHED. THE PILOT WAS AWARE OF THE PROBLEM. AIRCRAFT WAS DITCHED IN { OCEAN } [ Ocean ],-0.18946512043476105
19870403008479A,THE ENGINE FAILED DURING LOGGING OPERATIONS. WATER CONTAMINATION FOUND IN FUEL. FUEL FILTER BYPASS SWITCH INOP.    ,THE ENGINE FAILED DURING LOGGING OPERATIONS. WATER CONTAMINATION FOUND IN { FUEL } [ El Salvador ]. { FUEL } [ El Salvador ] FILTER BYPASS SWITCH INOP.    ,-0.3293202221393585
19870113000329A,APPEARS PILOT NEGLECTED TO REMOVE THE CONTROL COLUMN GUST LOCK INSTALLED EARLIER FOR WIND. LOST CONTROL AND STALLED,APPEARS PILOT NEGLECTED TO REMOVE THE CONTROL COLUMN GUST LOCK INSTALLED EARLIER FOR WIND. LOST CONTROL AND STALLED,-0.20763584971427917
19861206086419A,THE PILOT REPORTED HE LOST CONTROL OF THE AIRCRAFT ON TAKEOFF DUE TO ENGAGED AUTOPILOT. NO MALFUNCTIONS NOTED.     ,THE PILOT REPORTED HE LOST CONTROL OF THE AIRCRAFT ON TAKEOFF DUE TO ENGAGED AUTOPILOT. NO MALFUNCTIONS NOTED.     ,-0.23721206188201904
19861208079099I,CREW OXYGEN NOTED TO BE DEPLETED ON CLIMBOUT. DIVERTED. FOUND JUMP SEAT REGULATOR SWITCH IN EMERGENCY POSITION.    ,CREW OXYGEN NOTED TO BE DEPLETED ON CLIMBOUT. DIVERTED. FOUND JUMP SEAT REGULATOR SWITCH IN EMERGENCY POSITION.    ,-0.08365359902381897
19870325029379I,AIRCRAFT VEERED AT THE START OF THE TAKEOFF ROLL.  ABORTED.                                                        ,"AIRCRAFT VEERED AT THE START OF THE { TAKEOFF } [ Akron, Ohio ] ROLL.  ABORTED.                                                    {      } [                                 CRAFT VEERED AT THE START OF THE TAKEOFF ROLL.  ABORTED.  ABORTED.  ABORTED.  ABORTED.                           CRAFT VEERED AT THE START OF THE TAKEOFF ROLL. CRAFT VEERED AT THE START OF THE TAKEOFF ROLL. CRAFT VEERED AT THE START OF THE TAKEOFF ROLL. ",-0.38132867217063904
19870328007599A,LOST DIRECTIONAL CONTROL ON BALLOONED LANDING. RETRACTED FLAPS FOR 60 AROUND. STRUCK TREES BESIDE RUNWAY.          ,LOST DIRECTIONAL CONTROL ON BALLOONED LANDING. RETRACTED FLAPS FOR 60 AROUND. STRUCK TREES BESIDE RUNWAY.          ,-0.28173086047172546
19870112000369A,THE AIRCRAFT WAS DITCHED WHEN FUEL WAS EXHAUSTED. PILOT REPORTED A LOOSE FUEL CAP AND AN OVERHEATED ENGINE.        ,THE AIRCRAFT WAS DITCHED WHEN { FUEL } [ Fiji ] WAS EXHAUSTED. PILOT REPORTED A LOOSE { FUEL } [ Fiji ] CAP AND AN OVERHEATED ENGINE.        ,-0.26153838634490967
19861203076149I,RETURNED AFTER SMOKE IN COCKPIT. FOUND SHORTED WIRES WHERE PREVIOUS ENTERTAINMENT CENTER WAS INSTALLED.            ,RETURNED AFTER SMOKE IN COCKPIT. FOUND SHORTED WIRES WHERE PREVIOUS ENTERTAINMENT CENTER WAS INSTALLED.            ,-0.1692042052745819
19870218037569A,ATTEMPTED A GO AROUND AFTER OVERSHOOT.  TURNED ON FUEL BOOST PUMP DUE TO LOW RPM AND ENGINE QUIT. DEPARTED RUNWAY. ,ATTEMPTED A GO AROUND AFTER OVERSHOOT.  TURNED ON FUEL BOOST PUMP DUE TO LOW RPM AND ENGINE QUIT. DEPARTED RUNWAY. ,-0.12333942949771881
19870314005989A,THE GLIDER OVERSHOT THE RUNWAY AND HIT A FENCE. THE UNCERTIFICATED PILOT CONFUSED THE FLAPS WITH THE SPOILER HANDLE,THE GLIDER OVERSHOT THE RUNWAY AND HIT A FENCE. THE UNCERTIFICATED PILOT CONFUSED THE FLAPS WITH THE SPOILER HANDLE,-0.08497502654790878
19870331007889A,CABIN DOOR OPENED ON LIFTOFF. PILOT ELECTED TO ABORT BUT LANDED BEFORE THE GEAR LOCKED DOWN. CAN FLY WITH OPEN DOOR,CABIN DOOR OPENED ON LIFTOFF. PILOT ELECTED TO ABORT BUT LANDED BEFORE THE GEAR LOCKED DOWN. CAN FLY WITH OPEN DOOR,-0.14549261331558228
19870226003479A,THE PLANE NOSED OVER DURING A WATER LANDING.  THE STUDENT INADVERTENTLY LOWERED THE GEAR.  INSTRUCTOR WAS IN PLANE.,THE PLANE NOSED OVER DURING A WATER LANDING.  THE STUDENT INADVERTENTLY LOWERED THE GEAR.  INSTRUCTOR WAS IN PLANE.,-0.10516004264354706
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",-0.5041379332542419
19870403008309A,"THE ENGINE QUIT AFTER LIFTOFF. THE HELICOPTER ROLLED OVER ON LANDING. A WHITE, MILKY SUBSTANCE FOUND IN THE FUEL.  ","THE ENGINE QUIT AFTER LIFTOFF. THE HELICOPTER ROLLED OVER ON LANDING. A { WHITE } [ Washington, D.C. ], { MILKY } [ Milwaukee ] SUBSTANCE FOUND IN THE { FUEL } [ Fuel ] {. } [ Federal government of the United States ]  ",-0.6265965104103088
19870326044499A,THE ENGINE FAILED ON TAKEOFF. THE AIRCRAFT STRUCK A FENCE AND A DITCH ON LANDING. WATER FOUND IN FUEL.             ,THE ENGINE FAILED ON TAKEOFF. THE AIRCRAFT STRUCK A FENCE AND A DITCH ON LANDING. WATER FOUND IN FUEL.             ,-0.12177674472332001
19870202017739I,THE AIRCRAFT WAS FORCED TO LAND IN A FARM FIELD.INSTRUCTOR FAILED TO RESTORE POWER AFTER SIMULATED ENGINE FAILURE. ,THE AIRCRAFT WAS FORCED TO LAND IN A { FARM } [ Farm ] FIELD.INSTRUCTOR FAILED TO RESTORE POWER AFTER SIMULATED ENGINE FAILURE. ,-0.14954045414924622
19870328007669A,THE AIRCRAFT IMPACTED IN A PARKING LOT DURING GO AROUND. FLAPS RETRACTED EARLY. STUDENT PILOT ACTED AS INSTRUCTOR. ,THE AIRCRAFT IMPACTED IN A PARKING LOT DURING GO AROUND. FLAPS RETRACTED EARLY. { STUDENT PILOT } [ Student Pilot ] ACTED AS INSTRUCTOR. ,-0.5485655069351196
19870211003519A,"BOMB THREAT CAUSED NON SCHEDULED LANDING AND EVACUATION. SOME SLIDES FAILED, ONE DETACHED BY ERROR. SEVERAL INJURED","BOMB THREAT CAUSED NON SCHEDULED LANDING AND EVACUATION. SOME SLIDES FAILED, ONE DETACHED BY ERROR. SEVERAL INJURED",-0.3128455579280853
19870410009159A,THE AIRCRAFT GROUND LOOPED ON TAKEOFF ROLL. THE PILOT FAILED TO CHECK THE SEAT LATCH AND IT SLID FULL AFT.         ,THE AIRCRAFT GROUND LOOPED ON TAKEOFF ROLL. THE PILOT FAILED TO CHECK THE SEAT LATCH AND IT SLID FULL AFT.         ,-0.09119823575019836
19870401031839A,THE PILOT LOST CONTROL OF THE AIRCRAFT AT ROTATION.  THE CONTROL COLUMN GUST LOCK HAD NOT BEEN REMOVED.            ,THE PILOT LOST CONTROL OF THE AIRCRAFT AT ROTATION.  THE CONTROL COLUMN GUST LOCK HAD NOT BEEN REMOVED.            ,-0.22592605650424957
19870321007189A,THE ENGINE FAILED SHORTLY AFTER TAKEOFF.  THE AIRCRAFT HIT TREES ON LANDING.  WATER AND DEBRIS IN FUEL SYSTEM.     ,THE ENGINE FAILED SHORTLY AFTER TAKEOFF.  THE AIRCRAFT HIT TREES ON LANDING.  WATER AND DEBRIS IN FUEL SYSTEM.     ,-0.2078792005777359
19870411033269I,ENGINE FAILED ON TAKEOFF AND AIRCRAFT WAS UNABLE TO MAKE THE RUNWAY. WATER AND ALGAE FOUND IN SERVO INDUCTION PUMP.,ENGINE FAILED ON TAKEOFF AND AIRCRAFT WAS UNABLE TO MAKE THE RUNWAY. WATER AND ALGAE FOUND IN SERVO INDUCTION PUMP.,-0.071573905646801
19870305005389A,THE ENGINE FAILED ON TAKEOFF AND THE AIRCRAFT IMPACTED THE FROZEN LAKE. PILOT SUSPECTS INADEQUATE PREHEATING.      ,THE ENGINE FAILED ON TAKEOFF AND THE AIRCRAFT IMPACTED THE FROZEN LAKE. PILOT SUSPECTS INADEQUATE PREHEATING.      ,-0.2415621429681778
19870105000159I,FORCED LANDING IN A FIELD AFTER SEVERE ENGINE VIBRATION EN ROUTE. FOUND SIGNS OF OIL STARVATION. OIL CAP LOOSE.    ,FORCED LANDING IN A FIELD AFTER SEVERE ENGINE VIBRATION EN ROUTE. FOUND SIGNS OF OIL STARVATION. OIL CAP LOOSE.    ,-0.13828688859939575
19870311079039A,ENGINE LOST POWER ON CLIMBOUT. OVERSHOT RUNWAY ON LANDING WITHOUT FLAPS. WATER IN FUEL. FUEL TANK AD NOT COMPLIED. ,ENGINE LOST POWER ON CLIMBOUT. OVERSHOT RUNWAY ON LANDING WITHOUT FLAPS. WATER IN { FUEL } [ Flamenco ]. { FUEL } [ Flamenco ] TANK AD NOT COMPLIED. ,-0.5318456292152405
19870408025949I,A CARGO DOOR WARNING LIGHT CAME ON DURING CLIMB.  THE AIRCRAFT RETURNED TO THE AIRPORT.  DOOR IMPROPERLY LATCHED.  ,A CARGO DOOR WARNING LIGHT CAME ON DURING CLIMB.  THE AIRCRAFT RETURNED TO THE AIRPORT.  DOOR IMPROPERLY LATCHED.  ,-0.3449881076812744
19870125046099A,THE ENGINE FAILED FROM FUEL EXHAUSTION ON LANDING APPROACH. THE PILOT FAILED TO ADEQUATELY PREFLIGHT AIRCRAFT.     ,THE ENGINE FAILED FROM { FUEL } [ Fiji ] EXHAUSTION ON LANDING APPROACH. THE PILOT FAILED TO ADEQUATELY PREFLIGHT AIRCRAFT.     ,-0.15658046305179596
19870107035099A,THE ENGINE FAILED DURING TAKEOFF AND THE AIRCRAFT STRUCK WIRES.  THE PILOT FAILED TO DRAIN WATER FROM FUEL SYSTEM. ,THE ENGINE FAILED DURING TAKEOFF AND THE AIRCRAFT STRUCK WIRES.  THE PILOT FAILED TO DRAIN WATER FROM FUEL SYSTEM. ,-0.09905721247196198
19870404008339A,THE AIRCRAFT IMPACTED THE GROUND DURING AN ATTEMPTED GO AROUND IN GUSTY WINDS. THE PILOT FAILED TO RETRACT FLAPS.  ,THE AIRCRAFT IMPACTED THE GROUND DURING AN ATTEMPTED GO AROUND IN GUSTY WINDS. THE PILOT FAILED TO RETRACT FLAPS.  ,-0.42776113748550415
19870328016529I,OIL ON RIGHT ENGINE DECREASED AFTER LIFTOFF. RETURNED AND FOUND OIL CAP AJAR.                                      ,OIL ON RIGHT ENGINE DECREASED AFTER LIFTOFF. RETURNED AND FOUND OIL CAP AJAR.                                      ,-0.4749368727207184
19870228015259I,"DURING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.                                              ","['DURING TAXI ON { YELLOW LINE } [ Yellow Line (New York City) , THE WINGTIP STRUCK A MISPLACED BARRICADE.                             .                  .                ING TAXI ON YELLOW LINE , THE WINGTIP STRUCK A MISPLACED BARRICADE.                        ING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.ING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.ING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.', '']",-0.3371391296386719
19870412049129A,THE FLOAT EQUIPPED AIRCRAFT MADE A WATER LANDING WITH THE WHEELS DOWN. THE AIRCRAFT NOSED OVER.                    ,THE FLOAT EQUIPPED AIRCRAFT MADE A WATER LANDING WITH THE WHEELS DOWN. THE AIRCRAFT NOSED OVER.                    ,-0.21929694712162018
19870217011229I,AFT BAGGAGE DOOR CAME OPEN AT ROTATION. RETURNED AND SECURED DOOR. COPILOT VISUALLY CHECKED DOOR BEFORE TAKEOFF.   ,AFT BAGGAGE DOOR CAME OPEN AT ROTATION. RETURNED AND SECURED DOOR. COPILOT VISUALLY CHECKED DOOR BEFORE TAKEOFF.   ,-0.19638006389141083
19870212011819I,"COCKPIT FILLED WITH SMOKE UPON GEAR EXTENSION, NOSE GEAR FAILED TO LOCK DOWN. FOUND CLOTHING HAD JAMMED GEAR HANDLE","COCKPIT FILLED WITH SMOKE UPON GEAR EXTENSION, NOSE GEAR FAILED TO LOCK DOWN. FOUND CLOTHING HAD JAMMED GEAR HANDLE",-0.2454802244901657
19861205064889A,"THE AIRCRAFT DITCHED WHEN THE ENGINES QUIT. PILOT HAD BEEN LOST DUE TO WEATHER, OPERATING WITHOUT NAVIGATION AIDS. ","THE AIRCRAFT DITCHED WHEN THE ENGINES QUIT. { PILOT } [ Pilots (film) ] HAD BEEN LOST DUE TO { WEATHER } [ Weather ], OPERATING WITHOUT { NAVIGATION } [ Navigational aid ] { AIDS } [ HIV/AIDS ]. ",-0.7728492021560669
19870318015069I,ENGINE SURGED DURING TAKEOFF ROLL. ABORTED TAKEOFF AND DEPARTED RUNWAY END. INCOMPLETE ENGINE RUNUP AND PREFLIGHT. ,ENGINE SURGED DURING TAKEOFF ROLL. ABORTED TAKEOFF AND DEPARTED RUNWAY END. INCOMPLETE ENGINE RUNUP AND PREFLIGHT. ,-0.18081872165203094
19861227081709I,CARGO DOOR OPENED ON TAKEOFF. RETURNED WITH DOOR LIGHTS ON.                                                        ,"['CARGO DOOR OPENED ON TAKEOFF. RETURNED WITH DOOR LIGHTS ON. {                                                         } [ CARGO DOOR OPENED ON. TAKEOFF.com.au.                            go DOOR OPENED ON. TAKEOFF.com.au.                      go DOOR OPENED ON. TAKEOFF.com.au.                        go DOOR OPENED ON. TAKEOFF.com.au.                        ', 'go DOOR OPENED ON. TAKEOFF.com.au.                             ']",-0.41908153891563416
19861230085019I,LANDING GEAR RETRACTED PREMATURELY DURING TAKEOFF. GEAR SWITCH WAS PLACED IN UP POSITION ACCIDENTLY ON PREFLIGHT.  ,LANDING GEAR RETRACTED PREMATURELY DURING TAKEOFF. GEAR SWITCH WAS PLACED IN UP POSITION ACCIDENTLY ON PREFLIGHT.  ,-0.46809816360473633
19870103004969I,ABORTED TAKEOFF WHEN SNOW REMOVAL VEHICLE DROVE ONTO RUNWAY.                                                       ,ABORTED TAKEOFF WHEN SNOW REMOVAL VEHICLE DROVE ONTO RUNWAY.                                                       ,-0.3862639367580414
19870104013319I,UNABLE TO CLEAR FENCE ON TAKEOFF ROLL. ENGINE FAILED TO DEVELOP FULL POWER DUE TO IMPROPER WARMUP PROCEDURES.      ,UNABLE TO CLEAR FENCE ON TAKEOFF ROLL. ENGINE FAILED TO DEVELOP FULL POWER DUE TO IMPROPER WARMUP PROCEDURES.      ,-0.09739458560943604
19870224017669I,RADIOS BECAME INOPERATIVE EN ROUTE. AIRCRAFT RETURNED TO DEPARTURE CITY. FOUND CIRCUIT BREAKER OPEN. CAUSE UNKNOWN.,RADIOS BECAME INOPERATIVE EN ROUTE. AIRCRAFT RETURNED TO DEPARTURE CITY. FOUND CIRCUIT BREAKER OPEN. CAUSE UNKNOWN.,-0.1263473927974701
19870401035709I,PILOT UNFAMILIAR WITH RADIO EQUIPMENT IN THE AIRCRAFT REQUIRED SPECIAL HANDLING.                                   ,PILOT UNFAMILIAR WITH RADIO EQUIPMENT IN THE AIRCRAFT REQUIRED SPECIAL HANDLING.                                   ,-0.2691541910171509
19870401039749I,FRONT BAGGAGE DOOR CAME OPEN. A SUITCASE FLEW OUT AND BENT THE RIGHT PROPELLER.  PILOT DITCHED AIRCRAFT IN OCEAN.  ,FRONT BAGGAGE DOOR CAME OPEN. A SUITCASE FLEW OUT AND BENT THE RIGHT PROPELLER.  PILOT DITCHED AIRCRAFT IN OCEAN.  ,-0.3382551968097687
19870530029409I,DURING BACK TAXI SMOKE WAS SEEN FROM THE LEFT SIDE OF PLANE. EVACUATION. OIL MIST VENTING THROUGH ENGINE BREATHER. ,DURING BACK TAXI SMOKE WAS SEEN FROM THE LEFT SIDE OF PLANE. EVACUATION. OIL MIST VENTING THROUGH ENGINE BREATHER. ,-0.14697904884815216
19870415036209I,THE AIRCRAFT RETURNED TO THE AIRPORT AFTER TAKEOFF. THE LANDING GEAR GROUND LOCK PINS WERE NOT REMOVED ON PREFLIGHT,THE AIRCRAFT RETURNED TO THE AIRPORT AFTER TAKEOFF. THE LANDING GEAR GROUND LOCK PINS WERE NOT REMOVED ON PREFLIGHT,-0.09630907326936722
19870501033379I,THE GEAR COLLAPSED DURING TAKEOFF ROLL.  GEAR SELECTOR HAD BEEN MOVED TO UP POSITION BY MAINTENANCE PERSONNEL.     ,THE { GEAR } [ Equipment ] COLLAPSED DURING TAKEOFF ROLL.  { GEAR } [ Equipment ] SELECTOR HAD BEEN MOVED TO UP POSITION BY MAINTENANCE PERSONNEL.     ,-0.23181352019309998
19870526038729A,FAILED TO ADVANCE RPM LEVERS FOR TAKEOFF. PIC NOTED POOR PERFORMANCE AND ABORTED. RAN OFF END OF RUNWAY AND CRASHED,FAILED TO ADVANCE RPM LEVERS FOR TAKEOFF. PIC NOTED POOR PERFORMANCE AND ABORTED. RAN OFF END OF RUNWAY AND CRASHED,-0.05413248389959335
19870531023049I,NOSE BAGGAGE DOOR POPPED OPEN AT LIFTOFF.  ABORTED ON REMAINING RUNWAY.  SECURED DOOR AND DEPARTED.                ,NOSE BAGGAGE DOOR POPPED OPEN AT LIFTOFF.  ABORTED ON REMAINING RUNWAY.  SECURED DOOR AND DEPARTED.                ,-0.1418466567993164
19870603052279I,NOSE GEAR COLLAPSED ON ROLLOUT. BATTERY IN DISCHARGED CONDITION. ALTERNATOR SWITCH WAS OFF.                        ,NOSE GEAR COLLAPSED ON ROLLOUT. BATTERY IN DISCHARGED CONDITION. ALTERNATOR SWITCH WAS OFF.                        ,-0.22862188518047333
19870713042009A,EVIDENCE INDICATES PILOTS SEAT NOT LOCKED SLID REARWARD O N TAKEOFF. PILOT UNABLE TO CONTROL. STALLED AND CRASHED  ,EVIDENCE INDICATES PILOTS SEAT NOT LOCKED SLID REARWARD O N TAKEOFF. PILOT UNABLE TO CONTROL. STALLED AND CRASHED  ,-0.16273558139801025
19870618066619I,CABIN DOOR CAME OPEN DURING CLIMB AFTER WIND NOISE WAS HEARD. RETURNED AND SHUT THE DOOR.                          ,CABIN DOOR CAME OPEN DURING CLIMB AFTER WIND NOISE WAS HEARD. RETURNED AND SHUT THE DOOR.                          ,-0.273695170879364
19870611033109I,OIL NOTED ON ENGINE COWLING AT TAKEOFF.  RETURNED.  DISCOVERED THE OIL CAP WAS LOOSE.                              ,OIL NOTED ON ENGINE COWLING AT TAKEOFF.  RETURNED.  DISCOVERED THE OIL CAP WAS LOOSE.                              ,-0.2893582284450531
19870425011409A,ABORTED TAKEOFF AND DEPARTED RUNWAY END INTO A FENCE AND DITCH. IMPROPER USE OF FLAPS FOR SHORT FIELD TAKEOFF.     ,ABORTED TAKEOFF AND DEPARTED RUNWAY END INTO A FENCE AND DITCH. IMPROPER USE OF FLAPS FOR SHORT FIELD TAKEOFF.     ,-0.22471322119235992
19870530033019I,"GEAR COLLAPSED ON ROLLOUT.  SUSPECT OPERATOR FAILED TO OPERATE ALTERNATOR SWITCH PROPERLY, BATTERY WAS DRAINED.    ","GEAR COLLAPSED ON ROLLOUT.  SUSPECT OPERATOR FAILED TO OPERATE ALTERNATOR SWITCH PROPERLY, BATTERY WAS DRAINED.    ",-0.3495711386203766
19870425011419A,THE ENGINE FAILED AND THE AIRCRAFT LANDED IN SWAMP. WATER FOUND IN AUTO FUEL. PILOT NOT RATED. AIRCRAFT STOLEN.    ,THE ENGINE FAILED AND THE AIRCRAFT LANDED IN SWAMP. WATER FOUND IN AUTO FUEL. PILOT NOT RATED. AIRCRAFT STOLEN.    ,-0.11055874824523926
19870518072579I,ABORTED TAKEOFF WHEN NOSE BAGGAGE DOOR WAS FOUND TO BE OPEN. GROUND CREW FAILED TO SECURE THE DOOR.                ,ABORTED TAKEOFF WHEN NOSE BAGGAGE DOOR WAS FOUND TO BE OPEN. GROUND CREW FAILED TO SECURE THE DOOR.                ,-0.1485619843006134
19870702039209I,HIGH PRESSURE FUEL PUMP WAS ON DURING TAXI. ENGINE QUIT. DURING RESTART ATTEMPT FUEL ACCUMULATION ON GROUND IGNITED,HIGH PRESSURE FUEL PUMP WAS ON DURING TAXI. ENGINE QUIT. DURING RESTART ATTEMPT FUEL ACCUMULATION ON GROUND IGNITED,-0.1448383778333664
19870629043809I,THE ENGINE FAILED. THE AIRCRAFT LANDED IN A COW PASTURE. WATER FOUND IN FUEL TANK.                                 ,THE ENGINE FAILED. THE AIRCRAFT LANDED IN A COW PASTURE. WATER FOUND IN FUEL TANK.                                 ,-0.32030272483825684
19870607082499A,"FAILED TO HOOK UP ELEVATORS PRIOR TO TAKEOFF. GLIDER PITCHED UP ON THE TOW,HIT GROUND BOUNCED UP 150FT AND CRASHED ","FAILED TO HOOK UP { ELEVATORS } [ Esports ] PRIOR TO TAKEOFF. GLIDER PITCHED UP ON THE TOW,HIT GROUND BOUNCED UP 150FT AND CRASHED ",-0.28535234928131104
19870613031919A,HOLD DOWN STRAP NOT UNHOOKED ON TAKEOFF TO HOVER FROM A TRAILER. TILTED LEFT. COLLIDED WITH GROUND. ROLLED OVER.   ,HOLD DOWN STRAP NOT UNHOOKED ON TAKEOFF TO HOVER FROM A TRAILER. TILTED LEFT. COLLIDED WITH GROUND. ROLLED OVER.   ,-0.1555832475423813
19870623037749I,THE ENGINE COWLING CAME LOOSE INFLIGHT.  THE PILOT FAILED TO CHECK COWLING SECURITY ON PREFLIGHT INSPECTION.       ,THE ENGINE COWLING CAME LOOSE INFLIGHT.  THE PILOT FAILED TO CHECK COWLING SECURITY ON PREFLIGHT INSPECTION.       ,-0.1523514688014984
19870601035769I,FUEL WAS EXHAUSTED DURING A LOCAL FLIGHT.  LANDED IN A FIELD.  FUEL PETCOCK DRAIN HAD BEEN OPENED INADVERTENTLY.   ,FUEL WAS EXHAUSTED DURING A LOCAL FLIGHT.  LANDED IN A FIELD.  FUEL PETCOCK DRAIN HAD BEEN OPENED INADVERTENTLY.   ,-0.36228880286216736
19870427011679A,"THE DOOR CAME OPEN ON TAKEOFF. WHILE ATTEMPTING TO LAND, AIRCRAFT HIT TERRAIN. PILOT FAILED TO PROPERLY LATCH DOOR.","THE DOOR CAME OPEN ON TAKEOFF. WHILE ATTEMPTING TO LAND, AIRCRAFT HIT TERRAIN. PILOT FAILED TO PROPERLY LATCH DOOR.",-0.26998600363731384
19870511033439I,"LOW OIL PRESSURE LIGHT CAME ON AFTER FLUCTUATION. ENGINE SHUTDOWN, AIRCRAFT RETURNED. OIL CAP WAS OFF.             ","LOW OIL PRESSURE LIGHT CAME ON AFTER FLUCTUATION. ENGINE SHUTDOWN, AIRCRAFT RETURNED. OIL CAP WAS OFF.             ",-0.2561177909374237
19870513038079I,OIL SMEAR FINALLLY COVERED WINDSHIELD BEFORE EMERGENCY LANDING WAS MADE. CAUSE OF OIL LEAK NOT DEFINED.            ,OIL SMEAR FINALLLY COVERED WINDSHIELD BEFORE EMERGENCY LANDING WAS MADE. CAUSE OF OIL LEAK NOT DEFINED.            ,-0.2024412602186203
19870624041889I,NOSE CARGO COMPARTMENT DOOR CAME OPEN ON TAKEOFF ROLL.  A PACKAGE STRUCK THE PROPELLER DAMAGING 3 BLADES.          ,NOSE CARGO COMPARTMENT DOOR CAME OPEN ON TAKEOFF ROLL.  A PACKAGE STRUCK THE PROPELLER DAMAGING 3 BLADES.          ,-0.10588482022285461
19870628027549A,LOST POWER ON CLIMBOUT. CRASHED INTO BRUSH OFF END RUNWAY. PILOT TOOK OFF WITH FUEL SELECTOR IN OFF POSITION.      ,LOST POWER ON CLIMBOUT. CRASHED INTO BRUSH OFF END RUNWAY. PILOT TOOK OFF WITH FUEL SELECTOR IN OFF POSITION.      ,-0.15399205684661865
19870708032579A,NO ELEVATOR UP RESPONSE. PILOT BAILED OUT.CRASHED INVERTED IN A FLAT SPIN.SUSPECT IMPROPERLY ASSEMBLED TAIL SECTION,NO { ELEVATOR } [ ELEVATOR ] UP RESPONSE. PILOT BAILED OUT.CRASHED INVERTED IN A FLAT SPIN.SUSPECT IMPROPERLY ASSEMBLED TAIL SECTION,-0.3038479685783386
19870720057469I,OIL FROM ENGINE CAUGHT FIRE AND EXTINGUISHED BY FIRE BOTTLE.  SAFE LANDING.                                        ,OIL FROM ENGINE CAUGHT { FIRE } [ Fire ] AND EXTINGUISHED BY { FIRE } [ Fire ] BOTTLE.  SAFE LANDING.                                        ,-0.29535752534866333
19870523018679A,OVER INFLATED TAIL WHEEL STRUT CAUSED PILOT TO LOSE CONTROL WHEN IT BROKE OFF ON LANDING IN A CROSSWIND SIDE LOAD. ,OVER INFLATED TAIL WHEEL STRUT CAUSED PILOT TO LOSE CONTROL WHEN IT BROKE OFF ON LANDING IN A CROSSWIND SIDE LOAD. ,-0.20481209456920624
19870621062679A,PILOT APPLIED 30 DEGREES OF FLAPS TO LIFT OFF SHORT RUNWAY. FLAPS WERE RETRACTED AND AIRCRAFT MUSHED INTO A SWAMP. ,PILOT APPLIED 30 DEGREES OF FLAPS TO LIFT OFF SHORT RUNWAY. FLAPS WERE RETRACTED AND AIRCRAFT MUSHED INTO A SWAMP. ,-0.41488417983055115
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ",-0.4943014681339264
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,-0.16484323143959045
19870618043669I,SMOKE FROM ENGINES AFTER TAKEOFF. RETURNED. OIL FILLER CAPS WERE NOT SECURED.                                      ,SMOKE FROM ENGINES AFTER TAKEOFF. RETURNED. OIL FILLER CAPS WERE NOT SECURED.                                      ,-0.3394244313240051
19870418010159A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT NOSED OVER ON LANDING. SOME WATER WAS FOUND IN THE AUTO GAS.     ,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT NOSED OVER ON LANDING. SOME WATER WAS FOUND IN THE AUTO GAS.     ,-0.24790088832378387
19870425026649I,THE AIRCRAFT RAN OFF THE END OF THE RUNWAY DURING ABORT.  THE PILOT FAILED TO USE FLAPS FOR TAKEOFF.               ,THE AIRCRAFT RAN OFF THE END OF THE RUNWAY DURING ABORT.  THE PILOT FAILED TO USE FLAPS FOR TAKEOFF.               ,-0.13180813193321228
