c5,c119,c119_entity_linking
19930226006089I,ON CLIMBOUT THE LEFT SIDE OF ENGINE COWLING CAME LOOSE. RETURNED TO AIRPORT. LANDED GEAR UP.                       ,[]
19921201048469A,DOOR OPENED ON TAKEOFF. TRIED TO RETURN. BUT DESCENDED INTO TREES. STUDENT BECAME FLUSTERED AND LOST CONTROL.      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19930214004179I,ON TAKEOFF ROLL RIGHT FUEL CAP SEPARATED FROM AIRCRAFT. CAP WENT THROUGH REAR ROTATING PROPELLER. PROP DESTROYED.  ,"[['AKEOFF', Entity not linked to a knowledge base, None]]"
19921031044419A,FAILED DEVELOP TAKEOFF POWER. ABORTED 2/3 DOWN RUNWAY.HIT BRAKES TO STOP. NOSED OVER. PROP LEVER NOT FORWARD.      ,"[['FF', Entity not linked to a knowledge base, None], ['2/3', None, 'CARDINAL']]"
19921217050819A,ENGINE QUIT ON SLOW FLIGHT DEMO. NO STARTER. CRASHED TRYING FOR A ROAD. ENGINE WOULDN'T IDLE BELOW 70 MPH.         ,"[['70 MPH', None, 'QUANTITY']]"
19930103002119I,ATTEMPTING TO CLOSE DOOR ON TAKEOFF. PILOT ALLOWED AIRCRAFT TO DRIFT RIGHT. STRUCK UNKNOWN OBJECT WITH WING TIP.   ,[]
19921106045759A,NOSE WHEEL JAMMED IN UP POSITION ON DEPARTURE. LANDED NOSE GEAR UP.FLASH LIGHT LEFT BY MECHANIC NOT NOTICED BY CREW,"[['E', Entity not linked to a knowledge base, 'PERSON'], ['MED', Entity not linked to a knowledge base, 'PERSON'], ['MECH', Entity(wikidata_entity_id=Q858784, wikipedia_entity_title=Mecha), None], ['CREW', Entity not linked to a knowledge base, 'PERSON']]"
19921116056589A,REPORTED UNCOMMANDED RIGHT TURN IN FLIGHT AND LOW AIRSPEED. OVERSHOT PRECAUTIONARY LANDING. STATIC SYSTEM FOULED.  ,[]
19921119049779I,DOOR POPPED OPEN ON TAKEOFF ROLL. ABORTED. USED EXCESSIVE BRAKE PRESSURE TO STOP. DAMAGED TIRES. MEDICAL EXPIRED.  ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19921202048709A,LOST TAIL ROTOR ASSEMBLY INFLIGHT. MADE HARD AUTO LANDING. FUEL FILLER CAP MISSING. STRUCK TAIL FIN AND TAIL ROTOR.,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19930326021359I,LEFT ENGINE OIL CAP CAME OFF AFTER TAKEOFF. SHUT ENGINE DOWN. RETURNED. LANDED SAFELY.                             ,[]
19930328006999A,LANDED TO CHECK FUEL IMBALANCE. ELECTED TO AGAIN TAKEOFF. UNABLE TO KEEP RIGHT WING UP. WING HIT GROUND. CARTWHEEL.,"[['WHE', Entity(wikidata_entity_id=Q60762336, wikipedia_entity_title=Whitworth Society), None]]"
19930112003259I,ENGINE QUIT ON CLIMB. AIRCRAFT LANDED. CROSSED A DITCH. FOUND WATER IN CARBURETOR. AIRCRAFT HAD NOT FLOWN IN MONTHS,"[['CLIMB', Entity not linked to a knowledge base, 'GPE'], ['CARBURETOR', Entity(wikidata_entity_id=Q165435, wikipedia_entity_title=Carburetor), 'GPE'], ['MONTHS', None, 'DATE']]"
19921120047599A,NOISE ON TAKEOFF ROLL. ABORTED. RAN OFF RUNWAY. SHEARED NOSE GEAR. TORQUE LINK DUAL PINS REMOVED TO TOW.ONE MISSING,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TORQUE', Entity(wikidata_entity_id=Q48103, wikipedia_entity_title=Torque), 'PERSON'], ['ONE', None, 'CARDINAL']]"
19921218050889A,LACKED ACCELERATION ON TAKEOFF. FAILED TO ABORT. OVERRAN RUNWAY. PARKING BRAKE ON BUT WARNING LIGHT INOPERATIVE.   ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19921113046579A,ENGINE QUIT ON CLIMBOUT. FOUND WATER IN FUEL. FUEL TANK CAPS NOT VENTED .                                          ,"[['ENG', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19930127022499I,FLIGHT CREW FAILED TO SECURE RIGHT DOOR OF NOSE COMPARTMENT. FLIGHT BAG EXITED WHILE TAXIING TO GATE.              ,[]
19921219050909A,NO AIRSPEED ON TAKEOFF ROLL. ABORTED LATE. RAN OFF END RUNWAY INTO DITCH. FAILED TO REMOVE PITOT COVER.            ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19930105002509A,LOST POWER BOTH ENGINES. LANDED ON SEA ICE. HIT PRESSURE RIDGE. WATER ICE IN FUEL. NO PRIST ADDED OR SUMPS DRAINED.,[]
19930215002389A,OIL ON WINDSHIELD ON INITIAL CLIMB. MADE CIRCUIT. BOUNCED LANDING. LEFT RUNWAY INTO A DITCH. OIL CAP CAME OFF.     ,[]
19930607017119A,DURING TAKEOFF DOOR CAME OPEN. TRIED TO CLOSE SAME INFLIGHT. IMPACTED STEEP TURN. FLY FIRST CLOSE DOOR ON GROUND.  ,"[['FIRST', None, 'ORDINAL']]"
19930516013769A,STRUCK A LARGE CALF ON RUNWAY DURING LANDING ROLL. SLID OVER EMBANKMENT CATTLE GUARD ON CROSSING ROAD FILLED IN.   ,[]
19930527015439A,LOST POWER LEFT ENGINE. FEATHERED BUT UNABLE HOLD ALTITUDE DUE SAGGING LANDING GEAR. WATER DEBRIS IN FUEL SYSTEM.  ,[]
19930522014679A,CANOPY CAME OPEN ON SHORT FINAL AND SEPARATED. AIRSPEED CAME LOW. IMPACTED SHORT OF RUNWAY. FIRST FLIGHT IN TYPE.  ,"[['CANOPY', Entity(wikidata_entity_id=Q4982224, wikipedia_entity_title=Bubble canopy), None], ['FIRST', None, 'ORDINAL']]"
19930609017689A,LOST CONTROL ON CLIMBOUT WHEN SEAT SLID BACKWARDS. SEAT PIN AND HOLE WORN BUT STILL SERVICEABLE.                   ,[]
19930630021529A,LANDED DEEP GRASS. FIRE ERUPTED UNDER THE 206L3. CREW CHIEF ARMED AID FIRE UNIT. PILOT OR CREW CAUSED ACTIVATION.  ,"[['206L3', Entity not linked to a knowledge base, None], ['IEF', Entity(wikidata_entity_id=Q898861, wikipedia_entity_title=Isoelectric focusing), None]]"
19930427017299A,SEVERE VIBRATION LANDING. RIGHT MAIN GEAR COLLAPSED. APEX BOLT FAILED. CASTERED GEAR. NON EXTENSION GROUND SPOILERS,"[['APEX', Entity(wikidata_entity_id=Q4779412, wikipedia_entity_title=Apex (mollusc)), None]]"
19930517014169A,ENGINE QUIT ON CLIMBOUT AFTER SWITCHING FROM RIGHT TO LEFT TANKS. LANDED SHORT OF RUNWAY. NO USEABLE FUEL LEFT.    ,[]
19930725025669A,BOUNCED LANDING. TRIED GO AROUND FULL FLAPS. STALLED DROPPED WING AND CRASHED.                                     ,[]
19930516018619I,DOOR WARNING LIGHT ON IN FLIGHT. LOST INDEX FINGER WHEN DOOR OPENED. LANDED SAFELY. TAKEN TO HOSPITAL.             ,[]
19930425010419A,"PITCHED UP ON INITIAL CLIMBOUT. ROLLED, CRASHED AND BURNED. FOUND AFT UTILITY DOOR OPEN. LATCH WAS IN OPEN POSITION",[]
19930505012379A,EN ROUTE TO OBTAIN DUAL. LOST POWER.LOST CONTROL. FUEL CONTAMINATION. NEVER SUMPED DRAINS. HAD PRIOR ROUGH ENGINE. ,[]
19930502011569A,RIGHT BRAKE FAILED ON ROLLOUT. VEERED OFF RUNWAY. HIT BERM. BRAKE LINE LEAKING AT FITTING. LOST ALL BRAKE FLUID.   ,"[['BERM', Entity(wikidata_entity_id=Q81957, wikipedia_entity_title=Berm), 'PERSON']]"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19930711030449I,NOSE BAGGAGE DOOR OPENED ON LIFTOFF AND GEAR RETRACTION. ABORTED AND LANDED ON SAME RUNWAY BEFORE GEAR WAS DOWN.   ,[]
19930602043339I,DOOR OPENED INFLIGHT. MADE PRECAUTIONARY LANDING. LEFT MAIN GEAR COLLAPSED ON ROLLOUT.                             ,[]
19930430011489A,PURCHASED PLANE WITH METAL IN OIL SCREEN. ADVISED NOT TO FLY UNTIL FIXED. IGNORED. CRANKSHAFT FAILED 22HR LATER.   ,"[['CRANKSHAFT', Entity(wikidata_entity_id=Q49718, wikipedia_entity_title=Crankshaft), 'PERSON'], ['22HR', None, 'QUANTITY']]"
19930507020409I,COCKPIT DOOR CAME OPEN ON TAKEOFF ROLL. ABORTED. LEFT PROPELLER STRUCK TAXI LIGHT.                                 ,"[['C', Entity not linked to a knowledge base, None], ['PIT', Entity not linked to a knowledge base, None], ['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]"
19930712026929I,DOOR CLOSED WITH R-1 BARRIER STRAP AND BUCKLE OUTSIDE. PILOT HEARD NOISE. DUMPED FUEL AND RETURNED.                ,"[['R-1', Entity(wikidata_entity_id=Q938603, wikipedia_entity_title=R-1 (missile)), None]]"
19930822029989A,ENGINE QUIT ON CLIMBOUT. HIT TREES ON FORCED LANDING. NO OIL IN ENGINE. LARGE OIL SPOT PARK AREA. OIL FILTER LEAKED,"[['SPOT PARK', Entity not linked to a knowledge base, 'GPE']]"
19931210050709I,AIRCRAFT WAS ON TAKEOFF ROLL WHEN BAGGAGE DOOR BECAME AJAR. SEPARATED FROM AIRCRAFT.                               ,"[['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['BECAME AJAR', Entity not linked to a knowledge base, 'PERSON']]"
19931006037759A,STRUCK TREES ON APPROACH TO AIRPORT. CRASHED. BOTH PROPS FOUND FEATHERED. INDICATES SE GIVEN.FEATHERED WRONG ENGINE,[]
19930829031689A,NOSE PITCHED UP ON TAKEOFF. UNABLE TO LOWER. STALLED INTO TREES. ELEVATOR TRIM FULL UP. FAILED SET TRIM FOR TAKEOFF,[]
19931208046329A,BALANCE BALLAST WEIGHT NOT SWITCHED TO REAR FOR 2 OCCUPANTS. WAS FORWARD FOR STUDENT SOLO. CRASHED NOSE DOWN.      ,[]
19931210046689A,FAILED TURN OF MASTER. DEAD BATTERY NO CHARGE PRIOR JUMP START. INDICATES LOST ELECTRICS AND CONTROL. NO IFR RATING,[]
19931006037779A,AIRCRAFT MISSED THE RUNWAY AND CAME TO REST ON ITS NOSE. (.4)THE AIRPLANE HAD NOT BEEN FLOWN IN 11 MONTHS AND IT HA,"[['11 MONTHS', None, 'DATE']]"
19930815029379A,ELECTED TO GO AROUND. STALLED INTO TREES WITH FLAPS FULL DOWN. NO LICENSE OR MEDICAL. AIRCRAFT OUT OF ANNUAL.      ,[]
19931029041169A,TIED DOWN ON OIL RIG. HURRIED DEPARTURE. FAILED UNTIE LEFT FRONT SKID. SPUN. ROTORS FLEXED CHOPPED TAIL. HIT DECK. ,[]
19930904037869I,"FORGOT TO LATCH CANOPY ON TAKEOFF. TRIED TO LATCH, PITCHED DOWN, HIT RUNWAY, BOUNCED, LANDED, GEAR COLLAPSED.      ","[['CANOPY', Entity not linked to a knowledge base, 'PERSON'], ['EO', Entity not linked to a knowledge base, None]]"
19930815029539A,SMOKE IN COCKPIT. LOST ELEVATOR CONTROL. RETURNED. UNABLE TO FLARE. ELEVATOR CABLES BURNED THROUGH.BY LOOSE BATTERY,"[['BATTERY', Entity not linked to a knowledge base, None]]"
19931121050129I,AFT REAR CARGO DOOR CAME OPEN EN ROUTE. INSPECTED LOCKING ASSEMBLY. FOUND OK.                                      ,"[['T', Entity not linked to a knowledge base, None], ['REAR', Entity not linked to a knowledge base, None], ['CARGO', Entity(wikidata_entity_id=Q319224, wikipedia_entity_title=Cargo), None]]"
19930905032909A,ENGINE QUIT ON CLIMBOUT. STRUCK FENCE LANDING. GASCOLATOR DRAIN WAS OPEN. PILOT UNAWARE DRAIN COULD REMAIN OPEN.   ,[]
19931110042579A,WARNED FUEL LEAK LEFT WING. IGNORED. BACKFIRE ON ENGINE START. LEFT WING EXPLODED. GROUND CREW OVERFILLED TANK.    ,[]
19930920045369A,GEAR FAILED TO EXTEND. USED MANUAL BUT NO LOCKDOWN SHOWN. MAIN GEAR COLLAPSED USING BRAKES. SLIDE TUBES LACKED LUBE,[]
19930924036399A,LOUD BANG PARTS TAILROTOR AND DEBRIS FELL. CHOPPER SPUN TO GROUND . LEFT DOOR REMOVED. EVIDENCE KNEE PAT HIT ROTORS,"[['BANG PARTS', Entity not linked to a knowledge base, None], ['TAILROTOR', Entity not linked to a knowledge base, 'PERSON'], ['DEBRIS FELL', Entity not linked to a knowledge base, 'PERSON']]"
19930805041849A,ENGINE QUIT ON CLIMBOUT. SETTLED INTO A SWAMP. HAD ACCIDENTLY BUMPED FUEL SELECTOR OUT OF DENTE DURING MAINTENANCE.,[]
19930926036259A,OVERSHOOTING DOWNHILL RUNWAY BEGAN GO AROUND. STRUCK TREES ON CLIMBOUT. FAILED TO TIMELY RAISE FULL FLAPS.         ,"[['DOWNHILL', Entity not linked to a knowledge base, 'GPE'], ['BEGAN', Entity(wikidata_entity_id=Q2602814, wikipedia_entity_title=Spindletop), 'GPE']]"
19931024040629A,LOST POWER IN CRUISE FLIGHT. IMPACTED IN A CROP FIELD ON FORCED LANDING. MIXTURE PULLED INSTEAD CARBUERETOR HEAT.  ,"[['BUERETOR', Entity not linked to a knowledge base, None]]"
19930823030129A,DEPARTED WITH LOW POWER AFT ENGINE DUE CLOGGED INJECTORS. FRONT ENGINE QUIT. STALLED. WATER IN FUEL FRONT ENGINE.  ,"[['FRONT', Entity not linked to a knowledge base, None]]"
19931025040659A,ON TAKEOFF FROM OFFSHORE PLATFORM BEGAN TO SPIN UNCONTROLLABY. IMPACTED GULF. LEFT FRONT TIEDOWN NOT REMOVED.      ,"[['ON TAKEOFF', Entity not linked to a knowledge base, None], ['OFFSHORE', Entity not linked to a knowledge base, None], ['SP', Entity(wikidata_entity_id=Q303745, wikipedia_entity_title=Social Democratic Party of Switzerland), None]]"
19930811032629I,PILOT NOTICED OIL COMING OUT OF COWLING. PRECAUTIONARY LANDING ON ROAD. PILOT HAD LEFT OIL CAP OFF.                ,[]
19931014039459A,LOST OIL PRESSURE. ENGINE FAILED. NOSED OVER ON FORCED LANDING. DIPSTICK LAYING LOOSE. LOST OIL THROUGH OIL FILLER.,[]
19931121044459A,UNABLE EXTEND GEAR FOR LANDING. LANDED GEAR UP. GEAR AND FUSE GAGE DAMAGED BY OVERSTRESS SUCH AS EXTENDED OVERSPEED,[]
19940218035189A,WHILE MANEUVERING. CONTROL JAMMED. USED BALLISTIC CHUTE. HIT NOSE DOWN. BELEIVES PORTABLE RADIO JAMMED CONTROLS.   ,[]
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,[]
19940118004159I,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","[['1/18/94', Entity(parsed_string=[timepoint: [""1994/1/18""]]), 'DATE'], ['RYAN', Entity not linked to a knowledge base, None], ['205', None, 'CARDINAL'], ['NASHVILLE', Entity(wikidata_entity_id=Q23197, wikipedia_entity_title=Nashville, Tennessee), 'GPE'], ['TN', Entity(wikidata_entity_id=Q1509, wikipedia_entity_title=Tennessee), 'GPE'], ['BNA', Entity(wikidata_entity_id=Q4998403, wikipedia_entity_title=Bloomberg Industry Group), 'ORG'], ['DAYTON', Entity(wikidata_entity_id=Q34739, wikipedia_entity_title=Dayton, Ohio), 'ORG'], ['OH', Entity(wikidata_entity_id=Q1397, wikipedia_entity_title=Ohio), 'GPE']]"
19940209002069A,NEW PURCHASE AMPHIBIAN. FORGOT TO RAISE WHEELS FOR WATER LANDING. NOSED OVER.                                      ,"[['NEW PURCHASE AMPHIBIAN', Entity not linked to a knowledge base, None]]"
19940122000729A,"DEPARTED AIRPORT AT NIGHT. UNABLE CHECK WEATHER, ENTERED SAME. TURNED BACK. LOST CONTROL. FORECAST WAS AMENDED.    ","[['NIGHT', None, 'TIME'], ['UNABLE CHECK', Entity not linked to a knowledge base, None], ['FOREC', Entity not linked to a knowledge base, None]]"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,[]
19940130001119A,"FAILED REMOVE PITOT COVER. NIGHT FLIGHT. NOTED NEAR END RUNWAY. ABORTED, SKID OFF END. FOLDED NOSE GEAR. NOSED OVER","[['PITOT', Entity(wikidata_entity_id=Q56218, wikipedia_entity_title=Pitot tube), None], ['NIGHT', None, 'TIME']]"
19940304000909I,"LEFT ENGINE THEN RIGHT ENGINE SHUT DON ON TAKEOFF. ABORTED, FOUND INCE AND WATER IN INLETS OF BOTH ENGINES.        ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19940311004919A,"DEPARTED, CLIMBED TO 7000FT. LOST POWER. LANDED HILLY TERRAIN. RUST AND WATER IN FUEL.                             ","[['7000FT', None, 'QUANTITY'], ['HILLY TERRAIN', Entity(wikidata_entity_id=Q134435, wikipedia_entity_title=Topography), 'PERSON'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19940305003689A,CFI FEATHERED LEFT PROP INSTEAD THROTTLE FOR DEMO ENGINE OUT. UNABLE RAISE GEAR DUE PUMP ON SAME. WONT FLY DIRTY.  ,"[['CFI', Entity not linked to a knowledge base, 'ORG']]"
19940209001909I,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","[['IGHT', Entity not linked to a knowledge base, None], ['381', None, 'CARDINAL'], ['NEWARD', Entity not linked to a knowledge base, 'GPE'], ['NEW JERSEY', Entity(wikidata_entity_id=Q1408, wikipedia_entity_title=New Jersey), 'GPE'], ['THE AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), 'ORG'], ['WA', Entity(wikidata_entity_id=Q1223, wikipedia_entity_title=Washington (state)), 'GPE']]"
19940209004429I,"NARRATIVE: N814AA TOOK OFF ON RUNWAY 1L AT KMCI. JUST AFTER LANDING GEAR WAS RETRACTED A LOUD ""BANG"" WAS HEARD BY B","[['1L', None, 'CARDINAL'], ['KMCI', Entity(wikidata_entity_id=Q1431674, wikipedia_entity_title=Kansas City International Airport), None]]"
19940309011429I,DOOR POPPED OPENED ON CLIMB. RETURNED. FORGOT TO LOWER GEAR. LANDED GEAR UP.                                       ,[]
19940411010619A,DEPARTED WITH INOPERATIVE COMPASS. BECAME LOST. LANDED IN OPEN FIELD. TRIED TO DEPART BUT STRUCK TREES ON CLIMBOUT.,[]
19940115000519A,INDICATES PILOT PULLED FUEL SHUTOFF VALVE IN PLACE OF CABIN HEAT CONTROL. LOW ROTOR RPM ON AUTOROTATION. VALVE OFF.,"[['CABIN', Entity(wikidata_entity_id=Q2389519, wikipedia_entity_title=Cabin pressurization), None]]"
19940313004879A,CHECK OUT NEW AIRMAN SHUT DOWN AND FEATHERED LEFT ENGING FOR ENGINE LANDING. HYDRO PUMP LEFT ENGINE. CRASHED.      ,"[['HYDRO', Entity not linked to a knowledge base, None]]"
19940312005049A,ON CLIMBOUT PARTIAL POWER LOSS. LANDED OFF AIRPORT. FOUND WATER IN FUEL.                                           ,"[['ON CLIMBOUT', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19940318005829A,MOORED TO DOCK SEVERAL HOURS. OBSERVED TO PITCH UP ON WATER TAKEOFF. HAD FAILED CHECK BILGE OR USE PUMPS REFLIGHT. ,"[['SEVERAL HOURS', None, 'TIME']]"
19940109000209A,LOST CONTROL AFTER LIFTOFF. ENTERED STEEP BANK AND CRASHED. PILOT FAILED TO PULL BOGUS CONTROL LOCK. NOT FLAGGED.  ,[]
19940314009909I,"NARRATIVE: WHILE IFR AT FL180, THE PILOT OBSERVED A DROP IN MANIFOLD AND OIL PRESSURE, FOLLOWED BY UNEVEN ENGINE OP","[['FL180', Entity not linked to a knowledge base, None], ['UNEVEN ENGINE', Entity not linked to a knowledge base, 'PERSON']]"
19940311010119I,"NARRATIVE: N8011Z, AC-206, PILOTED BY EDGAR C. MC GEE, A PRIVATE PILOT HOLDING CERTIFICATE #248744006, DEPARTED RUN","[['EDGAR C. MC GEE', Entity not linked to a knowledge base, 'PERSON']]"
19940410010599A,LEFT MAIN GEAR COLLAPSED LANDING. EN ROUTE DEPLETED BATTERY DUE GENERATOR OFF. MANUAL GEAR EXTEND NOT LOCKED DOWN. ,[]
19931215047419A,POST MAINTENANCE TEST FLIGHT. FLIGHT CONTROL FLUTTER AT 190MPH. SLOWED AND LANDED. FRACTURED SPAR. AILERON BUCKLED.,"[['190MPH', None, 'QUANTITY'], ['AILERON', Entity(wikidata_entity_id=Q509379, wikipedia_entity_title=Aileron), None]]"
19940329008349A,ON APPROACH TO OLV ADDED POWER TO LEVEL OFF. ENGINE FAILED RESPOND. STRUCK TREES LANDING. CARB ICE. WATER IN FUEL. ,"[['OLV', Entity(wikidata_entity_id=Q7075858, wikipedia_entity_title=Occupy Las Vegas), None], ['CARB ICE', Entity not linked to a knowledge base, None], ['EL', Entity(wikidata_entity_id=Q2633778, wikipedia_entity_title=Elevation), None]]"
19940430009969A,SHORT FINAL TANDEM CUB REAR SEAT FELL FORWARD JAMMED YOKE. UNABLE TO FREE CONTROL LANDED LONG. OVERRAN INTO TREE.  ,"[['TANDEM', Entity(wikidata_entity_id=Q1752317, wikipedia_entity_title=Tandem), None], ['JAMMED YOKE', Entity not linked to a knowledge base, 'PERSON']]"
19940224002899A,NOSED OVER LANDING. LEFT BRAKE LOCKED. HAD PRIOR BRAKE RELEASE PROBLEM. PUSHED T HANDLE IN TO RELEASE.             ,[]
19940310004559A,DURING VERTICAL TAKEOFF FROM SOGGY SOD. LEFT SKID LIFTED. RIGHT SKID HAD CUT IN CAUSED ROLL TO RIGHT AS SKID STUCK.,"[['SOGGY', Entity(wikidata_entity_id=Q15977327, wikipedia_entity_title=Noah S. Sweat), None]]"
19940122007719I,"NARRATIVE: THE PILOT-IN-COMMAND, A CERTIFIED FLIGHT INSTRUCTOR (CFI) WROTE, ""THE STUDENT PILOT IS A QUALIFIED SOLO ","[['CERTIFIED FLIGHT INSTRUCTOR', Entity(wikidata_entity_id=Q379318, wikipedia_entity_title=Flight instructor), None], ['CFI', Entity not linked to a knowledge base, 'ORG']]"
19940305006749A,LOST POWER ON CLIMBOUT. STRUCK TREE ON FORCED LANDING. FOUND WATER IN FUEL. FUEL CAP L EAK ALLOWED RAIN WATER.     ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL CAP', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19931217046969A,CAUGHT FIRE BURNED ON ENGINE START. CARBURETOR REMOVED FOR EXCHANGE. NO PLACARDS OR FLAG. ADVISED PLANE AVAILABLE. ,"[['CAUGHT', Entity(wikidata_entity_id=Q705379, wikipedia_entity_title=Caught), None], ['CARBURETOR', Entity(wikidata_entity_id=Q165435, wikipedia_entity_title=Carburetor), 'PERSON']]"
19940228006769A,TOW LINE RELEASED BY LINEMAN NOT BY PILOT. BLEW BACK AND CAUGHT GUY WIRE. PULLED LEFT. PILOT RELEASED LINE TO LATE.,"[['LINEMAN', Entity(wikidata_entity_id=Q1060160, wikipedia_entity_title=Lineman (gridiron football)), 'PERSON']]"
19940111024519I,"NARRATIVE: ON JANUARY 1, 1994, CONVAIR 440/580, N5123, OPERATED BY GENERAL MOTORS AIR TRANSPORTATION, PILOTED BY CA","[['JANUARY 1, 1994', Entity(parsed_string=[timepoint: [""1994/1/1""]]), 'DATE'], ['GENERAL MOTORS AIR TRANSPORTATION', Entity not linked to a knowledge base, 'ORG'], ['CA', Entity(wikidata_entity_id=Q99, wikipedia_entity_title=California), 'ORG']]"
19940301016609I,STATIC INSTRUMENTS GIVING ERRONEOUS INFORMATION ON CLIMB. RETURNED. FOUND A STATIC PORTS COVERED WITH TAPE.        ,"[['CLIMB', Entity not linked to a knowledge base, 'PERSON']]"
19940318005589A,NIGHT APPROACH. LOST LEFT ENGINE DUE FUEL STARVATION. NOT FEATHERED. GEAR DOWN. BELOW VMC. HIT TREES. BAD GAUGES.  ,"[['NIGHT', None, 'TIME']]"
19940304026939I,"PILOT FAILED TO ENSURE SEAT WAS LOCKED IN POSITION.SEAT SLID BACK ON TAKEOFF.LOST CONTROL.LEFT RUNWAY,HIT SNOWBANK.",[]
19940122000809A,ENGINE QUIT ON CLIMBOUT. RETURNED HARD ANGLED LANDING. VEERED INTO SNOWBANK. FOUND ICE CRYSTALS IN FUEL TANKS.     ,"[['FUEL TANKS', Entity not linked to a knowledge base, None]]"
19940608047899A,CANOPY OPENED ON GLIDER TOW. RELEASED. OVERSHOT AIRSTRIP RETURNING. STRUCK OUTHOUSE OFF END OF RUNWAY.             ,"[['CANOPY', Entity(wikidata_entity_id=Q4982224, wikipedia_entity_title=Bubble canopy), None], ['GLIDER', Entity(wikidata_entity_id=Q180173, wikipedia_entity_title=Glider (sailplane)), None]]"
19940903036459I,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,"[['MECH', Entity(wikidata_entity_id=Q858784, wikipedia_entity_title=Mecha), 'PERSON'], ['IC', Entity not linked to a knowledge base, 'PERSON'], ['RETA', Entity(wikidata_entity_id=Q453415, wikipedia_entity_title=Reta Shaw), None]]"
19940731019749A,SLOW ACCELERATION ON TAKEOFF. AND LONG ROLL. TIRE HIT RUT. VEERED. HIT HANGAR ROOF AND POLE. PROP NOT FULL FORWARD.,[]
19940515010879A,"LOST LEFT ENGINE. SHUTDOWN THEN RIGHT LOST POWER. CRASHED NEAR COUNTY ROAD, NO MECHANICAL. FUEL TANKS EMPTY.       ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'PERSON']]"
19940807020329A,FUEL PRESSURE DECREASED. LOST PART POWER. MUSHED INTO CORNFIELD. NOSED DOWN RUSTY FUEL SCREEN. DIRTY FUEL CAN USED.,"[['CORNFIELD', Entity(wikidata_entity_id=Q12117, wikipedia_entity_title=Cereal), None]]"
19940806020599A,ENGINE FAILED ON TAKEOFF. AIRCRAFT OUT OF ANNUAL MANY YEARS. ADS NOT COMPLIED. NO STC FOR AUTO FUEL.               ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['ANNUAL MANY YEARS', None, 'DATE'], ['AUTO FUEL', Entity(wikidata_entity_id=Q337540, wikipedia_entity_title=Motor fuel), 'PERSON']]"
